date,equity,cash,n_pos
2026-07-14,1000000.0,469976.09,6
2026-07-15,998445.67,489698.59,6
2026-07-16,1003434.61,489698.59,6
2026-07-17,997729.88,489698.59,6
2026-07-20,989486.19,489698.59,6
2026-07-22,991751.01,489698.59,6
2026-07-22,991751.01,489698.59,6
2026-07-23,990534.8,489698.59,6
2026-07-24,982450.82,489698.59,6
2026-07-24,982450.82,489698.59,6
2026-07-27,982283.01,489698.59,6
2026-07-28,982283.01,489698.59,6
2026-07-29,983525.67,489698.59,6
2026-07-30,977143.16,489698.59,6
