date,symbol,price,gain_since_entry,signals
2026-07-14,WELCORP.NS,1683.4,0.021,AT_R1
2026-07-15,WELCORP.NS,1682.1,0.0202,AT_R1
2026-07-16,WELCORP.NS,1684.0,0.0213,AT_R1
2026-07-20,PREMIERENE.NS,1088.8,-0.0187,AT_R1
2026-07-21,HFCL.NS,217.97,0.0156,AT_R1
2026-07-22,PREMIERENE.NS,1024.0,-0.0771,TREND_BREAK
2026-07-21,PREMIERENE.NS,1048.4,-0.0551,AT_R1+TREND_BREAK
2026-07-23,HFCL.NS,207.01,-0.0355,AT_R1
2026-07-23,PREMIERENE.NS,1024.7,-0.0764,TREND_BREAK
2026-07-24,PREMIERENE.NS,1019.3,-0.0813,TREND_BREAK
2026-07-27,HFCL.NS,192.54,-0.1029,TREND_BREAK
2026-07-27,PREMIERENE.NS,1039.9,-0.0627,TREND_BREAK
