date,regime,sym,pick_order,score_rank,weight,fwd
2015-08-05,SIDEWAYS,WELSPUNLIV.NS,1,1,0.3333333333333333,-0.22204489510273617
2015-08-05,SIDEWAYS,TATAELXSI.NS,2,2,0.3333333333333333,0.006563021118767056
2015-08-05,SIDEWAYS,BRITANNIA.NS,3,7,0.3333333333333333,-0.048969561615477164
2015-09-03,BEAR,CHENNPETRO.NS,1,1,0.5,0.049724079728381554
2015-09-03,BEAR,JUBLPHARMA.NS,2,2,0.5,0.14909597825017884
2015-10-07,BEAR,CHENNPETRO.NS,1,1,0.5,-0.19166586017315113
2015-10-07,BEAR,WELSPUNLIV.NS,2,2,0.5,-0.1606145179942846
2015-11-06,BEAR,JUBLPHARMA.NS,1,1,0.5,0.06549158008177591
2015-11-06,BEAR,INTELLECT.NS,2,2,0.5,0.05621588258692678
2015-12-10,BEAR,JUBLPHARMA.NS,1,1,0.5,-0.05480393877128409
2015-12-10,BEAR,INTELLECT.NS,2,2,0.5,-0.05062940269220961
2016-01-11,BEAR,TRIVENI.NS,1,1,0.5,-0.18650189601613487
2016-01-11,BEAR,GODFRYPHLP.NS,2,2,0.5,-0.22512124696992564
2016-02-10,BEAR,TVSMOTOR.NS,1,1,0.5,0.0011353094538471015
2016-02-10,BEAR,BALRAMCHIN.NS,2,2,0.5,0.14094541119969417
2016-03-11,BEAR,BALRAMCHIN.NS,1,1,0.5,0.1338960570089216
2016-03-11,BEAR,MANAPPURAM.NS,2,2,0.5,0.1340602461347915
2016-04-13,BEAR,JSWSTEEL.NS,1,1,0.5,-0.019928611718306843
2016-04-13,BEAR,MANAPPURAM.NS,2,2,0.5,0.27548701145540666
2016-05-17,SIDEWAYS,JSWSTEEL.NS,1,1,0.3333333333333333,0.0833875314053083
2016-05-17,SIDEWAYS,MANAPPURAM.NS,2,2,0.3333333333333333,0.1783281088891122
2016-05-17,SIDEWAYS,BALRAMCHIN.NS,3,3,0.3333333333333333,0.039397033584448904
2016-06-15,BULL,HSCL.NS,1,1,0.05955230511619348,0.215465504867824
2016-06-15,BULL,MANAPPURAM.NS,2,2,0.052105351865868066,0.28098639386909774
2016-06-15,BULL,YESBANK.NS,3,3,0.12231629870209342,0.09912989574155873
2016-06-15,BULL,JSWSTEEL.NS,4,4,0.14093329348711814,0.17250189224830903
2016-06-15,BULL,BIOCON.NS,5,5,0.10859623848848456,-0.023882509135535135
2016-06-15,BULL,BALRAMCHIN.NS,6,6,0.07175106296687023,0.07626107572657315
2016-06-15,BULL,HINDZINC.NS,7,7,0.11230217198310873,0.11917747325939176
2016-06-15,BULL,CHOLAFIN.NS,8,8,0.09171218752724336,0.03666969287948363
2016-06-15,BULL,BAJFINANCE.NS,9,10,0.11033061740547423,0.13601198230170097
2016-06-15,BULL,PIDILITIND.NS,10,13,0.1304004724575459,0.032480446927374285
2016-07-15,BULL,HSCL.NS,1,1,0.04861122082572979,-0.016064538912878623
2016-07-15,BULL,JSWSTEEL.NS,2,2,0.13018625237547762,0.0664271440197175
2016-07-15,BULL,YESBANK.NS,3,3,0.11105571126016023,0.09615980521425715
2016-07-15,BULL,MANAPPURAM.NS,4,4,0.044294269592024246,0.1800025170650461
2016-07-15,BULL,HINDZINC.NS,5,5,0.09661790633799557,0.16190512960022407
