date,desc,text
11-Jul-2026 15:32:02,Copy of Newspaper Publication,Newspaper Advertisement regarding dispatch of Notice of the 36th (Thirty Sixth) Annual General Meeting of the Company
10-Jul-2026 16:14:35,General Updates,Aadhar Housing Finance Limited has informed the Exchange about 'Letter to Members '. Detailed communication providing weblink of the  Annual Report for the FY 2025-26 and Notice of AGM 2026
10-Jul-2026 16:10:41,General Updates,Aadhar Housing Finance Limited has informed the Exchange about the Submission of Business Responsibility & Sustainability Report for FY 2025-26
10-Jul-2026 16:00:18,Shareholders meeting,"Aadhar Housing Finance Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 06, 2026"
08-Jul-2026 13:12:09,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Aadhar Housing Finance Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
01-Jul-2026 15:58:49,Copy of Newspaper Publication,Aadhar Housing Finance Limited has informed the Exchange about Copy of Newspaper Publication regarding 36th Annual General Meeting
25-Jun-2026 16:41:18,Trading Window,"Aadhar Housing Finance Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-Jun-2026 11:40:14,Disclosure under SEBI Takeover Regulations,Aadhar Housing Finance Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers)
18-Jun-2026 19:13:22,ESOP/ESOS/ESPS,Aadhar Housing Finance Limited has informed the Exchange regarding allotment of 38218 Equity Shares pursuant to exercise of ESOPs.
18-Jun-2026 17:40:27,Disclosure under SEBI Takeover Regulations,BCP ASIA II HOLDCO VII PTE. LTD. has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeover
18-Jun-2026 15:38:52,Allotment of Securities,"Allotment of 25,000  Senior, Secured, Rated, Listed, Redeemable, Non-Convertible Debentures ( NCDs ) on Private Placement basis"
15-Jun-2026 13:16:15,Analysts/Institutional Investor Meet/Con. Call Updates,Aadhar Housing Finance Limited has informed the Exchange about Schedule of Analyst/Investor meet
11-Jun-2026 16:29:38,ESOP/ESOS/ESPS,Aadhar Housing Finance Limited has informed the Exchange regarding allotment of 858855 equity shares pursuant to exercise of ESOPs.
09-Jun-2026 16:38:36,Investor Presentation,Aadhar Housing Finance Limited has informed the Exchange about Investor Presentation
01-Jun-2026 11:43:16,Analysts/Institutional Investor Meet/Con. Call Updates,Aadhar Housing Finance Limited has informed the Exchange about Schedule of meet
26-May-2026 18:48:12,ESOP/ESOS/ESPS,Aadhar Housing Finance Limited has informed the Exchange regarding Allotment of 736334 Equity Shares pursuant to exercise of ESOPs.
26-May-2026 15:34:58,General Updates,"In terms of Regulation 24A (2) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we enclose herewith the Annual Secretarial Compliance "
25-May-2026 12:29:12,Analysts/Institutional Investor Meet/Con. Call Updates,Aadhar Housing Finance Limited has informed the Exchange about Schedule of meet
19-May-2026 12:19:36,Analysts/Institutional Investor Meet/Con. Call Updates,Aadhar Housing Finance Limited has informed the Exchange about Schedule of meet
11-May-2026 17:09:41,Analysts/Institutional Investor Meet/Con. Call Updates,Aadhar Housing Finance Limited has informed the Exchange about Transcript
