date,desc,text
27-Jun-2026 12:27:47,Change in Management,ABB India Limited has informed the Exchange about change in Management
26-Jun-2026 16:33:59,Shareholders meeting,"ABB India Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
24-Jun-2026 11:04:42,Press Release,"ABB India Limited has informed the Exchange regarding a press release dated Jun 24, 2026, titled ""Kolkata Metro adopts ABB s electrification and motion control solutions to enhance efficiency and reli"
13-Jun-2026 22:24:30,Trading Window,"ABB India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
27-May-2026 16:19:15,Copy of Newspaper Publication,ABB India Limited has informed the Exchange about Copy of Newspaper Publication
26-May-2026 17:11:04,Shareholders meeting,ABB India Limited has informed the Exchange regarding Notice of Postal Ballot
15-May-2026 12:25:26,Analysts/Institutional Investor Meet/Con. Call Updates,ABB India Limited has informed the Exchange about Transcript
09-May-2026 18:45:19,Shareholders meeting,"ABB India Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on May 09, 2026. Further, the company has submitted the Exchange a copy of Srutinizers report along wit"
09-May-2026 16:48:16,Copy of Newspaper Publication,ABB India Limited has informed the Exchange about Copy of Newspaper Publication
08-May-2026 17:59:14,Appointment,"ABB India Limited has informed the Exchange regarding Appointment of Mr Sanjeev Sharma as Non- Executive Director of the company w.e.f. January 01, 2027 subject to shareholders' approval."
08-May-2026 17:55:01,Appointment,"ABB India Limited has informed the Exchange regarding Appointment of Mr TK Sridhar as Managing Director of the company w.e.f. January 01, 2027 subject to shareholders' approval."
08-May-2026 17:35:07,Press Release,"ABB India Limited has informed the Exchange regarding a press release dated May 08, 2026, titled ""ABB India posts solid start to CY2026 with strong order momentum in first (Jan-Mar) quarter""."
08-May-2026 17:23:45,Investor Presentation,ABB India Limited has informed the Exchange about Investor Presentation
08-May-2026 17:19:25,Outcome of Board Meeting,"ABB India Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
04-May-2026 15:06:18,Analysts/Institutional Investor Meet/Con. Call Updates,ABB India Limited has informed the Exchange about Schedule of meet
10-Apr-2026 17:29:13,Copy of Newspaper Publication,ABB India Limited has informed the Exchange about Copy of Newspaper Publication
09-Apr-2026 18:43:41,Shareholders meeting,"ABB India Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on May 09, 2026"
02-Apr-2026 20:22:08,Disclosure under SEBI Takeover Regulations,ABB Asea Brown Boveri Ltd has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
01-Apr-2026 17:42:33,General Updates,ABB India Limited has informed the Exchange about General Updates
25-Mar-2026 18:01:20,General Updates,ABB India Limited has informed the Exchange about General Updates
15-Mar-2026 14:14:21,Trading Window,"ABB India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
09-Mar-2026 14:25:42,Press Release,"ABB India Limited has informed the Exchange regarding a press release dated March 09, 2026, titled ""ABB invests  75 million US Dollar in India to expand manufacturing and R&D for critical segments""."
02-Mar-2026 11:44:39,General Updates,ABB India Limited has informed the Exchange about General Updates
27-Feb-2026 21:57:40,Shareholders meeting,"ABB India Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
27-Feb-2026 19:15:44,Analysts/Institutional Investor Meet/Con. Call Updates,ABB India Limited has informed the Exchange about Transcript
24-Feb-2026 19:07:57,General Updates,ABB India Limited has informed the Exchange about General Updates
23-Feb-2026 17:35:13,Updates,Update
20-Feb-2026 15:32:42,Copy of Newspaper Publication,ABB India Limited has informed the Exchange about Copy of Newspaper Publication
20-Feb-2026 14:18:49,Analysts/Institutional Investor Meet/Con. Call Updates,ABB India Limited has informed the Exchange about Presentation
19-Feb-2026 17:45:37,Press Release,"ABB India Limited has informed the Exchange regarding a press release dated February 19, 2026, titled ""Order growth accelerates, supported by broad-based sector demand in Q4""."
19-Feb-2026 17:24:04,Record Date,ABB India Limited has informed the Exchange that Record date for the purpose of Dividend  is 02-May-2026.
19-Feb-2026 17:19:02,Dividend,"ABB India Limited has informed the Exchange about outcome of Board meeting held on February 19, 2026"
19-Feb-2026 17:12:04,Outcome of Board Meeting,"ABB India Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
16-Feb-2026 16:17:42,Analysts/Institutional Investor Meet/Con. Call Updates,ABB India Limited has informed the Exchange about Schedule of meet
10-Feb-2026 21:58:34,General Updates,ABB India Limited has informed the Exchange about General Updates
05-Feb-2026 15:30:38,Investor Presentation,ABB India Limited has informed the Exchange about Investor Presentation
04-Feb-2026 11:45:53,Clarification - Financial Results,"The Exchange has sought clarification from ABB India Limited for the quarter ended 30-Sep-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, "
02-Feb-2026 20:35:07,Analysts/Institutional Investor Meet/Con. Call Updates,ABB India Limited has informed the Exchange about Schedule of meet
02-Feb-2026 20:29:57,Analysts/Institutional Investor Meet/Con. Call Updates,ABB India Limited has informed the Exchange about Schedule of meet
30-Jan-2026 15:30:43,News Verification,"The Exchange has sought clarification from ABB India Limited with respect to recent news item captioned ABB gives confident 2026 outlook, launches $2 billion share buyback after record year..  The res"
29-Jan-2026 17:07:03,Copy of Newspaper Publication,ABB India Limited has informed the Exchange about Copy of Newspaper Publication
29-Jan-2026 15:18:50,News Verification,"The Exchange has sought clarification from ABB India Limited with respect to recent news item captioned ABB gives confident 2026 outlook, launches $2 billion share buyback after record year..  The res"
28-Jan-2026 20:15:45,Shareholders meeting,ABB India Limited has informed the Exchange regarding Notice of Postal Ballot
27-Jan-2026 19:00:19,Bagging/Receiving of orders/contracts,ABB India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
27-Jan-2026 18:39:03,Press Release,"ABB India Limited has informed the Exchange regarding a press release dated January 27, 2026, titled ""ABB secures major traction order for Mumbai Metro expansion""."
26-Jan-2026 12:40:21,General Updates,ABB India Limited has informed the Exchange about General Updates
23-Jan-2026 12:42:15,Product launch,ABB India Limited has informed the Exchange about Product launch
