date,desc,text
11-Jul-2026 15:13:05,Credit Rating,Adani Energy Solutions Limited has informed the Exchange about Credit Rating
09-Jul-2026 12:04:04,Credit Rating,Adani Energy Solutions Limited has informed the Exchange about Credit Rating
08-Jul-2026 19:48:18,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Adani Energy Solutions Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
03-Jul-2026 18:17:53,Copy of Newspaper Publication,Adani Energy Solutions Limited has informed the Exchange about Copy of Newspaper Publication
02-Jul-2026 20:19:38,Shareholders meeting,"Adani Energy Solutions Limited has informed the Exchange regarding Notice of Extraordinary General Meeting to be held on July 25, 2026"
01-Jul-2026 16:26:53,Change in Management,Adani Energy Solutions Limited has informed the Exchange about change in Senior Management Personnel of the Company
01-Jul-2026 16:15:57,Outcome of Board Meeting,"Adani Energy Solutions Limited has informed the Exchange regarding Outcome of Board Meeting held on July 01, 2026."
30-Jun-2026 11:40:02,General Updates,Adani Energy Solutions Limited has informed the Exchange about Update on ESG rating
26-Jun-2026 17:12:51,Shareholders meeting,"Adani Energy Solutions Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on Jun 25, 2026. Further, the company has informed the Exchange regarding voting res"
25-Jun-2026 16:15:56,Shareholders meeting,"Adani Energy Solutions Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on Jun 25, 2026"
20-Jun-2026 13:35:51,Credit Rating,Adani Energy Solutions Limited has informed the Exchange about Credit Rating
09-Jun-2026 13:14:39,Press Release,"Adani Energy Solutions Limited has informed the Exchange regarding a press release dated Jun 09, 2026, titled ""Adani Energy Solutions to acquire IntelliSmart, one of India s largest smart meter player"
09-Jun-2026 12:56:17,General Updates,Adani Energy Solutions Limited has informed the Exchange about Signing the Securities Purchase and Subscription Agreement for Acquisition of 100% Equity Shares of Intellismart Infrastructure Private L
02-Jun-2026 19:54:15,Copy of Newspaper Publication,Adani Energy Solutions Limited has informed the Exchange about Copy of Newspaper Publication for Intimation of Record Date and e-voting information
01-Jun-2026 19:34:34,General Updates,Adani Energy Solutions Limited has informed the Exchange about Incorporation of New Wholly Owned Subsidiaries
31-May-2026 20:09:36,General Updates,Adani Energy Solutions Limited has informed the Exchange about Business Responsibility and Sustainability Report (BRSR)
31-May-2026 19:56:16,Shareholders meeting,"Adani Energy Solutions Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on Jun 25, 2026"
30-May-2026 16:12:21,Change in Management,Adani Energy Solutions Limited has informed the Exchange about change in Chief Financial Officer of the Company
29-May-2026 18:54:39,General Updates,Adani Energy Solutions Limited has informed the Exchange about Newspaper Advertisement
18-May-2026 14:54:09,Disclosure under SEBI Takeover Regulations,S.B. Adani Family Trust has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regula
06-May-2026 12:17:25,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Energy Solutions Limited has informed the Exchange about Schedule of meet
30-Apr-2026 17:02:18,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Energy Solutions Limited has informed the Exchange about Transcript
28-Apr-2026 12:55:47,Credit Rating,Adani Energy Solutions Limited has informed the Exchange about Credit Rating
24-Apr-2026 20:26:24,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Energy Solutions Limited has informed the Exchange about Link of Recording
24-Apr-2026 20:19:38,Change in Management,Adani Energy Solutions Limited has informed the Exchange about Change in Internal Auditor and Senior Management Personnel of the Company
23-Apr-2026 18:34:44,Monitoring Agency Report,"Monitoring Agency Report & Statement of deviation or variation for the quarter ended on March 31, 2026"
23-Apr-2026 18:21:51,General Updates,"Adani Energy Solutions Limited has informed the Exchange about Investors  Presentation on Audited Financial Results (Standalone and Consolidated) for the quarter and financial year ended March 31, 202"
23-Apr-2026 17:01:03,Press Release,"Adani Energy Solutions Limited has informed the Exchange regarding a press release dated April 23, 2026, titled ""Media Release on Audited Financial Results (Standalone and Consolidated) for the quarte"
23-Apr-2026 16:56:26,Outcome of Board Meeting,"Adani Energy Solutions Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
20-Apr-2026 13:18:01,General Updates,Adani Energy Solutions Limited has informed the Exchange about details of Investor Calls
15-Apr-2026 15:03:23,General Updates,Adani Energy Solutions Limited has informed the Exchange about General Updates - ESG Rating by CARE ESG Ratings Limited
14-Apr-2026 20:13:33,Press Release,"Adani Energy Solutions Limited has informed the Exchange regarding a press release dated April 14, 2026, titled ""Adani Energy Commissions 1,000 MW Power Link to Bring More Clean Energy into Mumbai""."
10-Apr-2026 21:45:38,Updates,Adani Energy Solutions Limited has informed the Exchange regarding 'Provisional Operation Updates - Q4 FY26'.
06-Apr-2026 13:18:02,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Adani Energy Solutions Limited has informed the Exchange about Certificate under Regulation 74(5) of the SEBI (Depositories and Participants) Regulations, 2018"
31-Mar-2026 13:18:31,General Updates,Adani Energy Solutions Limited has informed the Exchange about execution of Share Purchase Agreement for Acquiring of 100% Equity Shares of South Kalamb Power Transmission Limited
28-Mar-2026 15:46:55,Trading Window,"Adani Energy Solutions Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
18-Mar-2026 19:11:10,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Energy Solutions Limited has informed the Exchange about Schedule of meet
12-Mar-2026 19:25:31,General Updates,Adani Energy Solutions Limited has informed the Exchange about General Updates
11-Mar-2026 19:16:29,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Energy Solutions Limited has informed the Exchange about Interaction with Investors
25-Feb-2026 18:46:36,Shareholders meeting,Adani Energy Solutions Limited has informed the Exchange about Scrutinizers Report and Voting Results
21-Feb-2026 14:36:10,Credit Rating,Adani Energy Solutions Limited has informed the Exchange about Credit Rating
05-Feb-2026 11:15:19,Press Release,"Adani Energy Solutions Limited has informed the Exchange regarding a press release dated February 05, 2026, titled ""Adani Energy Solutions delivers landmark 1 crore Smart Meters across discoms""."
02-Feb-2026 15:12:43,News Verification,The Exchange has sought clarification from Adani Energy Solutions Limited with respect to recent news item captioned Three Adani group companies plan to raise $2 billion from Japanese markets.  The re
01-Feb-2026 16:55:56,News Verification,The Exchange has sought clarification from Adani Energy Solutions Limited with respect to recent news item captioned Three Adani group companies plan to raise $2 billion from Japanese markets.  The re
30-Jan-2026 09:39:09,Press Release,"Adani Energy Solutions Limited has informed the Exchange regarding a press release dated January 30, 2026, titled ""Adani Companies Secure Landmark Japanese Credit Ratings   JCR Ratings""."
29-Jan-2026 23:01:33,Credit Rating,Adani Energy Solutions Limited has informed the Exchange about Credit Rating
