date,desc,text
10-Jul-2026 20:56:25,Updates,Adani Green Energy Limited has informed the Exchange regarding 'Provisional operational update: Q1 FY27'.
10-Jul-2026 12:20:42,General Updates,Adani Green Energy Limited has informed the Exchange about ESG Rating
08-Jul-2026 11:27:52,Updates,Adani Green Energy Limited has informed the Exchange regarding 'ESG Rating - Crisil'.
03-Jul-2026 18:11:35,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Adani Green Energy Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
01-Jul-2026 15:05:01,Updates,Adani Green Energy Limited has informed the Exchange regarding 'Change in Senior Management Personnel   Chief People Officer'.
01-Jul-2026 09:35:56,Updates,Adani Green Energy Limited has informed the Exchange regarding 'Operationalization of Projects'.
28-Jun-2026 11:15:39,Updates,Adani Green Energy Limited has informed the Exchange regarding 'Operationalisation of Project'.
26-Jun-2026 12:27:36,Trading Window,"Adani Green Energy Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 19:02:26,Shareholders meeting,"Voting Results and Scrutinizer's Report of the 11th Annual General Meeting of the Company held on June 25, 2026"
25-Jun-2026 11:59:57,General Updates,Adani Green Energy Limited has informed the Exchange about Proceedings of 11th Annual General Meeting
12-Jun-2026 19:14:31,General Updates,Adani Green Energy Limited has informed the Exchange about incorporation of wholly owned subsidiary
12-Jun-2026 19:11:23,General Updates,Adani Green Energy Limited has informed the Exchange about ESG rating
02-Jun-2026 18:58:15,Copy of Newspaper Publication,Adani Green Energy Limited has informed the Exchange about Copy of Newspaper Publication
01-Jun-2026 13:15:07,Updates,Adani Green Energy Limited has informed the Exchange regarding 'Operationalisation of Project'.
29-May-2026 22:13:40,General Updates,Adani Green Energy Limited has informed the Exchange about Notice of 11th Annual General Meeting
29-May-2026 22:05:45,General Updates,"Adani Green Energy Limited has informed the Exchange about Business Responsibility and Sustainability Report for the Financial Year ended March 31, 2026"
29-May-2026 22:02:47,General Updates,Adani Green Energy Limited has informed the Exchange about Integrated Annual Report for FY 25-26 and Notice of the 11th AGM
27-May-2026 11:37:10,Copy of Newspaper Publication,Adani Green Energy Limited has informed the Exchange about Copy of Newspaper Advertisement for the 11th Annual General Meeting
26-May-2026 12:18:26,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Green Energy Limited has informed the Exchange about Schedule of meet
26-May-2026 08:31:26,Press Release,"Adani Green Energy Limited has informed the Exchange regarding a press release dated May 26, 2026, titled ""Adani Green Energy commissionsthe world's largest single-location battery energy storage syst"
26-May-2026 08:24:43,Updates,Adani Green Energy Limited has informed the Exchange regarding 'Operationalization of Projects'.
18-May-2026 22:19:52,Updates,Adani Green Energy Limited has informed the Exchange regarding 'Further Update on US Matter'.
16-May-2026 18:44:44,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Green Energy Limited has informed the Exchange about Schedule of meet
