date,desc,text
03-Jul-2026 12:20:09,General Updates,"Adani Power Limited has informed the Exchange about Certificate under regulation 74(5) of the SEBI (Depositories and Participants) Regulation, 2018 for the quarter ended June 30, 2026."
30-Jun-2026 09:57:07,General Updates,Adani Power Limited has informed the Exchange about ESG Rating
27-Jun-2026 19:08:32,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Power Limited has informed the Exchange about Schedule of meet
27-Jun-2026 19:07:19,Shareholders meeting,"Adani Power Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on Jun 25, 2026. Further, the company has informed the Exchange regarding voting results."
27-Jun-2026 16:01:02,Trading Window,"Adani Power Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 20:00:09,General Updates,Adani Power Limited has informed the Exchange about Incorporation of Step-Down Subsidiary
25-Jun-2026 17:30:31,Shareholders meeting,"Adani Power Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on Jun 25, 2026"
02-Jun-2026 11:17:49,Investor Presentation,Adani Power Limited has informed the Exchange about Investor Presentation
29-May-2026 22:03:13,Updates,Adani Power Limited has informed the Exchange regarding 'Book Closure dates'.
29-May-2026 22:01:10,Shareholders meeting,"Adani Power Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on June 25, 2026"
29-May-2026 21:59:07,General Updates,Adani Power Limited has submitted to the Exchange the 'Business Responsibility and Sustainability Report' for the year 2025-26
28-May-2026 17:39:53,Copy of Newspaper Publication,Adani Power Limited has informed the Exchange about Copy of Newspaper Publication
21-May-2026 21:13:31,General Updates,Adani Power Limited has informed the Exchange about completion of acquisition of certain power related assets and investments of Jaiprakash Associates Limited.
21-May-2026 15:37:19,General Updates,Adani Power Limited has informed the Exchange about Updated Disclosure for Acquisition of certain power assets and investments of Jaiprakash Associates Limited
21-May-2026 08:02:31,General Updates,Adani Power Limited has informed the Exchange about Acquisition of certain power assets and investments of Jaiprakash Associates Limited
17-May-2026 15:55:07,General Updates,Adani Power Limited has informed the Exchange about Incorporation of Wholly Owned Subsidiary of Adani Power Limited
14-May-2026 17:15:12,News Verification,The Exchange has sought clarification from Adani Power Limited with respect to recent news item captioned Adani Power gets CCI nod to acquire GVK Energy.  The response from the Company is attached.
13-May-2026 15:35:29,News Verification,The Exchange has sought clarification from Adani Power Limited with respect to recent news item captioned Adani Power gets CCI nod to acquire GVK Energy.  The response from the Company is awaited.
06-May-2026 20:54:17,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Power Limited has informed the Exchange about Transcript
06-May-2026 09:59:30,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Power Limited has informed the Exchange about Schedule of meet
30-Apr-2026 17:55:40,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Power Limited has informed the Exchange about Link of Recording
30-Apr-2026 14:05:20,Copy of Newspaper Publication,Adani Power Limited has informed the Exchange about Copy of Newspaper Publication
29-Apr-2026 22:01:01,Investor Presentation,Adani Power Limited has informed the Exchange about Investor Presentation
29-Apr-2026 15:34:13,Outcome of Board Meeting,"Adani Power Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
25-Apr-2026 22:10:16,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Power Limited has informed the Exchange about Schedule of meet
23-Apr-2026 14:30:46,Disclosure under SEBI Takeover Regulations,S.B. Adani Family Trust has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regula
22-Apr-2026 12:39:54,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Power Limited has informed the Exchange about Schedule of meet
21-Apr-2026 07:10:04,General Updates,Adani Power Limited has informed the Exchange about Incorporation of Step-Down Wholly Owned Subsidiary of Adani Power Limited
19-Apr-2026 21:25:24,General Updates,Adani Power Limited has informed the Exchange about Incorporation of Step-down Wholly Owned Subsidiary
17-Apr-2026 20:41:36,Credit Rating,Adani Power Limited has informed the Exchange about Credit Rating
02-Apr-2026 21:01:59,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Adani Power Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Apr-2026 19:44:15,Bagging/Receiving of orders/contracts,Adani Power Limited has informed the Exchange about Letter of Award from Maharashtra State Electricity Distribution Co. Limited
01-Apr-2026 19:06:57,General Updates,"Adani Power Limited has informed the Exchange about Intimation under Regulation 30(5) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015"
31-Mar-2026 17:16:32,Credit Rating,Adani Power Limited has informed the Exchange about Credit Rating
31-Mar-2026 13:10:13,Trading Window,"Adani Power Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Mar-2026 15:08:30,General Updates,Adani Power Limited has informed the Exchange about ESG Rating
21-Mar-2026 11:49:17,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Power Limited has informed the Exchange about Schedule of meet
19-Mar-2026 19:52:08,Updates,Adani Power Limited has informed the Exchange regarding 'Resolution Plan Of Jaiprakash Associates Limited - Intimation Regarding In-Principle Interest To Be One Of The Implementing Entities'.
17-Mar-2026 19:58:20,Appointment,"Adani Power Limited has informed the Exchange regarding Appointment of  Mr Puneet Bansal as Company Secretary & Compliance Officer of the company w.e.f. April 01, 2026."
17-Mar-2026 19:56:22,Change in Company Secretary/Compliance Officer,Adani Power Limited has informed the Exchange about Change in Company Secretary/Compliance Officer
17-Mar-2026 19:55:07,Cessation,"Adani Power Limited has informed the Exchange regarding Cessation of  Mr. Deepak S Pandya as Company Secretary & Compliance Officer of the company w.e.f. March 31, 2026."
15-Mar-2026 16:16:51,Bagging/Receiving of orders/contracts,Adani Power Limited has informed the Exchange about Receipt of Letter of Award for the long-term supply of 1600 MW Thermal Power
05-Mar-2026 19:17:22,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Power Limited has informed the Exchange about Schedule of meet
28-Feb-2026 10:16:25,Credit Rating,Adani Power Limited has informed the Exchange about Credit Rating
24-Feb-2026 08:30:50,Updates,Adani Power Limited has informed the Exchange regarding 'Press Release'.
12-Feb-2026 07:22:47,General Updates,Adani Power Limited has informed the Exchange about incorporation of wholly owned subsidiary company
04-Feb-2026 17:17:01,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Power Limited has informed the Exchange about Transcript
31-Jan-2026 16:49:40,Investor Presentation,Adani Power Limited has informed the Exchange about Investor Presentation
