date,desc,text
07-Jul-2026 10:15:01,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Ajanta Pharma Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Jul-2026 13:56:12,General Updates,Ajanta Pharma Limited has informed the Exchange about General Updates
26-Jun-2026 09:53:33,Trading Window,"Ajanta Pharma Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2026 12:09:59,Copy of Newspaper Publication,Ajanta Pharma Limited has informed the Exchange about Copy of Newspaper Publication
18-Jun-2026 11:15:34,Shareholders meeting,"Ajanta Pharma Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 16, 2026"
17-Jun-2026 12:13:35,Copy of Newspaper Publication,Ajanta Pharma Limited has informed the Exchange about Copy of Newspaper Publication
15-Jun-2026 09:15:48,General Updates,Ajanta Pharma Limited has informed the Exchange about Shareholders Meeting- 47th Annual General Meeting on 16/07/2026
12-Jun-2026 16:10:21,Analysts/Institutional Investor Meet/Con. Call Updates,Ajanta Pharma Limited has informed the Exchange about Participation in Investor Conference
19-May-2026 17:00:04,Analysts/Institutional Investor Meet/Con. Call Updates,Ajanta Pharma Limited has informed the Exchange about (Revised) Participation in Investor Conference
19-May-2026 15:43:26,Analysts/Institutional Investor Meet/Con. Call Updates,Ajanta Pharma Limited has informed the Exchange about Participation in Investor Conference
08-May-2026 16:39:19,Analysts/Institutional Investor Meet/Con. Call Updates,Ajanta Pharma Limited has informed the Exchange about Transcript
06-May-2026 12:39:17,Copy of Newspaper Publication,Ajanta Pharma Limited has informed the Exchange about Copy of Newspaper Publication
05-May-2026 18:01:16,Analysts/Institutional Investor Meet/Con. Call Updates,Ajanta Pharma Limited has informed the Exchange about Link of Recording
05-May-2026 15:45:42,General Updates,Ajanta Pharma Limited has informed the Exchange about General Updates
05-May-2026 15:39:45,General Updates,Ajanta Pharma Limited has informed the Exchange about General Updates
05-May-2026 15:24:13,Outcome of Board Meeting,"Ajanta Pharma Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
22-Apr-2026 08:37:48,General Updates,Ajanta Pharma Limited has informed the Exchange about General Updates
21-Apr-2026 16:14:52,Analysts/Institutional Investor Meet/Con. Call Updates,Ajanta Pharma Limited has informed the Exchange about Schedule of meet
07-Apr-2026 11:25:31,Disclosure under SEBI Takeover Regulations,"YOGESH M. AGRAWAL has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations,"
06-Apr-2026 14:10:08,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Ajanta Pharma Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Mar-2026 09:49:22,Trading Window,"Ajanta Pharma Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
09-Mar-2026 08:48:52,Analysts/Institutional Investor Meet/Con. Call Updates,Ajanta Pharma Limited has informed the Exchange about Participation in Investor Conference
10-Feb-2026 10:22:42,Rumour Verification - Regulation 30(11),Ajanta Pharma Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
05-Feb-2026 11:10:26,Analysts/Institutional Investor Meet/Con. Call Updates,Ajanta Pharma Limited has informed the Exchange about Transcript
