date,desc,text
02-Jul-2026 14:53:46,Copy of Newspaper Publication,Alkem Laboratories Limited has informed the Exchange about Copy of Newspaper Publication
01-Jul-2026 16:48:05,Action(s) taken or orders passed,Alkem Laboratories Limited has informed the Exchange about Action(s) taken or orders passed
30-Jun-2026 14:48:07,Copy of Newspaper Publication,Alkem Laboratories Limited has informed the Exchange about Copy of Newspaper Publication
29-Jun-2026 11:56:48,Analysts/Institutional Investor Meet/Con. Call Updates,Alkem Laboratories Limited has informed the Exchange about Schedule of meet
29-Jun-2026 11:52:36,Analysts/Institutional Investor Meet/Con. Call Updates,Alkem Laboratories Limited has informed the Exchange about Schedule of meet
29-Jun-2026 09:39:11,General Updates,"Alkem Laboratories Limited has informed the Exchange about Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 as amended ( SEBI LODR Regulations"
24-Jun-2026 13:18:42,Trading Window,"Alkem Laboratories Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
15-Jun-2026 18:10:06,Analysts/Institutional Investor Meet/Con. Call Updates,Alkem Laboratories Limited has informed the Exchange about Schedule of meet
10-Jun-2026 16:23:15,Analysts/Institutional Investor Meet/Con. Call Updates,Alkem Laboratories Limited has informed the Exchange about Schedule of meet
02-Jun-2026 15:13:46,Press Release,"Alkem Laboratories Limited has informed the Exchange regarding a press release dated Jun 02, 2026, titled ""Alkem Laboratories Limited becomes first in India to launch semaglutide in single-shot pre-fi"
01-Jun-2026 16:37:14,Analysts/Institutional Investor Meet/Con. Call Updates,Alkem Laboratories Limited has informed the Exchange about Transcript
29-May-2026 15:26:39,Copy of Newspaper Publication,Alkem Laboratories Limited has informed the Exchange about Copy of Newspaper Publication
28-May-2026 18:29:13,Analysts/Institutional Investor Meet/Con. Call Updates,Alkem Laboratories Limited has informed the Exchange about Link of Recording
28-May-2026 13:43:42,Trading Window,"Alkem Laboratories Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
28-May-2026 13:41:35,Investor Presentation,Alkem Laboratories Limited has informed the Exchange about Investor Presentation
28-May-2026 13:39:05,Updates,Alkem Laboratories Limited has informed the Exchange regarding Intimation for Cutoff date for the purpose of the Annual General Meeting.
28-May-2026 13:34:54,Record Date,Alkem Laboratories Limited has informed the Exchange that Record date for the purpose of Dividend  is 07-Aug-2026.
28-May-2026 13:32:55,Dividend,"Alkem Laboratories Limited has informed the Exchange that Board of Directors at its meeting held on May 28, 2026, recommended Final Dividend of Rs. 10 per equity share."
28-May-2026 13:28:51,Change in Director(s),Alkem Laboratories Limited has informed the Exchange regarding Change in Director(s) of the company.
28-May-2026 13:25:14,Outcome of Board Meeting,"Alkem Laboratories Limited has submitted to the Exchange, Outcome of the Board Meeting held on 28th May, 2026"
25-May-2026 11:54:20,Analysts/Institutional Investor Meet/Con. Call Updates,Alkem Laboratories Limited has informed the Exchange about Schedule of meet
20-May-2026 15:45:01,Analysts/Institutional Investor Meet/Con. Call Updates,Alkem Laboratories Limited has informed the Exchange about Conference Call on Q4FY26 and FY26.
18-May-2026 12:35:24,General Updates,Alkem Laboratories Limited has informed the Exchange about appointment of Senior Management Personnel
08-May-2026 18:38:38,Press Release,"Alkem Laboratories Limited has informed the Exchange regarding a press release dated May 08, 2026, titled ""This is to Inform you regarding US FDA inspection conducted today at the Company'' s CRO faci"
05-May-2026 18:48:33,Action(s) initiated or orders passed,"Alkem Laboratories Limited has informed the Exchange about favourable Order-in-Appeal passed by statutory authority under the Goods and Services Tax Act, 2017"
02-May-2026 12:52:14,General Updates,"Alkem Laboratories Limited has informed the Exchange about US FDA Inspection at Company s manufacturing facility located at Amaliya, Daman"
24-Apr-2026 16:42:34,Action(s) initiated or orders passed,"Alkem Laboratories Limited has informed the Exchange that the Company has received    an order passed by statutory authority under the Income-tax Act, 1961"
24-Apr-2026 15:28:36,Resignation of Director/KMP/SMP,Alkem Laboratories Limited has informed the Exchange about Resignation of Director/KMP/SMP
24-Apr-2026 14:33:44,General Updates,Alkem Laboratories Limited has informed the Exchange about Change in Key Managerial Personnel   Resignation of Chief Executive Officer
13-Apr-2026 15:37:56,General Updates,"Alkem Laboratories Limited has informed the Exchange about incorporation of Wholly Owned Subsidiary of the Company in Dubai, UAE."
10-Apr-2026 18:02:22,Reply to Clarification- Financial results,The Exchange had sought clarification from Alkem Laboratories Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regu
07-Apr-2026 15:26:33,Press Release,"Alkem Laboratories Limited has informed the Exchange regarding a press release dated April 07, 2026, titled ""Alkem launches A to Z Daily, an everyday multivitamin supplement for body and mind""."
07-Apr-2026 14:30:02,Disclosure under SEBI Takeover Regulations,"Basudeo N. Singh has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, "
02-Apr-2026 12:59:25,General Updates,"Alkem Laboratories Limited has informed the Exchange about increase in investment to be made for setting up of manufacturing facility of the Company in Ujjain, Madhya Pradesh."
31-Mar-2026 18:46:11,Cessation,Alkem Laboratories Limited has informed the Exchange change in Senior Management
30-Mar-2026 17:36:29,General Updates,Alkem Laboratories Limited has informed the Exchange about Intimation for incorporation of Wholly Owned Subsidiary of the Company as a  Scientific Office
27-Mar-2026 18:09:24,Appointment,"Alkem Laboratories Limited has informed the Exchange regarding Appointment of Mr Samsher Kumar Deo  as  Senior Management  Personnel of the company w.e.f. March 27, 2026."
27-Mar-2026 11:24:49,Trading Window,"Alkem Laboratories Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
21-Mar-2026 12:16:43,Press Release,"Alkem Laboratories Limited has informed the Exchange regarding a press release dated March 21, 2026, titled ""Alkem Laboratories launches Semaglutide injection in India, with weekly therapy starting at"
