date,desc,text
07-Jul-2026 18:39:30,Shareholders meeting,"Alkyl Amines Chemicals Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on July 03, 2026. Further, the company has informed the Exchange regarding voting re"
07-Jul-2026 14:38:15,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Alkyl Amines Chemicals Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
03-Jul-2026 19:57:23,Shareholders meeting,"Alkyl Amines Chemicals Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 03, 2026"
16-Jun-2026 18:13:24,ESOP/ESOS/ESPS,Alkyl Amines Chemicals Limited has informed the Exchange regarding Allotment of 2125  Shares.
10-Jun-2026 17:16:16,Copy of Newspaper Publication,Alkyl Amines Chemicals Limited has informed the Exchange about Copy of Newspaper Publication
09-Jun-2026 19:38:57,Updates,Alkyl Amines Chemicals Limited has informed the Exchange regarding 'a letter containing the exact web-link and path for accessing the Annual Report for FY 2025-26 '.
09-Jun-2026 19:11:02,Updates,Alkyl Amines Chemicals Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for the financial year 2025-26'.
09-Jun-2026 18:27:40,Shareholders meeting,"Alkyl Amines Chemicals Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 03, 2026"
05-Jun-2026 12:04:06,Disclosure under SEBI Takeover Regulations,Alkyl Amines Chemicals Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers)
03-Jun-2026 10:21:10,Spurt in Volume,"Significant increase in volume has been observed in Alkyl Amines Chemicals Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
02-Jun-2026 18:48:01,Spurt in Volume,"Significant increase in volume has been observed in Alkyl Amines Chemicals Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
30-May-2026 19:38:19,Copy of Newspaper Publication,Alkyl Amines Chemicals Limited has informed the Exchange about Copy of Newspaper Publication
30-May-2026 19:35:48,Copy of Newspaper Publication,Alkyl Amines Chemicals Limited has informed the Exchange about Copy of Newspaper Publication
30-May-2026 19:33:05,Copy of Newspaper Publication,Alkyl Amines Chemicals Limited has informed the Exchange about Copy of Newspaper Publication
28-May-2026 17:20:43,Record Date,Alkyl Amines Chemicals Limited has informed the Exchange that Record date for the purpose of Dividend  is 26-Jun-2026.
28-May-2026 17:14:16,Updates,"Alkyl Amines Chemicals Limited has informed the Exchange regarding 'Shareholders Meeting - Annual General Meeting on July 3, 2026'."
27-May-2026 18:41:14,Updates,Alkyl Amines Chemicals Limited has informed the Exchange regarding 'Launch of Second 100 days Campaign titled  Saksham Niveshak '.
15-May-2026 09:26:37,Spurt in Volume,"Significant increase in volume has been observed in Alkyl Amines Chemicals Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
14-May-2026 17:57:55,Spurt in Volume,"Significant increase in volume has been observed in Alkyl Amines Chemicals Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
13-May-2026 13:15:18,Analysts/Institutional Investor Meet/Con. Call Updates,Alkyl Amines Chemicals Limited has informed the Exchange about Transcript
06-May-2026 18:34:38,Analysts/Institutional Investor Meet/Con. Call Updates,Alkyl Amines Chemicals Limited has informed the Exchange about Link of Recording
05-May-2026 14:16:54,Dividend,"Alkyl Amines Chemicals Limited has informed the Exchange that Board of Directors at its meeting held on May 05, 2026, recommended Final Dividend of Rs. 10 per equity share."
05-May-2026 14:07:34,Outcome of Board Meeting,"Alkyl Amines Chemicals Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
02-May-2026 17:33:08,Analysts/Institutional Investor Meet/Con. Call Updates,Alkyl Amines Chemicals Limited has informed the Exchange about Schedule of meet
28-Apr-2026 11:58:40,Copy of Newspaper Publication,"Alkyl Amines Chemicals Limited has informed the Exchange about Copy of Newspaper Publication with respect to a ""Second 100 day Campaign - Saksham Niveshak"
24-Apr-2026 13:38:40,Disruption of Operations,Alkyl Amines Chemicals Limited has informed the Exchange about Disruption of Operations
07-Apr-2026 15:00:23,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Alkyl Amines Chemicals Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
31-Mar-2026 22:05:08,Options to purchase securities,Alkyl Amines Chemicals Limited has informed the Exchange about Options to purchase securities
26-Mar-2026 18:46:51,Trading Window,"Alkyl Amines Chemicals Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Mar-2026 10:42:23,Spurt in Volume,"Significant increase in volume has been observed in Alkyl Amines Chemicals Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
24-Mar-2026 18:14:41,Spurt in Volume,"Significant increase in volume has been observed in Alkyl Amines Chemicals Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
16-Mar-2026 19:07:36,Disruption of Operations,Alkyl Amines Chemicals Limited has informed the Exchange about Disruption of Operations
11-Mar-2026 12:32:08,Copy of Newspaper Publication,Alkyl Amines Chemicals Limited has informed the Exchange about Copy of Newspaper Publication
04-Feb-2026 17:51:49,Updates,Alkyl Amines Chemicals Limited has informed the Exchange regarding 'Opening of Trading Window'.
03-Feb-2026 13:31:27,Outcome of Board Meeting,"Alkyl Amines Chemicals Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
09-Jan-2026 12:50:48,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Alkyl Amines Chemicals Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
09-Jan-2026 10:50:01,Spurt in Volume,"Significant increase in volume has been observed in Alkyl Amines Chemicals Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
08-Jan-2026 18:02:24,Spurt in Volume,"Significant increase in volume has been observed in Alkyl Amines Chemicals Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
29-Dec-2025 18:37:58,Credit Rating,Alkyl Amines Chemicals Limited has informed the Exchange about Credit Rating
29-Dec-2025 13:21:45,Trading Window,"Alkyl Amines Chemicals Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-Dec-2025 22:05:00,Shareholders meeting,"Alkyl Amines Chemicals Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
19-Dec-2025 13:34:01,ESOP/ESOS/ESPS,Alkyl Amines Chemicals Limited has informed the Exchange regarding Allotment of 75  Shares.
09-Dec-2025 18:04:49,Copy of Newspaper Publication,Alkyl Amines Chemicals Limited has informed the Exchange about Copy of Newspaper Publication
19-Nov-2025 18:36:20,Copy of Newspaper Publication,Alkyl Amines Chemicals Limited has informed the Exchange about Copy of Newspaper Publication
18-Nov-2025 17:15:36,Shareholders meeting,Alkyl Amines Chemicals Limited has informed the Exchange regarding Notice of Postal Ballot
12-Nov-2025 22:22:20,Analysts/Institutional Investor Meet/Con. Call Updates,Alkyl Amines Chemicals Limited has informed the Exchange about Transcript
06-Nov-2025 18:48:02,Analysts/Institutional Investor Meet/Con. Call Updates,Alkyl Amines Chemicals Limited has informed the Exchange about Link of Recording
05-Nov-2025 18:45:46,Updates,Alkyl Amines Chemicals Limited has informed the Exchange regarding 'Opening of Trading Window'.
04-Nov-2025 13:35:12,Updates,Alkyl Amines Chemicals Limited has informed the Exchange regarding 'Revision in remuneration of Mr. Rakesh Goyal - Whole-time Director - Operations'.
04-Nov-2025 13:19:26,Outcome of Board Meeting,"Alkyl Amines Chemicals Limited has submitted to the Exchange, the financial results for the period ended September 30, 2025."
01-Nov-2025 22:57:02,Copy of Newspaper Publication,Alkyl Amines Chemicals Limited has informed the Exchange about Copy of Newspaper Publication
31-Oct-2025 14:52:21,Analysts/Institutional Investor Meet/Con. Call Updates,Alkyl Amines Chemicals Limited has informed the Exchange about Schedule of meet
07-Oct-2025 22:44:45,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Alkyl Amines Chemicals Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
07-Oct-2025 18:12:09,Copy of Newspaper Publication,Alkyl Amines Chemicals Limited has informed the Exchange about Copy of Newspaper Publication
04-Oct-2025 17:48:49,Updates,Alkyl Amines Chemicals Limited has informed the Exchange regarding 'Launch of 100 Days Campaign titled  Saksham Niveshak '.
25-Sep-2025 18:15:15,Trading Window,"Alkyl Amines Chemicals Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
16-Sep-2025 18:05:36,ESOP/ESOS/ESPS,Alkyl Amines Chemicals Limited has informed the Exchange regarding Allotment of 3536  Shares.
28-Aug-2025 14:30:42,Copy of Newspaper Publication,Alkyl Amines Chemicals Limited has informed the Exchange about Copy of Newspaper Publication
14-Aug-2025 17:46:59,Updates,Alkyl Amines Chemicals Limited has informed the Exchange regarding 'Opening of Trading Window'.
14-Aug-2025 12:55:39,Outcome of Board Meeting,"Alkyl Amines Chemicals Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2025."
10-Jul-2025 18:09:16,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Alkyl Amines Chemicals Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
03-Jul-2025 14:01:03,Shareholders meeting,"Alkyl Amines Chemicals Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on July 01, 2025. Further, the company has informed the Exchange regarding voting re"
01-Jul-2025 21:06:00,Shareholders meeting,"Alkyl Amines Chemicals Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 01, 2025"
25-Jun-2025 15:49:18,Trading Window,"Alkyl Amines Chemicals Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
12-Jun-2025 17:34:24,ESOP/ESOS/ESPS,Alkyl Amines Chemicals Limited has informed the Exchange regarding Allotment of 4023  Shares.
07-Jun-2025 16:32:48,General Updates,Alkyl Amines Chemicals Limited has informed the Exchange about General Updates
06-Jun-2025 22:14:36,Updates,Alkyl Amines Chemicals Limited has informed the Exchange regarding 'Letter to Shareholders - Annual Report FY 2024-25'.
06-Jun-2025 17:14:51,Updates,Alkyl Amines Chemicals Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report - March 2025'.
