date,desc,text
09-Jul-2026 18:52:47,Disclosure under SEBI Takeover Regulations,Apollo Tyres Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulatio
09-Jul-2026 16:03:38,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Apollo Tyres Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
07-Jul-2026 14:37:36,Copy of Newspaper Publication,Apollo Tyres Limited has informed the Exchange about Copy of Newspaper Publication regarding dispatch of Notice of AGM and Annual Report for FY26.
06-Jul-2026 13:05:04,General Updates,Apollo Tyres Limited has informed the Exchange about Intimation under Regulation 30 of SEBI LODR - Letter to the Shareholders/ Debentureholders of the Company.
06-Jul-2026 13:02:04,Updates,Apollo Tyres Limited has informed the Exchange regarding ''Business Responsibility and Sustainability Report for FY26'.
06-Jul-2026 12:46:12,Shareholders meeting,"Apollo Tyres Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 29, 2026"
03-Jul-2026 16:21:53,Copy of Newspaper Publication,"Apollo Tyres Limited has informed the Exchange about Copy of Newspaper Advertisement for Annual General Meeting, Record Date for Dividend & other related information."
30-Jun-2026 22:18:15,Closure of operations,Apollo Tyres Limited has informed the Exchange about an Update on Information related to Company's Netherlands based wholly owned subsidiary.
30-Jun-2026 17:18:11,General Updates,Apollo Tyres Limited has informed the Exchange about copy of Reminder Letter sent to holders of physical securities for furnishing of KYC details
30-Jun-2026 13:03:57,Disclosure under SEBI Takeover Regulations,"Onkar Kanwar has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011"
29-Jun-2026 15:07:28,Trading Window,"Apollo Tyres Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Jun-2026 17:16:58,General Updates,Apollo Tyres Limited has informed the Exchange about Communication to Shareholders: Intimation on Tax Deduction at Source (TDS)/ withholding taxon Dividend for FY26
