date,desc,text
10-Jul-2026 12:56:01,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Aptus Value Housing Finance India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
08-Jul-2026 15:38:06,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Schedule of meet
26-Jun-2026 17:22:26,Allotment of Securities,"Aptus Value Housing Finance India Limited has informed the Exchange regarding allotment of 50000 securities pursuant to ESOP/ESPS at its meeting held on Jun 26, 2026"
26-Jun-2026 17:20:02,Trading Window,"Aptus Value Housing Finance India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2026 16:12:01,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Schedule of meet
03-Jun-2026 17:26:15,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Schedule of meet
01-Jun-2026 17:04:58,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Schedule of meet
25-May-2026 17:49:13,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Schedule of meet
20-May-2026 09:50:11,Disclosure under SEBI Takeover Regulations,Aptus Value Housing Finance India Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and
14-May-2026 14:46:11,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Transcript
13-May-2026 18:27:29,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Schedule of meet
13-May-2026 18:25:44,General Updates,Aptus Value Housing Finance India Limited has informed the Exchange about General Updates
07-May-2026 17:45:07,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Link of Recording
07-May-2026 15:51:34,Copy of Newspaper Publication,Aptus Value Housing Finance India Limited has informed the Exchange about Copy of Newspaper Publication of Financial Results for the Fourth Quarter and year ended  as on 31st March 2026
07-May-2026 15:15:33,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Link of Recording
06-May-2026 21:56:08,General Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Audited Financial Results for the FY 2026
06-May-2026 21:02:58,Record Date,Aptus Value Housing Finance India Limited has informed the Exchange that Record date for the purpose of Dividend  is 15-May-2026.
06-May-2026 20:59:56,Investor Presentation,Aptus Value Housing Finance India Limited has informed the Exchange about Investor Presentation
06-May-2026 20:58:26,Press Release,"Aptus Value Housing Finance India Limited has informed the Exchange regarding a press release dated May 06, 2026, titled ""Audited Financials 2026""."
06-May-2026 20:55:46,Outcome of Board Meeting,"Aptus Value Housing Finance India Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
28-Apr-2026 17:36:16,Change in Director(s),Aptus Value Housing Finance India Limited has informed the Exchange regarding Change in Director(s) of the company.
24-Apr-2026 17:37:24,Shareholders meeting,"Aptus Value Housing Finance India Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
09-Apr-2026 17:27:00,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Schedule of Earnings Conference Call
04-Apr-2026 10:30:50,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Aptus Value Housing Finance India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
25-Mar-2026 17:34:07,Trading Window,"Aptus Value Housing Finance India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Mar-2026 16:47:08,Copy of Newspaper Publication,Aptus Value Housing Finance India Limited has informed the Exchange about Copy of Newspaper Publication
24-Mar-2026 12:19:29,Shareholders meeting,Aptus Value Housing Finance India Limited has informed the Exchange regarding Notice of Postal Ballot
18-Mar-2026 16:34:43,Appointment,"Aptus Value Housing Finance India Limited has informed the Exchange regarding Appointment of Mr Mr. Mukul Mathur as Non- Executive Independent Director of the company w.e.f. March 18, 2026."
17-Mar-2026 16:08:24,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Schedule of meet
09-Mar-2026 12:17:00,Change in Director(s),Aptus Value Housing Finance India Limited has informed the Exchange regarding Change in Director(s) of the company.
03-Mar-2026 15:19:28,ESOP/ESOS/ESPS,Aptus Value Housing Finance India Limited has informed the Exchange regarding Allotment of 10000  Shares.
19-Feb-2026 18:47:59,Shareholders meeting,"Aptus Value Housing Finance India Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
19-Feb-2026 10:52:50,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Schedule of meet
19-Feb-2026 10:08:51,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Schedule of meet
16-Feb-2026 11:42:32,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Schedule of meet
12-Feb-2026 19:03:16,Analysts/Institutional Investor Meet/Con. Call Updates,Aptus Value Housing Finance India Limited has informed the Exchange about Transcript
