date,desc,text
06-Jul-2026 15:52:20,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
16-Jun-2026 14:04:07,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
15-Jun-2026 19:28:16,Trading Window,"AstraZeneca Pharma India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
13-Jun-2026 12:21:17,Resignation of Director/KMP/SMP,AstraZeneca Pharma India Limited has informed the Exchange about Resignation of Director/KMP/SMP
12-Jun-2026 12:29:24,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
11-Jun-2026 10:39:27,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
09-Jun-2026 17:47:21,Disclosure under SEBI Takeover Regulations,AstraZeneca Pharmaceuticals AB has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers)
04-Jun-2026 15:42:36,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,AstraZeneca Pharma India Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
03-Jun-2026 21:07:23,Granting/withdrawal/surrender/cancellation/suspension of key licenses/ regulatory approvals,AstraZeneca Pharma India Limited has informed the Exchange about Granting/withdrawal/surrender/cancellation/suspension of key licenses/ regulatory approvals
01-Jun-2026 11:30:13,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
26-May-2026 19:47:42,Outcome of Board Meeting,"AstraZeneca Pharma India Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
26-May-2026 19:43:18,Press Release,"AstraZeneca Pharma India Limited has informed the Exchange regarding a press release dated May 26, 2026, titled ""AstraZeneca Pharma India Limited marks consistent 33% growth as the Company announces i"
21-May-2026 13:29:56,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
20-May-2026 20:31:02,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
12-May-2026 18:50:56,Amendment to AOA/MOA,AstraZeneca Pharma India Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.
12-May-2026 14:07:00,Amendment to AOA/MOA,AstraZeneca Pharma India Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.
12-May-2026 14:04:12,Shareholders meeting,"AstraZeneca Pharma India Limited has informed the Exchange regarding Proceedings of Postal Ballot. Further, the company has submitted the Exchange a copy of Srutinizers report along with voting result"
29-Apr-2026 23:27:02,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","AstraZeneca Pharma India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
10-Apr-2026 17:48:16,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
10-Apr-2026 17:25:03,Shareholders meeting,AstraZeneca Pharma India Limited has informed the Exchange regarding Notice of Postal Ballot
31-Mar-2026 19:48:31,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
31-Mar-2026 16:02:05,Shareholders meeting,"AstraZeneca Pharma India Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
20-Mar-2026 12:10:04,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
17-Mar-2026 15:07:17,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
13-Mar-2026 17:01:34,Trading Window,"AstraZeneca Pharma India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
11-Mar-2026 16:39:07,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
27-Feb-2026 16:56:08,Shareholders meeting,AstraZeneca Pharma India Limited has informed the Exchange regarding Notice of Postal Ballot
19-Feb-2026 18:21:30,Copy of Newspaper Publication,AstraZeneca Pharma India Limited has informed the Exchange about Copy of Newspaper Publication
19-Feb-2026 18:03:48,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","AstraZeneca Pharma India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
18-Feb-2026 15:33:28,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
11-Feb-2026 19:05:11,Outcome of Board Meeting,"AstraZeneca Pharma India Limited has informed the Exchange regarding  Board meeting held on February 11, 2026."
11-Feb-2026 17:50:59,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
10-Feb-2026 10:56:57,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
02-Feb-2026 18:14:58,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
31-Jan-2026 13:44:12,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
29-Jan-2026 17:05:52,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
16-Jan-2026 18:43:53,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,AstraZeneca Pharma India Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
16-Jan-2026 18:19:31,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","AstraZeneca Pharma India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
16-Jan-2026 18:18:20,Analysts/Institutional Investor Meet/Con. Call Updates,AstraZeneca Pharma India Limited has informed the Exchange about Schedule of meet
09-Jan-2026 11:51:21,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
17-Dec-2025 20:58:39,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
15-Dec-2025 17:09:19,Trading Window,"AstraZeneca Pharma India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
08-Dec-2025 19:56:14,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
08-Dec-2025 19:44:00,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","AstraZeneca Pharma India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
27-Nov-2025 20:02:10,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,AstraZeneca Pharma India Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
18-Nov-2025 16:00:40,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
17-Nov-2025 15:42:38,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
10-Nov-2025 22:19:40,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","AstraZeneca Pharma India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
10-Nov-2025 22:17:56,Copy of Newspaper Publication,AstraZeneca Pharma India Limited has informed the Exchange about Copy of Newspaper Publication
10-Nov-2025 22:15:25,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
10-Nov-2025 17:24:14,General Updates,AstraZeneca Pharma India Limited has informed the Exchange about General Updates
10-Nov-2025 16:36:05,Disclosure of material issue,AstraZeneca Pharma India Limited has informed regarding the resignation of Company Secretary and Compliance Officer
10-Nov-2025 16:34:24,Disclosure of material issue,AstraZeneca Pharma India Limited has informed regarding Disclosure of material issue
10-Nov-2025 16:32:54,Disclosure of material issue,AstraZeneca Pharma India Limited has informed regarding Disclosure of material issue
07-Nov-2025 18:35:39,Press Release,"AstraZeneca Pharma India Limited has informed the Exchange regarding a press release dated November 07, 2025, titled ""Press Release""."
