date,desc,text
08-Jul-2026 13:06:38,Analysts/Institutional Investor Meet/Con. Call Updates,"Adani Total Gas Limited has informed the Exchange about Schedule of Investor call to be held on July 22, 2026 for the financial results for the quarter ended June 30, 2026."
07-Jul-2026 19:40:08,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Adani Total Gas Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
03-Jul-2026 19:59:46,General Updates,Adani Total Gas Limited has informed the Exchange about General Updates - ESG Rating by Crisil ESG Rating & Analytics Limited
29-Jun-2026 17:10:31,Trading Window,"Adani Total Gas Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
27-Jun-2026 16:46:41,General Updates,Adani Total Gas Limited has informed the Exchange about General Updates -ESG Rating by  CARE ESG Ratings Limited
26-Jun-2026 17:45:51,Shareholders meeting,"Adani Total Gas Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on Jun 25, 2026. Further, the company has informed the Exchange regarding voting results."
25-Jun-2026 20:33:36,Shareholders meeting,"Adani Total Gas Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on Jun 25, 2026"
24-Jun-2026 20:17:01,General Updates,Adani Total Gas Limited has informed the Exchange about General Updates - ESG Rating
16-Jun-2026 19:16:56,Copy of Newspaper Publication,Adani Total Gas Limited has informed the Exchange about Copy of Newspaper Publication in compliance with IEPF Rules 2016
01-Jun-2026 14:03:39,Copy of Newspaper Publication,"Adani Total Gas Limited has informed the Exchange about Copy of Newspaper Publication regarding Notice of 21st Annual General Meeting, Intimation of Record Date and E-Voting Information"
29-May-2026 23:49:01,Updates,"Adani Total Gas Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for the Financial Year ended March 31, 2026'."
29-May-2026 23:46:03,Shareholders meeting,"Adani Total Gas Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on Jun 25, 2026"
29-May-2026 20:43:32,Price movement,"Significant movement in price has been observed in Adani Total Gas Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market "
29-May-2026 18:57:20,Price movement,"Significant movement in price has been observed in Adani Total Gas Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market "
27-May-2026 18:27:58,Copy of Newspaper Publication,Adani Total Gas Limited has informed the Exchange about Copy of Newspaper Publication for 21st Annual General Meeting through Video Conferencing / Other Audio Visual Means
21-May-2026 19:20:18,Change in Management,Adani Total Gas Limited has informed the Exchange about change in Management - Redesignation of Mr. Suresh P Manglani from Executive Director  and Chief Executive Officer to Executive Director w.e.f. 
15-May-2026 11:00:38,Disclosure under SEBI Takeover Regulations,Adani Total Gas Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regula
