date,desc,text
10-Jul-2026 11:05:02,Analysts/Institutional Investor Meet/Con. Call Updates,Bajaj Auto Limited has informed the Exchange about Schedule of meet
02-Jul-2026 08:53:03,Press Release,"Bajaj Auto Limited has informed the Exchange regarding a press release dated July 02, 2026, titled ""Sales for the month of June 2026""."
30-Jun-2026 16:56:50,Action(s) taken or orders passed,Bajaj Auto Limited has informed the Exchange about Order passed
30-Jun-2026 15:44:56,Copy of Newspaper Publication,"Bajaj Auto Limited has informed the Exchange about Copy of Newspaper Publication regarding completion of dispatch of the Letter of Offer and setting out details of key timelines, entitlement ratio for"
29-Jun-2026 15:47:07,Trading Window,"Bajaj Auto Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
29-Jun-2026 13:31:47,Updates,Bajaj Auto Limited has informed the Exchange regarding ''Letter of offer for the buyback of equity shares''.
26-Jun-2026 14:46:57,General Updates,Bajaj Auto Limited has informed the Exchange about update to the Cyber Security Incident.
26-Jun-2026 14:22:39,Copy of Newspaper Publication,"Bajaj Auto Limited has informed the Exchange about the Newspaper advertisements published in Financial Express and Kesari on 26 June 2026 for the shareholders of the company informing, inter alia, abo"
25-Jun-2026 13:23:18,Updates,Bajaj Auto Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for the financial year ended 31 March 2026'.
25-Jun-2026 13:11:35,Shareholders meeting,"Bajaj Auto Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 21, 2026"
23-Jun-2026 19:13:08,General Updates,Bajaj Auto Limited has informed the Exchange about Cyber Security Incident.
23-Jun-2026 17:40:22,Updates,"Bajaj Auto Limited has informed the Exchange regarding ' issuance, allotment and listing of Non-convertible Debentures by Bajaj Auto Credit Limited, a wholly owned subsidiary of Bajaj Auto Limited.'"
22-Jun-2026 21:47:46,Updates,"Bajaj Auto Limited has informed the Exchange regarding ""Shareholder Resolution for Buyback of Equity Shares"" - Revised"
22-Jun-2026 15:43:52,Updates,Bajaj Auto Limited has informed the Exchange regarding ''Shareholder Resolution for Buyback of Equity Shares''.
22-Jun-2026 15:42:02,Copy of Newspaper Publication,Bajaj Auto Limited has informed the Exchange about Copy of Newspaper Publication
18-Jun-2026 15:10:05,Record Date,Bajaj Auto Limited has informed the Exchange that Record date for the purpose of Buyback  is 24-Jun-2026.
18-Jun-2026 12:38:15,Shareholders meeting,"Bajaj Auto Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
09-Jun-2026 13:29:45,Action(s) taken or orders passed,Bajaj Auto Limited has informed the Exchange about Action(s) taken or orders passed
04-Jun-2026 17:22:45,General Updates,Bajaj Auto Limited has informed the Exchange about intimation letter sent to shareholders regarding updation of KYC details
01-Jun-2026 22:43:00,General Updates,Bajaj Auto Limited has informed the Exchange about Communication sent to Shareholders regarding Tax Deduction at Source (TDS) on Dividend.
01-Jun-2026 08:54:37,Press Release,"Bajaj Auto Limited has informed the Exchange regarding a press release dated Jun 01, 2026, titled ""Sales for the month of May 2026""."
30-May-2026 22:43:59,Change in Management,"Bajaj Auto Limited has informed the Exchange about change in Management - consequent to the change in reporting on account of organisational restructuring, Ms. Baminee Viswanat (General Counsel, redes"
30-May-2026 22:39:28,Cessation,"Bajaj Auto Limited has informed the Exchange regarding Cessation of  Vijay Jerome  as Other of the company w.e.f. Jun 01, 2026."
30-May-2026 22:33:19,Cessation,"Bajaj Auto Limited has informed the Exchange regarding Cessation of  Baminee V as Other of the company w.e.f. Jun 01, 2026."
28-May-2026 15:25:45,Analysts/Institutional Investor Meet/Con. Call Updates,Bajaj Auto Limited has informed the Exchange about Schedule of meet
28-May-2026 15:25:45,Analysts/Institutional Investor Meet/Con. Call Updates,Bajaj Auto Limited has informed the Exchange about Schedule of meet
28-May-2026 15:23:14,Analysts/Institutional Investor Meet/Con. Call Updates,Bajaj Auto Limited has informed the Exchange about Schedule of meet
23-May-2026 16:01:16,Copy of Newspaper Publication,"Bajaj Auto Limited has informed the Exchange about Copy of Newspaper Publication intimating the shareholders regarding shares liable to be transferred to IEPFA, Saksham Niveshak initiative by IEPFA an"
18-May-2026 18:01:23,Agreements,"Bajaj Auto Limited has informed the Exchange about termination of loan agreements entered into by Bajaj Auto International Holdings BV, a wholly owned subsidiary of Bajaj Auto Limited and Bajaj Auto I"
16-May-2026 12:01:48,Copy of Newspaper Publication,Bajaj Auto Limited has informed the Exchange about Copy of Newspaper Publication - Postal Ballot
15-May-2026 17:01:13,Shareholders meeting,Bajaj Auto Limited has informed the Exchange regarding Notice of Postal Ballot
14-May-2026 11:23:36,Copy of Newspaper Publication,Bajaj Auto Limited has informed the Exchange about Copy of Newspaper Publication regarding notice of special window for transfer and dematerialisation of physical securities.
13-May-2026 11:47:02,Press Release,"Bajaj Auto Limited has informed the Exchange regarding ad hoc announcement and press release issued by Bajaj Mobility AG (formerly PIERER Mobility AG), a step-down subsidiary of Bajaj Auto Limited, ti"
12-May-2026 16:29:16,Analysts/Institutional Investor Meet/Con. Call Updates,Bajaj Auto Limited has informed the Exchange about Transcript
