date,desc,text
10-Jul-2026 23:07:33,Press Release,"Balrampur Chini Mills Limited has informed the Exchange regarding a press release dated July 10, 2026, titled   Bioyug On Wheels  Brings the Conversation on Compostable Bioplastics to Shree Somnath Te"
09-Jul-2026 11:47:27,Press Release,"Balrampur Chini Mills Limited has informed the Exchange regarding a press release dated July 09, 2026, titled ""Balrampur Bioyug's 'Bioyug On Wheels' Engages Rajkot Citizens in Conversations on Sustain"
30-Jun-2026 18:48:49,Updates,"Balrampur Chini Mills Limited has informed the Exchange regarding 'Intimation of receipt of Trading Approval for 93,16,771 (Ninety Three Lakhs Sixteen Thousand Seven Hundred Seventy One) Equity Shares"
25-Jun-2026 19:38:01,Trading Window,"Balrampur Chini Mills Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Jun-2026 23:34:29,Updates,"Balrampur Chini Mills Limited has informed the Exchange regarding 'Intimation of receipt of Listing Approval for 93,16,771 Equity Shares having face value of Re. 1/- (Rupee One only) each issued to Pr"
20-Jun-2026 16:10:23,Analysts/Institutional Investor Meet/Con. Call Updates,Balrampur Chini Mills Limited has informed the Exchange about Schedule of meet
20-Jun-2026 15:27:11,Investor Presentation,Balrampur Chini Mills Limited has informed the Exchange about Investor Presentation
18-Jun-2026 17:16:25,Shareholders meeting,"Balrampur Chini Mills Limited has informed the Exchange with copy of minutes of  Extraordinary General Meeting held on May 20, 2026"
12-Jun-2026 20:09:55,Disclosure under SEBI Takeover Regulations,"Vivek Saraogi has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 201"
05-Jun-2026 19:14:52,Press Release,"Balrampur Chini Mills Limited has informed the Exchange regarding a press release dated Jun 05, 2026, titled ""BCML and the Lucknow Cantonment Board Launch Landmark Bioplastics Adoption Initiative at B"
03-Jun-2026 19:18:17,Allotment of Securities,"Balrampur Chini Mills Limited has informed the Exchange regarding allotment of 93,16,771 Equity Shares pursuant to Preferential Issue, in accordance with the resolution passed by the Board of Director"
27-May-2026 21:06:50,Updates,Balrampur Chini Mills Limited has informed the Exchange regarding 'Intimation of receipt of In-Principle approval for Preferential Issue under Regulation 28(1) of SEBI (Listing Obligations and Disclos
22-May-2026 16:24:46,Analysts/Institutional Investor Meet/Con. Call Updates,Balrampur Chini Mills Limited has informed the Exchange about Transcript
21-May-2026 19:01:10,Shareholders meeting,"Balrampur Chini Mills Limited has submitted the Exchange a copy Srutinizers report of  Extraordinary General Meeting held on May 20, 2026. Further, the company has informed the Exchange regarding voti"
20-May-2026 20:42:32,Shareholders meeting,"Balrampur Chini Mills Limited has informed the Exchange regarding Proceedings of Extraordinary General Meeting held on May 20, 2026"
19-May-2026 17:07:59,Press Release,"Balrampur Chini Mills Limited has informed the Exchange regarding a press release dated May 19, 2026, titled ""Balrampur Foundation Introduces  Building Skills. Transforming Futures   Balrampur Bioyug "
18-May-2026 19:31:25,Analysts/Institutional Investor Meet/Con. Call Updates,Balrampur Chini Mills Limited has informed the Exchange about Link of Recording
16-May-2026 17:35:55,Copy of Newspaper Publication,Balrampur Chini Mills Limited has informed the Exchange about Copy of Newspaper Publication regarding the Audited Financial Results (Standalone and Consolidated) for the quarter and year ended March 3
15-May-2026 23:05:28,Press Release,"Balrampur Chini Mills Limited has informed the Exchange regarding a press release dated May 15, 2026, titled ""Q4 FY26 Financial Results""."
15-May-2026 21:12:12,Change in Auditors,Balrampur Chini Mills Limited has informed the Exchange regarding Change in Auditors of the company.
15-May-2026 21:07:43,Change in Director(s),Balrampur Chini Mills Limited has informed the Exchange regarding Change in Director(s) of the company.
15-May-2026 20:54:34,Investor Presentation,Balrampur Chini Mills Limited has informed the Exchange about Investor Presentation
15-May-2026 19:58:18,Outcome of Board Meeting,"Balrampur Chini Mills Limited has informed the Exchange regarding Outcome of Board Meeting held on May 15, 2026 and submission of Audited Financial Results (Standalone and Consolidated) for the quarte"
13-May-2026 19:46:44,Credit Rating,Balrampur Chini Mills Limited has informed the Exchange about Credit Rating
12-May-2026 18:16:57,Analysts/Institutional Investor Meet/Con. Call Updates,Balrampur Chini Mills Limited has informed the Exchange about Schedule of meet
07-May-2026 20:23:11,Copy of Newspaper Publication,Balrampur Chini Mills Limited has informed the Exchange about Copy of Newspaper Publication regarding Second 100 Days Campaign    Saksham Niveshak
07-May-2026 19:31:06,General Updates,"Balrampur Chini Mills Limited has informed the Exchange about Intimation under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
06-May-2026 13:51:07,Press Release,"Balrampur Chini Mills Limited has informed the Exchange regarding a press release dated May 06, 2026, titled ""New Study by Premier Government Institution Advancing Technical Education and Innovation A"
02-May-2026 15:56:46,Updates,Balrampur Chini Mills Limited has informed the Exchange regarding 'Operational Data for Sugar Season 2025-26'.
30-Apr-2026 21:14:35,Analysts/Institutional Investor Meet/Con. Call Updates,Balrampur Chini Mills Limited has informed the Exchange about Transcript
28-Apr-2026 18:27:03,Copy of Newspaper Publication,Balrampur Chini Mills Limited has informed the Exchange about Copy of Newspaper Publication
28-Apr-2026 18:19:37,Analysts/Institutional Investor Meet/Con. Call Updates,Balrampur Chini Mills Limited has informed the Exchange about Link of Audio Recording of  Balrampur Chini Mills  Conference Call on PLA Project Update and CapitalRaising Initiatives
28-Apr-2026 15:18:05,Resignation of Director/KMP/SMP,Balrampur Chini Mills Limited has informed the Exchange about Resignation of Director/KMP/SMP
27-Apr-2026 21:18:17,Shareholders meeting,"Balrampur Chini Mills Limited has informed the Exchange regarding Notice of Extraordinary General Meeting to be held on May 20, 2026"
24-Apr-2026 16:02:34,Press Release,"Balrampur Chini Mills Limited has informed the Exchange regarding a press release dated April 24, 2026, titled ""Balrampur Chini Mills Ltd announces &#8377;160 Crore Lactogypsum Processing Plant at Kum"
23-Apr-2026 22:14:32,Updates,"Balrampur Chini Mills Limited has informed the Exchange regarding ""Establishment of a Gypsum Processing Plant at Kumbhi, Uttar Pradesh""."
23-Apr-2026 22:10:53,Updates,Balrampur Chini Mills Limited has informed the Exchange regarding 'Revision in the CAPEX for Installation of new Poly Lactic Acid (PLA) Project'.
23-Apr-2026 21:16:44,General Updates,Balrampur Chini Mills Limited has informed the Exchange about raising of funds
23-Apr-2026 21:09:55,Preferential issue,Balrampur Chini Mills Limited has informed the Exchange about (1)Preferential issue of equity shares of face value of Rs. 1 each (the Equity Shares )
23-Apr-2026 21:00:04,Issue of Securities,"Balrampur Chini Mills Limited has informed the Exchange about (1)Preferential issue of equity shares of face value of Rs. 1 each (the Equity Shares ) and (2)issuance of Listed, Secured, Non-Convertibl"
23-Apr-2026 20:41:52,Analysts/Institutional Investor Meet/Con. Call Updates,Balrampur Chini Mills Limited has informed the Exchange about Schedule of meet
23-Apr-2026 15:33:02,Updates,Balrampur Chini Mills Limited has informed the Exchange regarding 'Grant of Employee Stock Appreciation Rights (ESARs)'.
23-Apr-2026 15:01:05,Outcome of Board Meeting,"Balrampur Chini Mills Limited has informed the Exchange regarding Outcome of Board Meeting held on April 23, 2026."
21-Apr-2026 18:41:09,Change in Management,Balrampur Chini Mills Limited has informed the Exchange about change in Management
09-Apr-2026 17:48:00,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Balrampur Chini Mills Limited has informed the Exchange about Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018"
28-Mar-2026 16:54:31,Copy of Newspaper Publication,Balrampur Chini Mills Limited has informed the Exchange about Copy of Newspaper Publication
27-Mar-2026 18:26:38,Trading Window,"Balrampur Chini Mills Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Mar-2026 19:32:02,Analysts/Institutional Investor Meet/Con. Call Updates,Balrampur Chini Mills Limited has informed the Exchange about Schedule of meet
16-Mar-2026 19:56:31,Credit Rating,Balrampur Chini Mills Limited has informed the Exchange about Credit Rating
12-Mar-2026 15:49:25,General Updates,"Balrampur Chini Mills Limited has informed the Exchange about Intimation under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
26-Feb-2026 18:43:14,Updates,Balrampur Chini Mills Limited has informed the Exchange regarding 'Submission of ESG Report for FY 2025'.
23-Feb-2026 11:18:30,Press Release,"Balrampur Chini Mills Limited has informed the Exchange regarding a Press Release being issued with respect to the Poly Lactic Acid (PLA) vertical of the Company, titled as ""Balrampur Chini Mills Sign"
19-Feb-2026 20:31:06,Updates,Balrampur Chini Mills Limited has informed the Exchange regarding 'Communication to the Shareholders regarding (1). Non-credit of Dividend due to Incorrect Bank Details   Submission of Correct Bank De
13-Feb-2026 19:45:04,Analysts/Institutional Investor Meet/Con. Call Updates,Balrampur Chini Mills Limited has informed the Exchange about Transcript
11-Feb-2026 20:19:39,Analysts/Institutional Investor Meet/Con. Call Updates,Balrampur Chini Mills Limited has informed the Exchange about Link of Recording
11-Feb-2026 19:11:46,Copy of Newspaper Publication,Balrampur Chini Mills Limited has informed the Exchange about Copy of Newspaper Publication regarding the Un-Audited Financial Results (Standalone and Consolidated) for the quarter and nine months end
10-Feb-2026 17:49:12,Press Release,"Balrampur Chini Mills Limited has informed the Exchange regarding a press release dated February 10, 2026, titled ""Q3 FY26 Financial Results""."
10-Feb-2026 16:11:37,Updates,Balrampur Chini Mills Limited has informed the Exchange regarding 'Consideration and Designation of Chairperson of the Executive Committees of the Board of Directors'.
10-Feb-2026 16:02:31,Investor Presentation,Balrampur Chini Mills Limited has informed the Exchange about Investor Presentation
10-Feb-2026 15:08:48,Outcome of Board Meeting,"Balrampur Chini Mills Limited has submitted to the Exchange, the Un-Audited Financial Results (Standalone and Consolidated) for the quarter and Nine months ended December 31, 2025"
03-Feb-2026 20:35:30,Analysts/Institutional Investor Meet/Con. Call Updates,Balrampur Chini Mills Limited has informed the Exchange about Schedule of meet
09-Jan-2026 17:19:18,General Updates,"Balrampur Chini Mills Limited has informed the Exchange about Intimation under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
08-Jan-2026 19:21:09,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Balrampur Chini Mills Limited has informed the Exchange about Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018"
05-Jan-2026 20:18:21,Analysts/Institutional Investor Meet/Con. Call Updates,Balrampur Chini Mills Limited has informed the Exchange about Schedule of meet
