date,desc,text
06-Jul-2026 17:00:18,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","BEML Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
30-Jun-2026 15:52:48,Change in Management,BEML Limited has informed the Exchange about change in Management
26-Jun-2026 11:37:52,Bagging/Receiving of orders/contracts,BEML Limited has informed the Exchange about Bagging/Receiving of orders/contracts
25-Jun-2026 10:06:10,Trading Window,"BEML Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2026 15:45:44,Disclosure under SEBI Takeover Regulations,"BEML Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011"
16-Jun-2026 16:39:21,Analysts/Institutional Investor Meet/Con. Call Updates,BEML Limited has informed the Exchange about Transcript
10-Jun-2026 19:10:34,Analysts/Institutional Investor Meet/Con. Call Updates,BEML Limited has informed the Exchange about Link of Recording
10-Jun-2026 09:00:00,Investor Presentation,BEML Limited has informed the Exchange about Investor Presentation
05-Jun-2026 17:53:33,Change in Auditors,BEML Limited has informed the Exchange regarding Change in Auditors of the company.
05-Jun-2026 17:11:36,Appointment,"BEML Limited has informed the Exchange regarding Appointment of Mr Dinesh Mahur as Non- Executive Director of the company w.e.f. Jun 05, 2026."
05-Jun-2026 17:11:36,Cessation,"BEML Limited has informed the Exchange regarding Cessation of Mrs Meera Mohanty  as Non- Executive Director of the company w.e.f. Jun 05, 2026."
04-Jun-2026 14:23:52,Analysts/Institutional Investor Meet/Con. Call Updates,BEML Limited has informed the Exchange about Schedule of meet
02-Jun-2026 13:03:26,Cessation,"BEML Limited has informed the Exchange regarding Cessation of  Sasi Kumar K as Other of the company w.e.f. May 31, 2026."
01-Jun-2026 15:05:16,Copy of Newspaper Publication,BEML Limited has informed the Exchange about Copy of Newspaper Publication
29-May-2026 14:58:02,Updates,BEML Limited has informed the Exchange regarding 'Information for Investors '.
29-May-2026 14:32:24,Dividend,"BEML Limited has informed the Exchange that Board of Directors at its meeting held on May 29, 2026, declared Interim Dividend of Rs. 2.30 per equity share."
