date,desc,text
09-Jul-2026 10:33:35,Copy of Newspaper Publication,Bikaji Foods International Limited has informed the Exchange about Copy of Newspaper Publication for Notice of 31st AGM and Record Date
04-Jul-2026 17:47:33,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Bikaji Foods International Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
04-Jul-2026 12:07:49,Acquisition,"Bikaji Foods International Limited has informed the Exchange about Completion of additional acquisition of 2,90,000 shares of Common Stock in Bikaji Foods International USA Corp, Wholly - Owned Subsid"
02-Jul-2026 16:17:58,Acquisition,Bikaji Foods International Limited has informed the Exchange about Completion of acquisition of 74% equity share capital in Jai Barbareek Dev Snacks Private Limited
25-Jun-2026 10:52:22,Trading Window,"Bikaji Foods International Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
08-Jun-2026 17:45:25,Analysts/Institutional Investor Meet/Con. Call Updates,Bikaji Foods International Limited has informed the Exchange about   Outcome
01-Jun-2026 11:37:36,Analysts/Institutional Investor Meet/Con. Call Updates,"Bikaji Foods International Limited has informed the Exchange about Cancellation of Analyst/ Investor Meet on June 01, 2026"
01-Jun-2026 10:04:52,Analysts/Institutional Investor Meet/Con. Call Updates,Bikaji Foods International Limited has informed the Exchange about Schedule of meet at London
26-May-2026 17:52:03,Analysts/Institutional Investor Meet/Con. Call Updates,"Bikaji Foods International Limited has informed the Exchange about Transcript of Earnings Conference Call for the quarter and financial year ended on March 31, 2026"
25-May-2026 13:56:44,Analysts/Institutional Investor Meet/Con. Call Updates,"Bikaji Foods International Limited has informed the Exchange about Schedule of Analyst/ Investor Meet at Mumbai, India"
22-May-2026 15:11:21,Analysts/Institutional Investor Meet/Con. Call Updates,Bikaji Foods International Limited has informed the Exchange about Link of Recording and  Outcome
22-May-2026 14:42:31,Copy of Newspaper Publication,"Bikaji Foods International Limited has informed the Exchange about Newspaper Publication for the Audited Financial Results of the Company for the Quarter and Financial Year ended on March 31, 2026"
21-May-2026 22:30:41,Appointment,"Bikaji Foods International Limited has informed the Exchange regarding re-appointment of Mr Deepak Agarwal as Chairman & Managing Director of the company w.e.f. February 01, 2027."
21-May-2026 22:30:41,Appointment,"Bikaji Foods International Limited has informed the Exchange regarding Re-appointment of Mr Siraj Azmat Chaudhry as Non- Executive Independent Director of the company w.e.f. August 24, 2026."
21-May-2026 22:30:41,Appointment,"Bikaji Foods International Limited has informed the Exchange regarding Re-appointment of Mr Pulkit Anilkumar Bachhawat as Non- Executive Independent Director of the company w.e.f. December 08, 2026."
21-May-2026 22:30:41,Appointment,"Bikaji Foods International Limited has informed the Exchange regarding Re-appointment of Mrs Richa Manoj Goyal as Non- Executive Independent Director of the company w.e.f. December 08, 2026."
21-May-2026 22:30:41,Appointment,"Bikaji Foods International Limited has informed the Exchange regarding Re-appointment of Mr Nikhil Kishorchandra Vora as Non- Executive Independent Director of the company w.e.f. December 08, 2026."
21-May-2026 22:30:41,Appointment,"Bikaji Foods International Limited has informed the Exchange regarding Re-appointment of Mrs Shweta Agarwal as Whole-Time Director of the company w.e.f. February 01, 2027."
21-May-2026 20:50:55,Press Release,"Bikaji Foods International Limited has informed the Exchange regarding a press release dated May 21, 2026, titled ""Press Release   Financial Results for Q4 & FY26""."
21-May-2026 20:49:18,Investor Presentation,Bikaji Foods International Limited has informed the Exchange about Investor Presentation
21-May-2026 20:47:39,Giving guarantees/indemnity/ becoming a surety for third party,"Bikaji Foods International Limited has informed the Exchange about Approval of the Issuance of Corporate Guarantee in favor of HDFC Bank Limited, on behalf of Bhujialalji Private Limited, an Associate"
21-May-2026 20:45:57,Giving guarantees/indemnity/ becoming a surety for third party,"Bikaji Foods International Limited has informed the Exchange about Approval of the Issuance Of Corporate Guarantee in favor of HDFC Bank Limited, on behalf of Jai Barbareek Dev Snacks Private Limited,"
21-May-2026 20:43:18,Memorandum of Understanding/Agreements,"Bikaji Foods International Limited has informed the Exchange about Approval of the  execution of Loan Agreement with Dadiji Snacks Private Limited, CMU of the Company"
21-May-2026 20:41:48,Acquisition,"Bikaji Foods International Limited has informed the Exchange about Approval of the Investment in Bikaji Bakes Private Limited, Wholly-Owned Subsidiary of the Company"
21-May-2026 20:40:36,Acquisition,Bikaji Foods International Limited has informed the Exchange about Approved of the Investment in Jai Barbareek Dev Snacks Private Limited
21-May-2026 20:39:14,Acquisition,"Bikaji Foods International Limited has informed the Exchange about Additional Investment in Bikaji Foods International USA Corp, Wholly-Owned Subsidiary of the Company"
21-May-2026 20:21:42,Change in Management,Bikaji Foods International Limited has informed the Exchange about Designated followings officials of the Company as Senior Management Personnel: 1. Sameer Bhadauria 2. Amrit Chaudhary 3. Simran Dhing
21-May-2026 20:20:14,Change in Director(s),Bikaji Foods International Limited has informed the Exchange regarding Change in Director(s) of the company.
