date,desc,text
09-Jul-2026 16:51:02,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about the intimation of Q1 FY26-27 Earnings Call
08-Jul-2026 17:21:50,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Computer Age Management Services Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 30th June 2026"
08-Jul-2026 17:05:59,Amendment to AOA/MOA,Computer Age Management Services Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.
08-Jul-2026 16:49:18,Shareholders meeting,"Computer Age Management Services Limited has submitted the Exchange a copy Scrutinizers report and voting results of the 38th Annual General Meeting held on July 07, 2026"
07-Jul-2026 19:52:15,Shareholders meeting,"Computer Age Management Services Limited has informed the Exchange regarding Proceedings of 38th Annual General Meeting held on July 07, 2026 through OAVM"
03-Jul-2026 14:57:50,Granting/withdrawal/surrender/cancellation/suspension of key licenses/ regulatory approvals,"Computer Age Management Services Limited has informed the Exchange about receipt of approval from Development Commissioner, GIFT SEZ and IFSCA, Gift City by CAMS Investor Services Private Limited, Who"
01-Jul-2026 11:43:55,Updates,Computer Age Management Services Limited has informed the Exchange regarding 'Addendum to Annual Report'.
26-Jun-2026 17:46:32,General Updates,Computer Age Management Services Limited has informed the Exchange about an Addendum to the Notice convening 38th Annual General meeting
26-Jun-2026 16:32:23,Trading Window,"Computer Age Management Services Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
16-Jun-2026 17:49:40,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
16-Jun-2026 17:42:43,Copy of Newspaper Publication,Computer Age Management Services Limited has informed the Exchange about Copy of Newspaper Publication of 38th Annual General Meeting
15-Jun-2026 21:52:48,General Updates,Computer Age Management Services Limited has informed the Exchange about letter to shareholders regarding Annual Report
15-Jun-2026 21:43:25,General Updates,Computer Age Management Services Limited has informed the Exchange about General Updates about Business Responsibility and Sustainability Report for the financial year 2025-2026
15-Jun-2026 21:24:26,Shareholders meeting,"Computer Age Management Services Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 07, 2026"
15-Jun-2026 11:14:51,Allotment of Securities,"Computer Age Management Services Limited has informed the Exchange regarding allotment of 220230 securities pursuant to ESOP/ESPS through circular resolution approved on Jun 12, 2026"
04-Jun-2026 18:08:27,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
03-Jun-2026 19:38:52,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
03-Jun-2026 17:22:51,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
26-May-2026 18:33:16,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
26-May-2026 15:40:13,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
21-May-2026 17:21:09,Appointment,"Computer Age Management Services Limited has informed the Exchange regarding Appointment of Mr. Prasenjit Datta as Chief Technology Officer of the company w.e.f. May 21, 2026."
19-May-2026 12:43:17,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
19-May-2026 11:22:51,Press Release,"Computer Age Management Services Limited has informed the Exchange regarding a press release dated May 19, 2026, titled ""Press Release titled   CAMS Unveils  Going beyond the Box 2026  Report: Women I"
12-May-2026 12:49:37,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
11-May-2026 18:24:15,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
08-May-2026 11:59:20,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Transcript
07-May-2026 18:21:29,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
05-May-2026 19:19:32,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Link of Recording
05-May-2026 16:10:25,Copy of Newspaper Publication,Computer Age Management Services Limited has informed the Exchange about Copy of Newspaper Publication on Audited Standalone and Consolidated Financial Results for the quarter and year ended 31st Marc
04-May-2026 20:24:01,Press Release (Revised),"Computer Age Management Services Limited has informed the Exchange regarding a revised press release dated May 04, 2026, titled ""Revised Press Release on Audited Standalone and Consolidated Financial "
04-May-2026 20:16:20,Investor Presentation,Computer Age Management Services Limited has informed the Exchange about Investor Presentation
04-May-2026 20:09:29,Investor Presentation,Computer Age Management Services Limited has informed the Exchange about Investor Presentation
04-May-2026 19:49:35,Record Date,Computer Age Management Services Limited has informed the Exchange that Record date for the purpose of Dividend  is 10-Jul-2026.
04-May-2026 19:43:39,Press Release,"Computer Age Management Services Limited has informed the Exchange regarding a press release dated May 04, 2026, titled ""Media Release  Audited Standalone and Consolidated Financial Results for the qu"
04-May-2026 18:31:26,Outcome of Board Meeting,"Computer Age Management Services Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
08-Apr-2026 12:12:46,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Computer Age Management Services Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended March 31,2026"
07-Apr-2026 16:01:58,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about intimation of Q4 & FY25-26 Earnings Call
27-Mar-2026 17:50:26,Allotment of Securities,"Computer Age Management Services Limited has informed the Exchange regarding allotment of 96207 securities pursuant to ESOP/ESPS on March 27, 2026"
26-Mar-2026 15:37:51,Trading Window,"Computer Age Management Services Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
20-Mar-2026 19:12:41,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
18-Mar-2026 18:12:47,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
16-Mar-2026 10:26:03,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
11-Mar-2026 13:49:40,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
05-Mar-2026 18:55:37,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
05-Mar-2026 16:48:24,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Cancellation of Analyst/ Institutional Investor meeting scheduled on 10th & 11th March 2026
25-Feb-2026 16:43:28,Press Release,"Computer Age Management Services Limited has informed the Exchange regarding a press release dated February 25, 2026, titled MF Central Strengthens Independent Governance; Appoints Supratim Bandyopadh"
24-Feb-2026 20:09:38,Press Release,"Computer Age Management Services Limited has informed the Exchange regarding a press release dated February 24, 2026, titled ""PFRDA and CAMS CRA partner for NPS Vatsalya outreach programme in Tiruchir"
24-Feb-2026 17:39:25,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
