date,desc,text
11-Jul-2026 14:17:12,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Caplin Point Laboratories Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
27-Jun-2026 15:10:08,Trading Window,"Caplin Point Laboratories Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-Jun-2026 18:13:26,Copy of Newspaper Publication,Caplin Point Laboratories Limited has informed the Exchange about Copy of Newspaper Publication
16-Jun-2026 18:25:30,Disclosure under SEBI Takeover Regulations,Caplin Point Laboratories Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeove
22-May-2026 18:26:20,Analysts/Institutional Investor Meet/Con. Call Updates,Caplin Point Laboratories Limited has informed the Exchange about Schedule of meet
21-May-2026 18:26:40,Analysts/Institutional Investor Meet/Con. Call Updates,Caplin Point Laboratories Limited has informed the Exchange about Transcript
14-May-2026 19:33:13,Analysts/Institutional Investor Meet/Con. Call Updates,Caplin Point Laboratories Limited has informed the Exchange about Link of Recording
14-May-2026 19:09:20,Press Release,"Caplin Point Laboratories Limited has informed the Exchange regarding a press release dated May 14, 2026, titled ""Receipt of final approval by our subsidiary, Caplin Steriles Limited, from the USFDA f"
14-May-2026 13:24:55,Record Date,Caplin Point Laboratories Limited has informed the Exchange that Record date for the purpose of Dividend  is 30-May-2026.
14-May-2026 13:23:01,Dividend,"Caplin Point Laboratories Limited has informed the Exchange that Board of Directors at its meeting held on May 14, 2026, declared Interim Dividend of Rs. 4 per equity share."
14-May-2026 13:16:37,Outcome of Board Meeting,"Caplin Point Laboratories Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
07-May-2026 16:40:05,Analysts/Institutional Investor Meet/Con. Call Updates,Caplin Point Laboratories Limited has informed the Exchange about Schedule of meet
05-May-2026 12:43:13,Press Release,"Caplin Point Laboratories Limited has informed the Exchange regarding a press release dated May 05, 2026, titled ""Receipt of final approval by our Subsidiary, Caplin Steriles Limited, from the USFDA f"
06-Apr-2026 15:29:51,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Caplin Point Laboratories Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
27-Mar-2026 18:40:29,Trading Window,"Caplin Point Laboratories Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
