date,desc,text
06-Jul-2026 10:31:41,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Castrol India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
29-Jun-2026 11:26:52,Updates,Castrol India Limited has informed the Exchange regarding 'Press Release titled  Tata Motors and Castrol India collaborate to advance used oil circularity across the lubricant value chain'.
29-Jun-2026 11:16:51,Trading Window,"Castrol India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 18:34:42,Updates,"Castrol India Limited has informed the Exchange regarding 'Disclosure Under Regulation 30(5) of the SEBI (LODR) Regulations, 2015 is Enclosed.'."
18-Jun-2026 12:33:52,Updates,"Castrol India Limited has informed the Exchange regarding 'Press Release titled as ""Castrol India highlights rising demand for smoother riding experiences with new  Bike Smooth, Toh Life Smooth  campa"
17-Jun-2026 12:28:07,Disclosure under SEBI Takeover Regulations,"Castrol Limited, UK has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulation"
08-Jun-2026 17:27:46,Analysts/Institutional Investor Meet/Con. Call Updates,Intimation of schedule of analysts / institutional investors meet is enclosed.
02-Jun-2026 16:12:21,Copy of Newspaper Publication,Newspaper Advertisement regarding transfer of Equity Shares of the Company to Investor Education and Protection Fund (IEPF) Authority and Second 100 days campaign -  Saksham Niveshak .
29-May-2026 09:45:22,Investor Presentation,Castrol India Limited has informed the Exchange about Investor Presentation
28-May-2026 18:17:59,Investor Presentation,Castrol India Limited has informed the Exchange about Investor Presentation
28-May-2026 15:15:25,Appointment,"Castrol India Limited has informed the Exchange regarding Appointment of Mr. Saugata Basuray as Managing Director of the company w.e.f. June 01, 2026."
28-May-2026 15:13:52,Cessation,"Castrol India Limited has informed the Exchange regarding Cessation of Mr. Saugata Basuray as Interim CEO of the company w.e.f. May 31, 2026."
28-May-2026 15:10:08,Outcome of Board Meeting,"Castrol India Limited has informed the Exchange regarding Outcome of Board Meeting held on Thursday, 28 May 2026   Appointment of Managing Director."
25-May-2026 12:25:54,Analysts/Institutional Investor Meet/Con. Call Updates,Castrol India Limited has informed the Exchange about Schedule of meet
20-May-2026 10:30:50,Cessation,"Castrol India Limited has informed the Exchange regarding Cessation of Mr. Anoop Jindal as Vice President & Head-Customer Excellence & Operations of the company w.e.f. May 31, 2026."
20-May-2026 10:28:03,Appointment,"Castrol India Limited has informed the Exchange regarding Appointment of Mr. Anoop Jindal as Vice President, B2B Sales-OEM & South Asia of the company w.e.f. June 01, 2026."
04-May-2026 17:55:34,Analysts/Institutional Investor Meet/Con. Call Updates,Castrol India Limited has informed the Exchange about Transcript for the Analysts/Investors call held for the Q1 FY 2026 on 29 April 2026.
29-Apr-2026 16:03:24,Analysts/Institutional Investor Meet/Con. Call Updates,Castrol India Limited has informed the Exchange about Link of Recording
29-Apr-2026 15:20:04,Copy of Newspaper Publication,Castrol India Limited has informed the Exchange about Copy of Newspaper Publication
28-Apr-2026 13:25:59,Outcome of Board Meeting,"Castrol India Limited has submitted to the Exchange, the financial results for the quarter ended March 31, 2026."
27-Apr-2026 15:52:38,Retirement,Castrol India Limited has informed the Exchange about Cessation of Senior Management Personnel.
24-Apr-2026 12:28:54,Copy of Newspaper Publication,Castrol India Limited has informed the Exchange about Newspaper Advertisement for transfer of Equity Shares of the company to IEPF Authority is enclosed.
14-Apr-2026 12:26:08,Analysts/Institutional Investor Meet/Con. Call Updates,Castrol India Limited has informed the Exchange about Schedule of meet
09-Apr-2026 10:30:22,Updates,Castrol India Limited has informed the Exchange regarding 'Press Release as enclosed.'.
07-Apr-2026 11:54:59,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Castrol India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
30-Mar-2026 19:16:40,Shareholders meeting,"Castrol India Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on March 30, 2026. Further, the company has informed the Exchange regarding voting results."
30-Mar-2026 18:26:35,Shareholders meeting,"Castrol India Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on March 30, 2026"
26-Feb-2026 14:18:44,Copy of Newspaper Publication,Castrol India Limited has informed the Exchange about Copy of Newspaper Publication
25-Feb-2026 15:07:27,Shareholders meeting,"Castrol India Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on March 30, 2026"
19-Feb-2026 10:12:30,Analysts/Institutional Investor Meet/Con. Call Updates,Castrol India Limited has informed the Exchange about Schedule of meet
17-Feb-2026 15:56:38,Copy of Newspaper Publication,Castrol India Limited has informed the Exchange about Copy of Newspaper Publication
09-Feb-2026 17:36:20,Analysts/Institutional Investor Meet/Con. Call Updates,Castrol India Limited has informed the Exchange about Transcript
04-Feb-2026 17:54:32,Copy of Newspaper Publication,Castrol India Limited has informed the Exchange about Copy of Newspaper Publication
04-Feb-2026 17:35:14,Analysts/Institutional Investor Meet/Con. Call Updates,Castrol India Limited has informed the Exchange about Link of Recording
03-Feb-2026 20:49:15,Outcome of Board Meeting,"Castrol India Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
03-Feb-2026 20:33:58,Dividend,"Castrol India Limited has informed the Exchange that Board of Directors at its meeting held on February 03, 2026, recommended Final Dividend of Rs. 5.25 per equity share."
03-Feb-2026 16:27:06,Record Date,Castrol India Limited has informed the Exchange that Record date for the purpose of Dividend  is 23-Mar-2026.
03-Feb-2026 16:11:51,Dividend,"Castrol India Limited has informed the Exchange that Board of Directors at its meeting held on February 03, 2026, recommended Final Dividend of 5.25 per equity share."
28-Jan-2026 10:05:52,Analysts/Institutional Investor Meet/Con. Call Updates,Castrol India Limited has informed the Exchange about Schedule of meet
27-Jan-2026 10:59:52,Updates,Castrol India Limited has informed the Exchange regarding 'Press Release as enclosed.'.
08-Jan-2026 17:41:30,News Verification,"The Exchange has sought clarification from Castrol India Limited with respect to recent news item captioned BP to sell 65% stake in Castrol to Stonepeak for $6 bn, Castrol India shares rise 8%.  The r"
08-Jan-2026 14:38:01,Appointment,"Castrol India Limited has informed the Exchange regarding Appointment of  Mr. V Kaushik Vedula as Vice President & Head   Marketing  of the company w.e.f. February 02, 2026."
08-Jan-2026 14:14:13,Change in Management,Castrol India Limited has informed the Exchange about change in Management
07-Jan-2026 11:04:33,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Castrol India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
29-Dec-2025 11:11:30,Trading Window,"Castrol India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Dec-2025 17:40:50,General Updates,Castrol India Limited has informed the Exchange about General Updates
