date,desc,text
09-Jul-2026 19:12:55,Copy of Newspaper Publication,CDSL has informed the Exchange about Copy of Newspaper Publication for the 28th Annual General Meeting of the Company.
09-Jul-2026 14:11:05,General Updates,CDSL has informed the Exchange about SEBI Approval for investment in India International Bullion Holding IFSC Limited.
08-Jul-2026 20:28:17,Updates,CDSL has informed the Exchange regarding 'Business Responsibility and Sustainability Report for Financial Year 2025-2026'.
08-Jul-2026 18:42:51,Shareholders meeting,"CDSL has informed the Exchange regarding Notice of the Twenty-Eighth (28th) Annual General Meeting (AGM) for the Financial Year 2025-2026 to be held on July 30, 2026."
06-Jul-2026 15:21:04,Copy of Newspaper Publication,"CDSL has informed the Exchange about Copy of Newspaper Publication for the 28th Annual General Meeting, record date and e-voting information."
04-Jul-2026 18:30:39,Updates,"CDSL has informed the Exchange regarding 'Intimation of Resignation of Shri N. Rangachary,  Chairperson of Centrico Insurance Repository Limited, subsidiary of CDSL."
01-Jul-2026 16:13:06,General Updates,CDSL has informed the Exchange regarding the Allotment of equity shares of Sahamati Foundation (Sahamati).
30-Jun-2026 16:56:48,Trading Window,"Central Depository Services (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 14:02:46,Record Date,CDSL has informed the Exchange that Record date for the purpose of Final Dividend for FY 2025-26 is 17-Jul-2026.
25-Jun-2026 13:58:38,Appointment,CDSL has informed the Exchange regarding Appointment of Ms. Geetha Ganagadharan as Non- Independent Director on the Governing Board of the Company subject to the approval of Shareholders and thereafte
25-Jun-2026 13:50:09,Outcome of Board Meeting,"CDSL has informed the Exchange regarding Outcome of Board Meeting held on June 25, 2026, with respect to Appointment of Non-Independent Director of the Company as well as intimation of the date of 28t"
19-Jun-2026 18:50:03,Appointment,"CDSL has informed the Exchange regarding Appointment of Smt. Nayana Ovalekar as Executive Director of Vertical 2 of the company w.e.f. June 19, 2026."
19-Jun-2026 18:42:11,Outcome of Board Meeting,"CDSL has informed the Exchange regarding Outcome of Board Meeting held on June 19, 2026, with respect to Appointment of Executive Director-Vertical 2 of the Company."
17-Jun-2026 20:02:53,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Analyst Meet to be held on Tuesday, June 23, 2026."
11-Jun-2026 19:09:06,Appointment,"CDSL has informed the Exchange regarding Appointment of Mr. Amit Mahajan as Executive Director of Vertical 1 of the company w.e.f. June 11, 2026."
11-Jun-2026 19:05:36,Outcome of Board Meeting,"CDSL has informed the Exchange regarding Outcome of Board Meeting held on June 11, 2026, with respect to Appointment of Executive Director-Vertical 1 of the Company."
10-Jun-2026 16:37:42,General Updates,CDSL has informed the Exchange about SEBI Approval for investment in Sahamati Foundation.
25-May-2026 16:18:29,General Updates,"CDSL has informed the Exchange regarding the SEBI s approval for appointment of Shri Amit Mahajan and Smt. Nayana Ovalekar, as Executive Directors for Vertical 1 & 2, respectively, on the Governing Bo"
10-May-2026 15:10:04,Updates,"CDSL has informed the Exchange regarding 'Allotment of equity shares to Centrico Insurance Repository Limited (CIRL), subsidiary of Central Depository Services (India) Limited (CDSL) by RIX Systems & "
07-May-2026 19:33:53,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Transcript of Analysts/Institutional Investor Meet/Con. Call held on May 04, 2026."
04-May-2026 19:36:00,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the link of audio recording of the conference call held on May 04, 2026."
03-May-2026 19:15:57,Copy of Newspaper Publication,Central Depository Services (India) Limited has informed the Exchange about Copy of Newspaper Publication
02-May-2026 16:21:28,Updates,CDSL has informed the Exchange regarding 'Names shortlisted for the position of Executive Directors for Vertical 1 & Vertical 2 of the Company.'.
02-May-2026 16:14:03,Analysts/Institutional Investor Meet/Con. Call Updates,Central Depository Services (India) Limited has informed the Exchange about Presentation
02-May-2026 15:19:39,Press Release,"CDSL has informed the Exchange regarding Media release relating to Financial Results for the quarter and year ended March 31, 2026."
02-May-2026 15:10:54,Dividend,"CDSL has informed the Exchange that Board of Directors at its meeting held on May 02, 2026, recommended Final Dividend of Rs. 12.75 per equity share."
02-May-2026 15:08:35,Outcome of Board Meeting,"CDSL has submitted to the Exchange, the financial results for the quarter and year ended March 31, 2026."
27-Apr-2026 18:23:37,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Schedule of Conference Call to be held on Monday, May 04, 2026."
17-Apr-2026 19:50:35,Copy of Newspaper Publication,"CDSL has informed the Exchange about the Newspaper Publication of Notice to Shareholders pursuant to IEPFA's ""Second Saksham Niveshak - 100 Days Campaign""."
10-Apr-2026 11:55:40,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,CDSL has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company.
30-Mar-2026 13:07:27,Trading Window,"Central Depository Services (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
27-Mar-2026 18:51:42,Change in Auditors,Central Depository Services (India) Limited has informed the Exchange regarding Change in Auditors of the company.
20-Mar-2026 18:22:22,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,CDSL has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company.
28-Feb-2026 13:46:18,General Updates,CDSL has informed the Exchange  regarding update in list of Designated Officers for determining the materiality of an event/information and making disclosures to Stock Exchange.
25-Feb-2026 15:46:23,Updates,"CDSL has informed the Exchange regarding SEBI Approval for the proposed investment by CIRL, subsidiary of CDSL in RIX Systems & Solutions Private Limited."
18-Feb-2026 19:45:16,Change in Director(s),Central Depository Services (India) Limited has informed the Exchange regarding Change in Director(s) of the company.
17-Feb-2026 18:24:40,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Analyst Meet to be held on Wednesday, February 25, 2026."
17-Feb-2026 18:21:46,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Analyst Meet to be held on Tuesday, February 24, 2026."
14-Feb-2026 09:29:33,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,CDSL has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
09-Feb-2026 19:18:50,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about cancellation of the Analysts/Institutional Investor Meet/Con. Call scheduled with Capital Group on Thursday, February 12, 2026, at 02.30 P.M."
07-Feb-2026 11:56:37,General Updates,Central Depository Services (India) Limited has informed the Exchange about General Updates
06-Feb-2026 15:25:57,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Transcript of Analysts/Institutional Investor Meet/Con. Call held on February 02, 2026."
05-Feb-2026 17:32:43,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Analyst Meet to be held on Thursday, February 12, 2026."
05-Feb-2026 17:30:35,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Analyst Meet to be held on Wednesday, February 11, 2026."
05-Feb-2026 17:13:53,Updates,CDSL has informed the Exchange regarding 'Registration of CDSL Ventures Limited (CVL) as a KYC Registration Agency in International Financial Services Centre (IFSC).'
04-Feb-2026 15:26:55,Updates,"Central Depository Services (India) Limited has informed the Exchange regarding 'Clarification to Outcome of Board Meeting held on January 31, 2026.'."
02-Feb-2026 20:36:56,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the link of audio recording of the conference call held on February 02, 2026."
01-Feb-2026 13:12:25,Copy of Newspaper Publication,CDSL has informed the Exchange about Copy of Newspaper Publication
31-Jan-2026 18:29:09,Press Release,"CDSL has informed the Exchange regarding Media release relating to Financial Results for the quarter and nine months ended December 31, 2025."
31-Jan-2026 15:31:44,Analysts/Institutional Investor Meet/Con. Call Updates,Central Depository Services (India) Limited has informed the Exchange about Presentation
31-Jan-2026 14:51:39,Change in Management,"Central Depository Services (India) Limited has informed the Exchange regarding Appointment of Mr. Sudhish Pillai, Assistant Vice President - IPF Secretariat as Senior Management Personnel of the Comp"
31-Jan-2026 13:00:52,Outcome of Board Meeting,"CDSL has submitted to the Exchange, the financial results for the quarter and nine months ended December 31, 2025."
30-Jan-2026 19:03:51,Change in Management,"CDSL has informed the Exchange about disclosure pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015"
27-Jan-2026 18:27:40,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Schedule of Conference Call to be held on Monday, February 02, 2026."
08-Jan-2026 19:52:54,Updates,CDSL has informed the Exchange regarding Media Release - CDSL Ventures Limited Crosses 10 Crore KYC Records Milestone.
31-Dec-2025 14:20:19,Trading Window,"Central Depository Services (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Dec-2025 18:35:38,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,CDSL has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company.
22-Dec-2025 18:36:12,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Analyst Meet to be held on Friday, December 26, 2025."
09-Dec-2025 17:33:45,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the cancellation of the Analysts/Institutional Investor Meet/Con. Call scheduled with HDFC Securities Ltd. with Select investors on Friday, December 12, 2025, at 0"
02-Dec-2025 18:01:12,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Analyst Meet to be held on Friday, December 12, 2025."
02-Dec-2025 17:58:12,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Analyst Meet to be held on Monday, December 08, 2025."
28-Nov-2025 19:01:36,Cessation,"Central Depository Services (India) Limited has informed the Exchange regarding Cessation of Mr Sidhartha Pradhan  as Non- Executive Independent Director of the company w.e.f. November 28, 2025."
28-Nov-2025 19:01:36,Cessation,"Central Depository Services (India) Limited has informed the Exchange regarding Cessation of Mr Umesh Bellur as Non- Executive Independent Director of the company w.e.f. November 28, 2025."
22-Nov-2025 12:00:35,Appointment,"Central Depository Services (India) Limited has informed the Exchange regarding Appointment of Mr Gurumoorthy Mahalingam  as Independent Director of the company w.e.f. February 27, 2026."
21-Nov-2025 17:53:12,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Conference Call to be held on Wednesday, November 26, 2025."
07-Nov-2025 18:33:53,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Conference Call to be held on Tuesday, November 18, 2025."
07-Nov-2025 18:32:37,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Conference Call to be held on Monday, November 17, 2025."
07-Nov-2025 18:30:34,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Conference Call to be held on Friday, November 14, 2025."
07-Nov-2025 18:28:53,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Conference Call to be held on Thursday, November 13, 2025."
06-Nov-2025 19:29:38,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Transcript of Analysts/Institutional Investor Meet/Con. Call held on November 03, 2025."
03-Nov-2025 19:24:41,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the Link of Audio Recording of the conference call held on November 03, 2025."
03-Nov-2025 17:17:46,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Conference Call to be held on Friday, November 07, 2025."
02-Nov-2025 11:44:44,Copy of Newspaper Publication,CDSL has informed the Exchange about Copy of Newspaper Publication
01-Nov-2025 15:06:25,Press Release,"CDSL has informed the Exchange regarding Media release relating to Financial Results for the quarter and half year ended September 30, 2025."
01-Nov-2025 15:03:52,Investor Presentation,Central Depository Services (India) Limited has informed the Exchange about Investor Presentation
01-Nov-2025 13:26:13,Outcome of Board Meeting,"CDSL has submitted to the Exchange, the financial results for the quarter and half year ended September 30, 2025."
30-Oct-2025 15:15:46,Change in Management,"CDSL has informed the Exchange about disclosure pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015"
27-Oct-2025 18:50:23,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Schedule of Conference Call to be held on Monday, November 03, 2025."
30-Sep-2025 18:58:33,General Updates,"CDSL has informed the Exchange regarding approval for re-appointment of MD & CEO by Shareholders of CDSL Ventures Limited (CVL), Wholly Owned Subsidiary of the CDSL."
30-Sep-2025 16:04:30,Trading Window,"Central Depository Services (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Sep-2025 15:54:22,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Schedule of Conference Call to be held on Monday, September 29, 2025."
19-Sep-2025 21:47:29,Updates,"CDSL has informed the Exchange regarding approval for re-appointment of MD & CEO by Board of Directors of CDSL Ventures Limited (CVL), Wholly Owned Subsidiary of the CDSL."
17-Sep-2025 19:21:14,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Schedule of Conference Call to be held on Thursday, September 25, 2025."
17-Sep-2025 19:14:30,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Schedule of Conference Call to be held on Wednesday, September 24, 2025."
17-Sep-2025 19:07:40,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Schedule of Conference Call to be held on Monday, September 22, 2025."
15-Sep-2025 15:48:17,Appointment,"CDSL has informed the Exchange regarding Appointment of Mr Rajesh Kumar as Non-Executive Non- Independent Director of the company w.e.f. September 12, 2025."
14-Sep-2025 11:40:44,Appointment,"Central Depository Services (India) Limited has informed the Exchange regarding Appointment of Mrs Rajeshree Sabnavis  as Independent Director of the company w.e.f. November 29, 2025."
09-Sep-2025 17:22:41,Copy of Newspaper Publication,"CDSL has informed the Exchange about the Newspaper Publication of Notice to Shareholders pursuant to IEPFA's ""Saksham Niveshak - 100 Days Campaign""."
04-Sep-2025 17:22:51,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Schedule of Conference Call to be held on Wednesday, September 10, 2025."
28-Aug-2025 17:56:36,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Schedule of Conference Call to be held on Thursday, September 04, 2025."
28-Aug-2025 17:51:01,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about Schedule of Conference Call to be held on Wednesday, September 03, 2025."
25-Aug-2025 18:28:56,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,CDSL has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company.
14-Aug-2025 21:48:15,Shareholders meeting,"CDSL has submitted the Exchange a copy Scrutinizers report of Annual General Meeting held on August 14, 2025."
14-Aug-2025 21:38:38,Appointment,CDSL has informed the Exchange regarding appointment of Mr. Vatsal Doshi as Secretarial Auditor of the Company.
14-Aug-2025 21:31:16,Change in Management,CDSL has informed the Exchange about changes in the Governing Board of the Company.
14-Aug-2025 21:22:23,Shareholders meeting,"CDSL has informed the Exchange regarding Proceedings of Annual General Meeting held on August 14, 2025."
14-Aug-2025 19:25:14,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about re-scheduling of Conference Call to be held on Wednesday, August 20, 2025."
