date,desc,text
08-Jul-2026 18:56:46,Appointment,"Capri Global Capital Limited has informed the Exchange regarding Appointment of Mr Ateet Parikh as Chief Collection Officer of the company w.e.f. July 08, 2026."
08-Jul-2026 18:53:23,Appointment,"Capri Global Capital Limited has informed the Exchange regarding Appointment of Mr Ignatius Kaitha as Chief Human Resource Officer of the company w.e.f. July 08, 2026."
06-Jul-2026 14:39:59,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Capri Global Capital Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 for quarter ended June 30, 2026"
03-Jul-2026 19:15:14,Analysts/Institutional Investor Meet/Con. Call Updates,"Capri Global Capital Limited has informed the Exchange about Group Meeting with Analysts / Investors under Regulation 30 of SEBI (LODR) Regulations, 2015."
02-Jul-2026 20:52:50,Credit Rating- Others,Capri Global Capital Limited has informed the Exchange about Credit Rating- Others   Assignment and upgradation of Credit Rating Limits by Acuité Ratings & Research Limited
02-Jul-2026 18:56:28,Analysts/Institutional Investor Meet/Con. Call Updates,Capri Global Capital Limited has informed the Exchange about Schedule of meet
01-Jul-2026 14:19:50,Copy of Newspaper Publication,Capri Global Capital Limited has informed the Exchange about Copy of Newspaper Publication regarding Special Window for re-lodgement of transfer request of physical shares
29-Jun-2026 20:15:01,Investor Presentation,Capri Global Capital Limited has informed the Exchange about Investor Presentation
23-Jun-2026 20:09:03,Analysts/Institutional Investor Meet/Con. Call Updates,Capri Global Capital Limited has informed the Exchange about Schedule of meet - Outside India
23-Jun-2026 20:05:59,Analysts/Institutional Investor Meet/Con. Call Updates,Capri Global Capital Limited has informed the Exchange about Schedule of meet - Outside India
23-Jun-2026 19:59:28,Analysts/Institutional Investor Meet/Con. Call Updates,Capri Global Capital Limited has informed the Exchange about Schedule of meet - Outside India
22-Jun-2026 14:58:24,Trading Window,"Capri Global Capital Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2026 19:47:55,Analysts/Institutional Investor Meet/Con. Call Updates,Capri Global Capital Limited has informed the Exchange about Schedule of meet
18-Jun-2026 19:46:31,Analysts/Institutional Investor Meet/Con. Call Updates,Capri Global Capital Limited has informed the Exchange about Schedule of meet
16-Jun-2026 19:57:59,Change in Management,"Capri Global Capital Limited has informed the Exchange about change in Management - Reappointment of 2 Independent Directors, Re-appointment of Mr. Rajesh Sharma - Director Liable to retire by rotatio"
16-Jun-2026 19:54:58,Change in Management,Capri Global Capital Limited has informed the Exchange about change in Management - Reappointment of CRO - SMP
16-Jun-2026 19:53:03,Change in Director(s),Capri Global Capital Limited has informed the Exchange regarding Change in Director(s) of the company.
16-Jun-2026 19:51:07,Outcome of Board Meeting,"Capri Global Capital Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 16, 2026 wherein the below mentioned was considered and approved:1. Re-appointment of  2 Independe"
11-Jun-2026 17:10:54,Analysts/Institutional Investor Meet/Con. Call Updates,Capri Global Capital Limited has informed the Exchange about Schedule of meet
05-Jun-2026 16:28:50,Analysts/Institutional Investor Meet/Con. Call Updates,Capri Global Capital Limited has informed the Exchange about Schedule of meet
25-May-2026 19:48:34,Analysts/Institutional Investor Meet/Con. Call Updates,Capri Global Capital Limited has informed the Exchange about Schedule of meet
22-May-2026 18:37:30,General Updates,Capri Global Capital Limited has informed the Exchange about receipt of an approval Letter from NSE IFSC Limited in relation to the establishment of the Company s USD 1 Billion Global Medium Term Note
20-May-2026 15:04:12,Credit Rating- New,Capri Global Capital Limited has informed the Exchange about Credit Rating- Assigned by Moody's Ratings
