date,desc,text
11-Jul-2026 17:42:28,General Updates,"Receipt of SEBI Approval to the Company ""Choice International Limited"" to act as Sponosr and it''s subsidiary ""Choice AMC Private Limited"" to act as Investment Manager to Catogery II Alternate Investm"
09-Jul-2026 13:30:02,Press Release,"Press release relating to issuance of Compulsory Convertible Preference Shares ( CCPS ) by our material subsidiary Choice Equity Broking Private Limited ( CEBPL ) to NH Investment & Securities Co., Lt"
09-Jul-2026 13:27:28,Agreements,"Execution of Definitive Transaction Agreements for Strategic Investment via Issuance of CCPS to NH Investment & Securities Co., Ltd. ( Investor ) by Choice Equity Broking Pvt. Ltd. a material subsidia"
09-Jul-2026 13:25:17,General Updates,"Execution of Definitive Transaction Agreements for Strategic Investment via Issuance of CCPS to NH Investment & Securities Co., Ltd. ( Investor ) by Choice Equity Broking Pvt. Ltd. a material subsidia"
26-Jun-2026 18:40:07,Trading Window,"Choice International Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-Jun-2026 18:20:53,General Updates,Appointment of Dr. Nitin Kareer as a member of Advisory Board.
12-Jun-2026 11:32:06,Disclosure under SEBI Takeover Regulations,"Kamal Poddar has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011"
25-May-2026 20:21:16,General Updates,"Acquisition of 100% stake in ""Ellora Solutions Private Limited"" by the Company."
12-May-2026 20:51:50,General Updates,NCLT Order Approving the Scheme of Amalgamation between Two Step Down Subsidiaries of the Company.
12-May-2026 17:43:45,Shareholders meeting,"Scruitinizer''s Report and Outcome of  the Postal Ballot Notice Dated April 10, 2026."
28-Apr-2026 18:49:06,Analysts/Institutional Investor Meet/Con. Call Updates,Earnings call Transcript for Q4 and Financial Year Ended 26.
27-Apr-2026 16:37:30,Updates,"Non-Applicability of SEBI Circular SEBI/HO/DDHS/P/CIR/2021/613 dated August 10, 2021, SEBI/HO/DDHS/DDHSRACPOD1/P/CIR/2023/172 dated October 19, 2023   Fund Raising by Issuance of Debt Securities by La"
25-Apr-2026 14:28:12,Copy of Newspaper Publication,"Newspaper Publication for the Audited Standlone and Consolidated Financials Results for the Quarter and Financial Year ended March 31, 2026."
24-Apr-2026 20:23:43,Analysts/Institutional Investor Meet/Con. Call Updates,Earnings Conference call - Audio Recording for Q4 and Year Ended FY26
23-Apr-2026 22:42:56,Monitoring Agency Report,"Monitoring Agency Report for the quarter ended March 31, 2026 for utilisation of the proceeds of preferential issue of warrants."
23-Apr-2026 20:44:31,Press Release,"Press Release for the Quarter & Financial Year Ended March 31, 2026"
23-Apr-2026 20:23:42,Investor Presentation,Choice International Limited has informed the Exchange about Investor Presentation
23-Apr-2026 20:07:44,Outcome of Board Meeting,"Outcome of the Board Meeting approving the Audited Financial Results (Standalone & Consolidated) of the Company for the Quarter & Financial Year Ended March 31, 2026"
20-Apr-2026 20:45:10,Analysts/Institutional Investor Meet/Con. Call Updates,Intimation Of Q4 & FY 26 Earnings Conference Call
14-Apr-2026 12:26:04,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under Regulation 74 (5) of SEBI (DP) Regulations, 2018 for quarter ended March 31, 2026."
11-Apr-2026 14:16:43,Copy of Newspaper Publication,Newpaper Publication on Postal Ballot Notice.
10-Apr-2026 13:34:00,Shareholders meeting,Intimation of Postal Ballot Notice
06-Apr-2026 16:29:05,General Updates,Appointment of Mr. Vimal Kumar Jain as a member of Advisory Board.
01-Apr-2026 19:20:43,General Updates,Acquisition of 100% stake in Optimo Investment Adviser Private Limited by the Company.
27-Mar-2026 19:50:08,Trading Window,"Choice International Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
27-Mar-2026 19:45:02,Appointment,"On the recommendation of the Nomination and Remuneration Committee, the Board has appointed Mrs. Barnali Mukherjee (DIN: 11063352) as the Additional (Non Executive) Independent Director of the Company"
