date,desc,text
10-Jul-2026 17:09:35,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Cholamandalam Financial Holdings Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
08-Jul-2026 17:28:10,Copy of Newspaper Publication,Cholamandalam Financial Holdings Limited has informed the Exchange about Copy of Newspaper Publication with regard to convening of 77th Annual General Meeting.
01-Jul-2026 17:29:35,Trading Window,"Cholamandalam Financial Holdings Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Jun-2026 12:06:52,Disclosure under SEBI Takeover Regulations,Ambadi Investments Ltd has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) and 31 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeove
15-Jun-2026 17:10:57,General Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about Contact details of Key Managerial Personnel of the Company authorised under Regulation 30(5) of the Securities and Exchange Boa
13-Jun-2026 23:30:00,Resignation of Director/KMP/SMP,Cholamandalam Financial Holdings Limited has informed the Exchange about Resignation of Director/KMP/SMP
25-May-2026 17:08:29,Copy of Newspaper Publication,Cholamandalam Financial Holdings Limited has informed the Exchange about Copy of Newspaper Publication
15-May-2026 14:58:06,Analysts/Institutional Investor Meet/Con. Call Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about Transcript
08-May-2026 16:57:23,Analysts/Institutional Investor Meet/Con. Call Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about audio recording of investor meet
08-May-2026 16:51:54,Appointment,"Cholamandalam Financial Holdings Limited has informed the Exchange regarding Appointment of Mr Shyam Shankar as Manager of the company w.e.f. Jun 15, 2026."
08-May-2026 16:45:33,Appointment,"Cholamandalam Financial Holdings Limited has informed the Exchange regarding Appointment of Mr Shyam Shankar as Chief Financial Officer of the company w.e.f. Jun 15, 2026."
08-May-2026 16:43:10,Retirement,Cholamandalam Financial Holdings Limited has informed the Exchange about Retirement of Manager
08-May-2026 16:41:17,Resignation,"Cholamandalam Financial Holdings Limited has informed the Exchange regarding Resignation of Mr N Ganesh as Chief Financial Officer of the company w.e.f. Jun 15, 2026."
08-May-2026 15:15:24,Press Release,"Cholamandalam Financial Holdings Limited has informed the Exchange regarding a press release dated May 08, 2026, titled ""Press Release Audited Financial Results of the Company for the year ended 31st "
08-May-2026 14:57:21,Record Date,Cholamandalam Financial Holdings Limited has informed the Exchange that Record date for the purpose of Dividend  is 07-Aug-2026.
08-May-2026 14:37:25,Investor Presentation,Cholamandalam Financial Holdings Limited has informed the Exchange about Investor Presentation
08-May-2026 14:29:36,Dividend,"Cholamandalam Financial Holdings Limited has informed the Exchange that Board of Directors at its meeting held on May 08, 2026, recommended Final Dividend of Rs. 1.30 per equity share."
08-May-2026 14:27:37,Outcome of Board Meeting,"Cholamandalam Financial Holdings Limited has submitted to the Exchange, the audited financial results for the year ended March 31, 2026."
01-May-2026 12:18:38,Analysts/Institutional Investor Meet/Con. Call Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about Schedule of meet
15-Apr-2026 23:17:11,General Updates,Cholamandalam Financial Holdings Limited has informed the Exchange  regarding the 'NOC received under Reg.31A(8) of SEBI Listing Regulations from stock exchanges.
10-Apr-2026 11:57:51,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Cholamandalam Financial Holdings Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
31-Mar-2026 17:15:46,Trading Window,"Cholamandalam Financial Holdings Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
12-Mar-2026 18:05:59,Credit Rating,Cholamandalam Financial Holdings Limited has informed the Exchange about Credit Rating
13-Feb-2026 20:51:29,Analysts/Institutional Investor Meet/Con. Call Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about Transcript
11-Feb-2026 21:29:04,General Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about has informed the Exchange regarding 'Intimation on Submission of Application for Promoter Reclassification under Regulation 31A
09-Feb-2026 17:24:58,Analysts/Institutional Investor Meet/Con. Call Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about Link of Recording
09-Feb-2026 17:18:22,General Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about Reclassification from Promoter and promoter category to Public Category
09-Feb-2026 17:14:40,Press Release,"Cholamandalam Financial Holdings Limited has informed the Exchange regarding a press release dated February 09, 2026, titled ""Un-audited financial results for the quarter and nine-months ended Decembe"
09-Feb-2026 15:00:38,Investor Presentation,Cholamandalam Financial Holdings Limited has informed the Exchange about Investor Presentation
09-Feb-2026 14:43:17,Outcome of Board Meeting,"Cholamandalam Financial Holdings Limited has informed the Exchange regarding  the outcome of Board meeting held on February 09, 2026."
09-Feb-2026 14:41:02,Outcome of Board Meeting,"Cholamandalam Financial Holdings Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
02-Feb-2026 10:31:06,Analysts/Institutional Investor Meet/Con. Call Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about Schedule of investor meet
12-Jan-2026 10:05:39,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Cholamandalam Financial Holdings Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Jan-2026 17:31:08,Trading Window,"Cholamandalam Financial Holdings Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
18-Dec-2025 15:47:58,Updates,Cholamandalam Financial Holdings Limited has informed the Exchange regarding request pertaining to reclassification received from member of Promoter Group
25-Nov-2025 22:30:23,Updates,Cholamandalam Financial Holdings Limited has informed the Exchange regarding 'NOC from exchanges'.
20-Nov-2025 18:17:51,Copy of Newspaper Publication,Cholamandalam Financial Holdings Limited has informed the Exchange about Copy of Newspaper Publication
11-Nov-2025 17:28:19,Analysts/Institutional Investor Meet/Con. Call Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about Transcript of investor meet
11-Nov-2025 17:24:48,General Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about Submission of application for promoter reclassification
07-Nov-2025 18:15:10,Press Release,"Cholamandalam Financial Holdings Limited has informed the Exchange regarding a press release dated November 07, 2025, titled ""Press Release   Un-Audited Financial Results of the Company for the quarte"
07-Nov-2025 18:11:25,Analysts/Institutional Investor Meet/Con. Call Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about Link of Recording
07-Nov-2025 14:44:20,Investor Presentation,Cholamandalam Financial Holdings Limited has informed the Exchange about Investor Presentation
07-Nov-2025 14:22:17,Outcome of Board Meeting,"Cholamandalam Financial Holdings Limited has informed the Exchange regarding Outcome of Board Meeting held on November 07, 2025 - Reclassification"
07-Nov-2025 14:18:43,Outcome of Board Meeting,"Cholamandalam Financial Holdings Limited has submitted to the Exchange, the un-audited financial results for the quarter and half-year ended September 30, 2025."
03-Nov-2025 16:22:57,Analysts/Institutional Investor Meet/Con. Call Updates,Cholamandalam Financial Holdings Limited has informed the Exchange about Schedule of meet
14-Oct-2025 17:47:13,Copy of Newspaper Publication,Cholamandalam Financial Holdings Limited has informed the Exchange about Copy of Newspaper Publication regarding Special Window for Re-lodgement ofTransfer Requests of Physical Shares and 100 days cam
08-Oct-2025 11:14:13,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Cholamandalam Financial Holdings Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
