date,desc,text
07-Jul-2026 19:19:49,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Cohance Lifesciences Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
30-Jun-2026 15:58:01,Disclosure under SEBI Takeover Regulations,Jusmiral Holdings Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
26-Jun-2026 20:21:06,Trading Window,"Cohance Lifesciences Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Jun-2026 20:15:22,Copy of Newspaper Publication,Cohance Lifesciences Limited has informed the Exchange about Copy of Newspaper Publication
23-Jun-2026 20:45:57,Disclosure under SEBI Takeover Regulations,"Berhyanda Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations,"
18-Jun-2026 18:19:39,Resignation of Director/KMP/SMP,Cohance Lifesciences Limited has informed the Exchange about Resignation of Director/KMP/SMP
17-Jun-2026 22:31:47,Resignation,"Cohance Lifesciences Limited has informed the Exchange regarding Resignation of  Himanshu Agarwal as Executive Director and Chief Financial Officer of the company w.e.f. September 13, 2026."
14-Jun-2026 23:47:06,Shareholders meeting,"Cohance Lifesciences Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
02-Jun-2026 15:37:10,Analysts/Institutional Investor Meet/Con. Call Updates,Cohance Lifesciences Limited has informed the Exchange about Schedule of meet
25-May-2026 20:01:57,Analysts/Institutional Investor Meet/Con. Call Updates,Cohance Lifesciences Limited has informed the Exchange about Schedule of meet
15-May-2026 20:54:39,Analysts/Institutional Investor Meet/Con. Call Updates,Cohance Lifesciences Limited has informed the Exchange about Transcript
15-May-2026 19:16:48,Copy of Newspaper Publication,Cohance Lifesciences Limited has informed the Exchange about Copy of Newspaper Publication
14-May-2026 18:11:10,Shareholders meeting,Cohance Lifesciences Limited has informed the Exchange regarding Notice of Postal Ballot
13-May-2026 19:55:55,Analysts/Institutional Investor Meet/Con. Call Updates,Cohance Lifesciences Limited has informed the Exchange about Schedule of meet
13-May-2026 12:50:31,Copy of Newspaper Publication,Cohance Lifesciences Limited has informed the Exchange about Copy of Newspaper Publication
12-May-2026 21:21:05,Analysts/Institutional Investor Meet/Con. Call Updates,Cohance Lifesciences Limited has informed the Exchange about Link of Recording
12-May-2026 18:02:31,Investor Presentation,Cohance Lifesciences Limited has informed the Exchange about Investor Presentation
12-May-2026 17:37:08,Outcome of Board Meeting,"Cohance Lifesciences Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
06-May-2026 15:16:12,Analysts/Institutional Investor Meet/Con. Call Updates,Cohance Lifesciences Limited has informed the Exchange about Schedule of meet
30-Apr-2026 10:57:48,Price movement,"Significant movement in price has been observed in Cohance Lifesciences Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the ma"
29-Apr-2026 19:43:46,Price movement,"Significant movement in price has been observed in Cohance Lifesciences Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the ma"
27-Apr-2026 20:03:52,Resignation of Director/KMP/SMP,Cohance Lifesciences Limited has informed the Exchange about Resignation of Director/KMP/SMP
27-Apr-2026 14:40:38,General Updates,"Cohance Lifesciences Limited has informed the Exchange about Brief profile of Mr. Umang Vohra, Chairman and Group CEO"
27-Apr-2026 09:06:37,Press Release,"Cohance Lifesciences Limited has informed the Exchange regarding a press release dated April 27, 2026, titled ""Press Release""."
27-Apr-2026 08:59:28,Outcome of Board Meeting,"Cohance Lifesciences Limited has informed the Exchange regarding Outcome of Board Meeting held on April 27, 2026."
12-Apr-2026 23:44:51,Spurt in Volume,"Significant increase in volume has been observed in Cohance Lifesciences Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the m"
10-Apr-2026 19:29:21,Spurt in Volume,"Significant increase in volume has been observed in Cohance Lifesciences Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the m"
02-Apr-2026 20:15:09,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Cohance Lifesciences Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
30-Mar-2026 22:11:05,Appointment,"Cohance Lifesciences Limited has informed the Exchange regarding Appointment of Mr Sisir K. Mishra as Company Secretary & Compliance Officer of the company w.e.f. April 09, 2026."
27-Mar-2026 16:41:13,Trading Window,"Cohance Lifesciences Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
13-Mar-2026 21:20:51,Options to purchase securities,Cohance Lifesciences Limited has informed the Exchange about Options to purchase securities
06-Mar-2026 18:03:19,Analysts/Institutional Investor Meet/Con. Call Updates,Cohance Lifesciences Limited has informed the Exchange about Schedule of meet
20-Feb-2026 10:59:30,Analysts/Institutional Investor Meet/Con. Call Updates,Cohance Lifesciences Limited has informed the Exchange about Schedule of meet
16-Feb-2026 16:48:50,Analysts/Institutional Investor Meet/Con. Call Updates,Cohance Lifesciences Limited has informed the Exchange about Transcript
