date,desc,text
07-Jul-2026 14:46:54,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Colgate Palmolive (India) Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Jul-2026 12:28:41,Copy of Newspaper Publication,Colgate Palmolive (India) Limited has informed the Exchange about Copy of Newspaper Publication
04-Jul-2026 14:46:31,General Updates,Colgate Palmolive (India) Limited has informed the Exchange about 'Business Responsibility and Sustainability Report for the financial year 2025-26.
04-Jul-2026 14:39:43,Shareholders meeting,"Colgate Palmolive (India) Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 29, 2026"
26-Jun-2026 11:31:12,Trading Window,"Colgate Palmolive (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Jun-2026 14:27:16,Copy of Newspaper Publication,Colgate Palmolive (India) Limited has informed the Exchange about Copy of Newspaper Publication
17-Jun-2026 17:32:30,Updates,Colgate Palmolive (India) Limited has informed the Exchange regarding ' 'Machine Readable   Outcome of Board Meeting
17-Jun-2026 17:00:51,Copy of Newspaper Publication,Colgate Palmolive (India) Limited has informed the Exchange about Copy of Newspaper Publication
10-Jun-2026 17:16:47,Analysts/Institutional Investor Meet/Con. Call Updates,Colgate Palmolive (India) Limited has informed the Exchange about Schedule of meet
28-May-2026 16:35:08,Analysts/Institutional Investor Meet/Con. Call Updates,Colgate Palmolive (India) Limited has informed the Exchange about Transcript
28-May-2026 15:51:49,Analysts/Institutional Investor Meet/Con. Call Updates,Colgate Palmolive (India) Limited has informed the Exchange about Schedule of meet
28-May-2026 15:46:38,Analysts/Institutional Investor Meet/Con. Call Updates,Colgate Palmolive (India) Limited has informed the Exchange about Schedule of meet
23-May-2026 12:54:27,Copy of Newspaper Publication,Colgate Palmolive (India) Limited has informed the Exchange about Copy of Newspaper Publication
23-May-2026 11:45:14,Analysts/Institutional Investor Meet/Con. Call Updates,Colgate Palmolive (India) Limited has informed the Exchange about Link of Recording
22-May-2026 20:19:30,General Updates,Colgate Palmolive (India) Limited has informed the Exchange about newsletter
22-May-2026 19:25:41,General Updates,Colgate Palmolive (India) Limited has informed the Exchange about tax on dividend
22-May-2026 18:02:27,Press Release,"Colgate Palmolive (India) Limited has informed the Exchange regarding a press release dated May 22, 2026, titled ""Announcement of results for the quarter and year ended March 31, 2026""."
22-May-2026 17:51:42,General Updates,Colgate Palmolive (India) Limited has informed the Exchange about book closure
22-May-2026 17:47:32,General Updates,Colgate Palmolive (India) Limited has informed the Exchange about the date of 85th AGM of the Company
22-May-2026 17:43:43,Change in Management,Colgate Palmolive (India) Limited has informed the Exchange about change in Management
22-May-2026 17:30:52,Record Date,Colgate Palmolive (India) Limited has informed the Exchange that Record date for the purpose of Dividend  is 01-Jun-2026.
22-May-2026 17:26:24,Investor Presentation,Colgate Palmolive (India) Limited has informed the Exchange about Investor Presentation
22-May-2026 17:02:49,Dividend,"Colgate Palmolive (India) Limited has informed the Exchange that Board of Directors at its meeting held on May 22, 2026, declared Interim Dividend of Rs. 24 per equity share."
22-May-2026 16:53:46,Outcome of Board Meeting,"Colgate Palmolive (India) Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
18-May-2026 16:11:42,Analysts/Institutional Investor Meet/Con. Call Updates,Colgate Palmolive (India) Limited has informed the Exchange about Schedule of meet
30-Apr-2026 11:42:08,Copy of Newspaper Publication,Colgate Palmolive (India) Limited has informed the Exchange about Copy of Newspaper Publication
10-Apr-2026 10:17:48,Disclosure under SEBI Takeover Regulations,Colgate Palmolive (India) Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeove
08-Apr-2026 12:40:53,Press Release,"Colgate Palmolive (India) Limited has informed the Exchange regarding a press release dated April 08, 2026, titled "" Colgate Makes Preventive Dental Care Accessible to Allwith FREE Dental Check-Ups ""."
07-Apr-2026 17:00:17,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Colgate Palmolive (India) Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
03-Apr-2026 16:46:53,Copy of Newspaper Publication,Colgate Palmolive (India) Limited has informed the Exchange about Copy of Newspaper Publication
27-Mar-2026 15:45:53,Press Release,"Colgate Palmolive (India) Limited has informed the Exchange regarding a press release dated March 27, 2026, titled ""Mumbai Indians Partner with Colgate Total; PLOT Initiative Rolled Out to Maintain Pe"
26-Mar-2026 15:37:12,Trading Window,"Colgate Palmolive (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Feb-2026 17:34:19,Press Release,"Colgate Palmolive (India) Limited has informed the Exchange regarding a press release dated February 23, 2026, titled ""Colgate-Palmolive partners with Haryana Government toadvance Oral Health Educatio"
20-Feb-2026 16:27:49,Press Release,"Colgate Palmolive (India) Limited has informed the Exchange regarding a press release dated February 20, 2026, titled ""PRESS RELEASE""."
13-Feb-2026 17:18:31,Press Release,Press Release
11-Feb-2026 16:07:51,Copy of Newspaper Publication,Colgate Palmolive (India) Limited has informed the Exchange about Copy of Newspaper Publication
