date,desc,text
08-Jul-2026 13:58:06,Copy of Newspaper Publication,Concord Biotech Limited has informed the Exchange about Copy of Newspaper Publication
07-Jul-2026 17:35:28,Record Date,Concord Biotech Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is 24-Jul-2026.
07-Jul-2026 15:52:04,Shareholders meeting,"Concord Biotech Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 31, 2026"
06-Jul-2026 14:47:02,Copy of Newspaper Publication,Concord Biotech Limited has informed the Exchange about Copy of Newspaper Publication
06-Jul-2026 13:32:35,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Concord Biotech Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
27-Jun-2026 11:08:27,Trading Window,"Concord Biotech Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 10:08:23,Updates,Concord Biotech Limited has informed the Exchange regarding 'Completion of Inspection by the Pharmacy and Poisons Board (PPB) from Kenya and the National Drug Authority (NDA) from Uganda at Unit-II fo
20-Jun-2026 18:37:47,Acquisition,Concord Biotech Limited has informed the Exchange about Acquisition
19-Jun-2026 15:17:47,Analysts/Institutional Investor Meet/Con. Call Updates,Concord Biotech Limited has informed the Exchange about Schedule of meet
13-Jun-2026 11:15:51,Analysts/Institutional Investor Meet/Con. Call Updates,Concord Biotech Limited has informed the Exchange about Schedule of meet
12-Jun-2026 13:35:56,Updates,Concord Biotech Limited has informed the Exchange regarding 'Completion of ANVISA Inspection conducted by the Brazilian Health Regulatory Agency at the Limbasi API Manufacturing Facility'.
10-Jun-2026 10:13:02,General Updates,"Concord Biotech Secures Abbreviated New Drug Application (ANDA) Approval for Tofacitinib Tablets, 5 mg and 10 mg"
05-Jun-2026 18:40:20,Analysts/Institutional Investor Meet/Con. Call Updates,Concord Biotech Limited has informed the Exchange about Transcript
02-Jun-2026 16:41:59,Updates,"Concord Biotech Limited has informed the Exchange regarding Abbreviated New Drug Application (ANDA) Approval for Mycophenolate Mofetil for Oral Suspension USP, 200 mg/mL'."
01-Jun-2026 18:16:09,Analysts/Institutional Investor Meet/Con. Call Updates,Concord Biotech Limited has informed the Exchange about Link of Recording
30-May-2026 13:48:15,Investor Presentation,Concord Biotech Limited has informed the Exchange about Investor Presentation
30-May-2026 11:29:54,Copy of Newspaper Publication,Concord Biotech Limited has informed the Exchange about Copy of Newspaper Publication
30-May-2026 10:09:16,Outcome of Board Meeting,"Concord Biotech Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
29-May-2026 19:08:34,Appointment,"Concord Biotech Limited has informed the Exchange regarding Appointment of  M/s Manubhai and Shah LLP as Other of the company w.e.f. April 01, 2026."
29-May-2026 19:02:07,Appointment,"Concord Biotech Limited has informed the Exchange regarding Appointment of  Mrs. Ekta Gupta as Independent Director of the company w.e.f. Jun 01, 2026."
29-May-2026 18:25:52,Dividend,"Concord Biotech Limited has informed the Exchange that Board of Directors at its meeting held on May 29, 2026, recommended Final Dividend of Rs. 7.55 per equity share."
29-May-2026 18:22:26,Outcome of Board Meeting,"Concord Biotech Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
26-May-2026 12:40:20,Analysts/Institutional Investor Meet/Con. Call Updates,Concord Biotech Limited has informed the Exchange about Schedule of meet
18-May-2026 17:31:01,Disclosure under SEBI Takeover Regulations,"Sudhir Vaid has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
08-Apr-2026 10:56:31,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Concord Biotech Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Apr-2026 16:01:32,Acquisition,Concord Biotech Limited has informed the Exchange about Acquisition
27-Mar-2026 18:42:26,Trading Window,"Concord Biotech Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
