date,desc,text
09-Jul-2026 10:29:10,Shareholders meeting,"Data Patterns (India) Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 31, 2026"
08-Jul-2026 17:56:28,Copy of Newspaper Publication,Data Patterns (India) Limited has informed the Exchange about Copy of Newspaper Publication
08-Jul-2026 14:21:24,Shareholders meeting,Data Patterns (India) Limited has informed the Exchange about Shareholders meeting
07-Jul-2026 11:51:38,Shareholders meeting,Data Patterns (India) Limited has informed the Exchange about Shareholders meeting
30-Jun-2026 17:46:26,Trading Window,"Data Patterns (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 12:41:14,Change in Director(s),Data Patterns (India) Limited has informed the Exchange regarding Change in Director(s) of the company.
19-Jun-2026 18:18:44,Trading Window,"Data Patterns (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
16-Jun-2026 18:10:05,Copy of Newspaper Publication,Data Patterns (India) Limited has informed the Exchange about Copy of Newspaper Publication
15-Jun-2026 18:01:38,Record Date,"Data Patterns (India) Limited has informed the Exchange that the Register of Member and Share Transfer Books of the Company will remain closed from Saturday, July 25, 2026 to Friday, July 31, 2026 (bo"
22-May-2026 15:40:29,Analysts/Institutional Investor Meet/Con. Call Updates,Data Patterns (India) Limited has informed the Exchange about Transcript
21-May-2026 09:32:47,Disclosure under SEBI Takeover Regulations,Data Patterns (India) Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) and 31 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and 
15-May-2026 16:39:28,Copy of Newspaper Publication,Data Patterns (India) Limited has informed the Exchange about Copy of Newspaper Publication
15-May-2026 16:30:46,Monitoring Agency Report,"Submission of Monitoring Agency Report for the quarter ended March 31, 2026"
15-May-2026 16:20:56,Analysts/Institutional Investor Meet/Con. Call Updates,Data Patterns (India) Limited has informed the Exchange about Link of Recording
14-May-2026 22:24:58,Investor Presentation,Data Patterns (India) Limited has informed the Exchange about Investor Presentation
14-May-2026 20:36:53,Outcome of Board Meeting,"Data Patterns (India) Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
14-May-2026 19:50:48,Press Release,"Data Patterns (India) Limited has informed the Exchange regarding a press release dated May 14, 2026, titled ""Operational Excellence Drives Record 31% Revenue Growth in FY 25-26""."
14-May-2026 18:53:33,Record Date,Data Patterns (India) Limited has informed the Exchange that Record date for the purpose of Dividend  is 24-Jul-2026.
14-May-2026 18:50:02,Outcome of Board Meeting,"Data Patterns (India) Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
12-May-2026 17:21:35,Analysts/Institutional Investor Meet/Con. Call Updates,Data Patterns (India) Limited has informed the Exchange about Schedule of meet
09-Apr-2026 17:39:59,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Data Patterns (India) Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
31-Mar-2026 16:30:07,Trading Window,"Data Patterns (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
15-Mar-2026 21:42:08,Bagging/Receiving of orders/contracts,Data Patterns (India) Limited has informed the Exchange about Bagging/Receiving of orders/contracts
15-Mar-2026 21:34:48,Bagging/Receiving of orders/contracts,Data Patterns (India) Limited has informed the Exchange about Bagging/Receiving of orders/contracts
15-Mar-2026 17:26:42,Bagging/Receiving of orders/contracts,Data Patterns (India) Limited has informed the Exchange about Bagging/Receiving of orders/contracts
13-Feb-2026 16:53:19,Monitoring Agency Report,"Pursuant to the Regulations 32(6) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 and Regulation 41(4) of the Securities and Exchange "
12-Feb-2026 18:11:12,Analysts/Institutional Investor Meet/Con. Call Updates,Data Patterns (India) Limited has informed the Exchange about Transcript
