date,desc,text
10-Jul-2026 17:23:37,General Updates,Deepak Nitrite Limited has informed the Exchange about General Updates
06-Jul-2026 16:58:34,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Deepak Nitrite Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Jul-2026 12:09:53,Record Date,Deepak Nitrite Limited has informed the Exchange that Record date for the purpose of Dividend  is 27-Jul-2026.
06-Jul-2026 12:01:37,Updates,Deepak Nitrite Limited has informed the Exchange regarding 'Intimation of AGM and Record Date'.
26-Jun-2026 11:49:08,Trading Window,"Deepak Nitrite Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
30-May-2026 14:22:57,General Updates,Deepak Nitrite Limited has informed the Exchange about General Updates
28-May-2026 12:18:07,Updates,"Deepak Nitrite Limited has informed the Exchange regarding 'Annual Secretarial Compliance Report for the year ended 31st March, 2026'."
22-May-2026 10:27:49,Analysts/Institutional Investor Meet/Con. Call Updates,Deepak Nitrite Limited has informed the Exchange about Transcript
18-May-2026 17:47:24,Analysts/Institutional Investor Meet/Con. Call Updates,Deepak Nitrite Limited has informed the Exchange about Link of Recording
15-May-2026 19:33:05,General Updates,Deepak Nitrite Limited has informed the Exchange about General Updates - Q4 & FY2026 Results Presentation
15-May-2026 18:39:43,Change in Director(s),Deepak Nitrite Limited has informed the Exchange regarding Change in Director(s) of the company.
15-May-2026 18:33:51,Dividend,"Deepak Nitrite Limited has informed the Exchange that Board of Directors at its meeting held on May 15, 2026, recommended Final Dividend of Rs. 7.5 per equity share."
15-May-2026 18:28:16,Outcome of Board Meeting,"Deepak Nitrite Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
13-May-2026 13:56:16,General Updates,Deepak Nitrite Limited has informed the Exchange about General Updates - Schedule Q4 & FY2O26 Earnings Conference Call
09-May-2026 11:02:39,Change in Management,Deepak Nitrite Limited has informed the Exchange about change in Management
30-Apr-2026 17:34:43,Updates,Deepak Nitrite Limited has informed the Exchange regarding 'Press Release '.
30-Apr-2026 17:33:01,General Updates,Deepak Nitrite Limited has informed the Exchange about General Updates
06-Apr-2026 10:04:51,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Deepak Nitrite Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
03-Apr-2026 19:05:13,Change in Director(s),Deepak Nitrite Limited has informed the Exchange regarding Change in Director(s) of the company.
01-Apr-2026 11:02:10,General Updates,Deepak Nitrite Limited has informed the Exchange about General Updates
26-Mar-2026 19:01:30,General Updates,Deepak Nitrite Limited has informed the Exchange about General Updates
25-Mar-2026 19:03:09,General Updates,Deepak Nitrite Limited has informed the Exchange about General Updates
25-Mar-2026 11:37:44,Trading Window,"Deepak Nitrite Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
27-Feb-2026 14:31:54,General Updates,Deepak Nitrite Limited has informed the Exchange about General Updates
23-Feb-2026 22:12:46,General Updates,Deepak Nitrite Limited has informed the Exchange about General Updates
18-Feb-2026 15:36:25,Analysts/Institutional Investor Meet/Con. Call Updates,Deepak Nitrite Limited has informed the Exchange about Transcript
13-Feb-2026 18:03:04,Analysts/Institutional Investor Meet/Con. Call Updates,Deepak Nitrite Limited has informed the Exchange about Link of Recording
