date,desc,text
11-Jul-2026 16:50:43,Outcome of Board Meeting,Avenue Supermarts Limited has informed the Exchange regarding issuance of Non-Convertible Debentures
11-Jul-2026 16:21:26,Change in Management,Avenue Supermarts Limited has informed the Exchange about change in Management
11-Jul-2026 16:03:33,General Updates,"Avenue Supermarts Limited has informed the Exchange about Investor Presentation for the quarter ended 30th June, 2026"
11-Jul-2026 15:55:20,Press Release,"Avenue Supermarts Limited has informed the Exchange regarding a press release dated July 11, 2026."
11-Jul-2026 15:48:30,Outcome of Board Meeting,"Avenue Supermarts Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026."
10-Jul-2026 18:18:04,Updates,Avenue Supermarts Limited has informed the Exchange regarding 'Store Opening Intimation'.
07-Jul-2026 17:13:42,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Avenue Supermarts Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Jul-2026 16:52:16,General Updates,Avenue Supermarts Limited has informed the Exchange about allotment of Commercial Paper of Rs. 300 crores
02-Jul-2026 17:46:59,Updates,Avenue Supermarts Limited has informed the Exchange regarding 'Company Update at the end of Quarter 1 (Q1) of Financial Year 2026-27'.
30-Jun-2026 18:29:00,General Updates,Avenue Supermarts Limited has informed the Exchange about allotment of Commercial Paper of Rs. 200 crores
30-Jun-2026 18:20:36,Updates,Avenue Supermarts Limited has informed the Exchange regarding 'Store Opening'.
29-Jun-2026 18:04:55,Updates,Avenue Supermarts Limited has informed the Exchange regarding 'Repayment of Commercial Paper '.
26-Jun-2026 17:33:15,Updates,Avenue Supermarts Limited has informed the Exchange regarding 'Store Opening '.
22-Jun-2026 18:20:11,Updates,Avenue Supermarts Limited has informed the Exchange regarding 'Receipt of request for reclassification from  Promoter Group  to  Public  category under Regulation 31A of the SEBI (Listing Obligations 
21-Jun-2026 14:34:34,Updates,Avenue Supermarts Limited has informed the Exchange regarding 'Store Opening Intimation'.
18-Jun-2026 17:50:16,ESOP/ESOS/ESPS,Avenue Supermarts Limited has informed the Exchange regarding Allotment of 15820 equity shares under Avenue Supermarts Limited ESOP Scheme 2016
09-Jun-2026 18:02:16,General Updates,Avenue Supermarts Limited has informed the Exchange about allotment of Commercial Paper of Rs. 300 crores
09-Jun-2026 17:51:31,Trading Window,"Avenue Supermarts Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
08-Jun-2026 19:16:44,General Updates,Avenue Supermarts Limited has informed the Exchange about Investment in Subsidiary Company
04-Jun-2026 18:35:22,ESOP/ESOS/ESPS,Avenue Supermarts Limited has informed the Exchange regarding Allotment of 66365  Shares.
26-May-2026 12:41:38,Disclosure under SEBI Takeover Regulations,Gopikishan  S. Damani has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulati
15-May-2026 18:38:51,Change in Management,Avenue Supermarts Limited has informed the Exchange about Change in Senior Management Personnel of the Company
14-May-2026 19:08:03,Change in Management,Avenue Supermarts Limited has informed the Exchange about change in Senior Management Personnel of the Company
14-May-2026 18:52:39,Resignation of Director/KMP/SMP,Avenue Supermarts Limited has informed the Exchange about Resignation of Director/KMP/SMP
04-May-2026 16:34:22,Copy of Newspaper Publication,Avenue Supermarts Limited has informed the Exchange about Copy of Newspaper Publication
02-May-2026 18:35:05,ESOP/ESOS/ESPS,Avenue Supermarts Limited has informed the Exchange regarding Allotment of 40135  Equity Shares.
02-May-2026 18:26:08,Options to purchase securities,Avenue Supermarts Limited has informed the Exchange about Grant of stock options under Avenue Supermarts Limited Employee Stock Option Scheme 2023
02-May-2026 18:12:38,Change in Management,Avenue Supermarts Limited has informed the Exchange about change in Management
