date,desc,text
01-Jul-2026 19:30:08,Acquisition,"Endurance Technologies Limited has informed the Exchange about update on acquisition of additional stake in Stoeferle GmbH and Stoeferle Automotive GmbH by Endurance Overseas SpA, Italy ( EOSpA ), a w"
25-Jun-2026 17:25:24,Trading Window,"Endurance Technologies Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Jun-2026 12:39:53,Sale or disposal,Endurance Technologies Limited has informed the Exchange about Sale of a wholly-owned step-down subsidiary of the Company in Italy
23-Jun-2026 18:56:57,Appointment,"Endurance Technologies Limited has informed the Exchange about change in management of the Company with the elevation of Ms. Preety Raj, Chief Human Resources Officer to President Cadre (Senior Manage"
18-Jun-2026 18:51:18,Capacity addition,"Endurance Technologies Limited has informed the Exchange about capacity addition for manufacturing Lithium-Ion Battery packs at the Company's existing facility at Mindewadi, Pune."
17-Jun-2026 20:16:09,Commencement of commercial production/operations,"Endurance Technologies Limited has informed the Exchange about Commencement of commercial production at the plant in Mindewadi, Pune effective today i.e. 17th June, 2026."
10-Jun-2026 18:22:34,Analysts/Institutional Investor Meet/Con. Call Updates,Endurance Technologies Limited has informed the Exchange about Schedule of meet and Presentation
09-Jun-2026 18:37:58,Change in Director(s),Endurance Technologies Limited has informed the Exchange regarding Change in Director(s) of the company.
09-Jun-2026 17:47:58,Copy of Newspaper Publication,The Company hereby informs about the letter sent to the shareholders concerned and copies of newspaper advertisement related to transfer of shares to IEPF.
09-Jun-2026 15:05:32,Analysts/Institutional Investor Meet/Con. Call Updates,"Endurance Technologies Limited informs the exchange that one-on-one and group meetings with Analyst / Institutional investors have been scheduled on 12th June, 2026 from 9:00 a.m to 5:00 p.m at Chenna"
04-Jun-2026 17:55:10,Analysts/Institutional Investor Meet/Con. Call Updates,"Endurance Technologies Limited informs the exchange that various group and one-on-one meetings have been scheduled on 10th and 11th June, 2026 from 8:00 a.m. to 5:00 p.m. (local time) in Singapore."
03-Jun-2026 17:08:42,Shareholders meeting,Endurance Technologies Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot
02-Jun-2026 18:45:40,Shareholders meeting,Endurance Technologies Limited has informed the Exchange regarding Proceedings of Postal Ballot
01-Jun-2026 18:06:48,Analysts/Institutional Investor Meet/Con. Call Updates,"Endurance Technologies Limited informs the exchange that one-on-one meetings have been scheduled on 3rd, 4th and 5th June, 2026 from 9:00 a.m. to 4:00 p.m. (local time) at certain manufacturing facili"
26-May-2026 19:07:03,Analysts/Institutional Investor Meet/Con. Call Updates,Endurance Technologies Limited has informed the Exchange about Schedule of meet
22-May-2026 14:29:36,Analysts/Institutional Investor Meet/Con. Call Updates,Endurance Technologies Limited has informed the Exchange about Transcript
15-May-2026 19:16:43,General Updates,Endurance Technologies Limited has informed the Exchange about update on GST demand order
15-May-2026 16:52:50,Analysts/Institutional Investor Meet/Con. Call Updates,"Endurance Technologies Limited has informed the Exchange that the audio recording of conference call for analysts / investors held today i.e. 15th May, 2026, is available on the Company s website."
15-May-2026 14:38:06,Copy of Newspaper Publication,"Endurance Technologies Limited has informed the Exchange about copy of Newspaper Publication - Audited Financial Results for the quarter and financial year ended 31st March, 2026"
15-May-2026 14:31:42,General Updates,"Endurance Technologies Limited has informed the Exchange regarding update on Order dated 17th February, 2025 passed by Deputy Commissioner (CT), LTU-DC 1, Tamil Nadu."
14-May-2026 20:26:54,Investor Presentation,Endurance Technologies Limited has informed the Exchange about Investor Presentation
14-May-2026 20:17:12,Press Release,"Endurance Technologies Limited has informed the Exchange regarding a press release dated May 14, 2026, titled ""Highlights of the audited financial results, both standalone and consolidated, for the qu"
14-May-2026 20:06:20,Record Date,Endurance Technologies Limited has informed the Exchange that Record date for the purpose of Dividend  is 31-Jul-2026.
14-May-2026 19:52:20,Change in Management,Endurance Technologies Limited has informed the Exchange about change in Management
14-May-2026 19:52:20,Dividend,"Endurance Technologies Limited has informed the Exchange that Board of Directors at its meeting held on May 14, 2026, recommended Final Dividend of Rs. 11.50 per equity share."
14-May-2026 19:40:20,Outcome of Board Meeting,"Endurance Technologies Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
08-May-2026 12:19:45,Analysts/Institutional Investor Meet/Con. Call Updates,"Endurance Technologies Limited has informed the Exchange about  schedule of investor meet to be held on 15th May, 2026 at 11:00 a.m. (IST) to discuss the financial results."
30-Apr-2026 14:41:00,Copy of Newspaper Publication,Endurance Technologies Limited has informed the Exchange about Copy of Newspaper Publication
29-Apr-2026 13:09:47,Shareholders meeting,Endurance Technologies Limited has informed the Exchange regarding Notice of Postal Ballot
16-Apr-2026 19:36:32,Appointment,"Endurance Technologies Limited has informed the Exchange regarding Appointment of   as Other of the company w.e.f. April 16, 2026."
16-Apr-2026 19:33:38,Change in Director(s),Endurance Technologies Limited has informed the Exchange regarding Change in Director(s) of the company.
02-Apr-2026 18:38:13,Disclosure under SEBI Takeover Regulations," Anurang Jain has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 201"
02-Apr-2026 11:18:43,Resignation,"Endurance Technologies Limited has informed the Exchange regarding Resignation of  Mr. Prabhas Chandra Dash Head   Aftermarket (Senior Management Personnel) of the company w.e.f. April 01, 2026."
30-Mar-2026 18:28:38,General Updates,"Endurance Technologies Limited has informed the Exchange regarding update on Order dated 29th December, 2025 passed by Deputy Commissioner, Rudrapur   I, Uttarakhand."
25-Mar-2026 16:47:58,Trading Window,"Endurance Technologies Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Mar-2026 18:36:25,Updates,"Endurance Technologies Limited has informed the Exchange regarding one-on-one meeting  scheduled on 25th March, 2026 from 3.00 p.m. to 4.00 p.m. in Pune."
20-Mar-2026 19:21:16,Updates,Endurance Technologies Limited has informed the Exchange regarding ''.
