date,desc,text
09-Jul-2026 14:53:39,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Eris Lifesciences Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Jun-2026 18:34:23,Trading Window,"Eris Lifesciences Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Jun-2026 12:31:57,ESOP/ESOS/ESPS,Eris Lifesciences Limited has informed the Exchange regarding Allotment of 11233  Shares.
23-Jun-2026 16:13:10,Updates,Eris Lifesciences Limited has informed the Exchange regarding 'corporate presentation'.
08-Jun-2026 15:59:07,Updates,Eris Lifesciences Limited has informed the Exchange regarding 'payment made of theinterest to the holders of Non-convertible Debentures'.
28-May-2026 15:32:58,Action(s) taken or orders passed,Eris Lifesciences Limited has informed the Exchange about Action(s) taken or orders passed
27-May-2026 14:47:49,Disclosure under SEBI Takeover Regulations,Eris Lifesciences Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
26-May-2026 17:55:49,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Transcript
25-May-2026 20:13:50,Shareholders meeting,"Eris Lifesciences Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
25-May-2026 11:47:44,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
20-May-2026 19:26:50,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Link of Recording
20-May-2026 14:53:15,Investor Presentation,Eris Lifesciences Limited has informed the Exchange about Investor Presentation
20-May-2026 14:46:46,Record Date,Eris Lifesciences Limited has informed the Exchange that Record date for the purpose of Dividend  is 29-May-2026.
20-May-2026 14:44:54,Outcome of Board Meeting,"Eris Lifesciences Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
15-May-2026 14:48:18,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
12-May-2026 19:23:43,Updates,Eris Lifesciences Limited has informed the Exchange regarding 'Credit Rating of Eris Therapeutics Limited'.
11-May-2026 11:38:29,ESOP/ESOS/ESPS,Eris Lifesciences Limited has informed the Exchange regarding Allotment of 24369  Shares.
08-May-2026 17:05:28,Credit Rating,Eris Lifesciences Limited has informed the Exchange about Credit Rating
24-Apr-2026 16:05:02,Copy of Newspaper Publication,Eris Lifesciences Limited has informed the Exchange about Copy of Newspaper Publication
23-Apr-2026 17:13:57,Shareholders meeting,Eris Lifesciences Limited has informed the Exchange regarding Notice of Postal Ballot
20-Apr-2026 22:25:00,Updates,"Eris Lifesciences Limited has informed the Exchange regarding 'INSPECTION OF SWISS PARENTERALS UNITS 1 AND 2 BY HALMED, CROATIA'."
10-Apr-2026 17:46:00,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Eris Lifesciences Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
31-Mar-2026 18:24:22,Updates,Eris Lifesciences Limited has informed the Exchange regarding 'closure of the transaction related to acquisition of Probiotics business of Velbiom Probiotics Private Limited'.
27-Mar-2026 17:59:15,Trading Window,"Eris Lifesciences Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
20-Mar-2026 16:08:52,Press Release,"Eris Lifesciences Limited has informed the Exchange regarding a press release dated March 20, 2026, ""Launch of Generic Semaglutide under the Brand ""Sundae"" in India.""."
20-Mar-2026 15:29:15,Outcome of Board Meeting,"Eris Lifesciences Limited has informed the Exchange regarding Outcome of Board Meeting held on March 20, 2026."
14-Mar-2026 12:50:52,Appointment,"Eris Lifesciences Limited has informed the Exchange regarding Appointment of  Mr. Vineet Varma as Non- Executive Independent Director of the company w.e.f. March 14, 2026."
13-Mar-2026 17:25:24,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
12-Mar-2026 12:12:01,ESOP/ESOS/ESPS,Eris Lifesciences Limited has informed the Exchange regarding Allotment of 19624  Shares.
05-Mar-2026 10:33:24,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
28-Feb-2026 19:03:16,Action(s) taken or orders passed,Eris Lifesciences Limited has informed the Exchange about Action(s) taken or orders passed
24-Feb-2026 12:09:57,Press Release,"Eris Lifesciences Limited has informed the Exchange regarding a press release dated February 24, 2026, titled ""Eris Lifesciences Ltd Announces Strategic Partnership with Natco Pharma Ltd for Semagluti"
23-Feb-2026 14:55:40,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
20-Feb-2026 17:56:53,Updates,Eris Lifesciences Limited has informed the Exchange regarding 'Corporate Presentation'.
20-Feb-2026 11:41:46,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Transcript
19-Feb-2026 16:09:28,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
13-Feb-2026 22:29:08,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Link of Recording
13-Feb-2026 15:20:50,Investor Presentation,Eris Lifesciences Limited has informed the Exchange about Investor Presentation
13-Feb-2026 13:24:50,Outcome of Board Meeting,"Eris Lifesciences Limited has informed the Exchange regarding  Board meeting held on February 13, 2026."
13-Feb-2026 13:22:34,Outcome of Board Meeting,"Eris Lifesciences Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
07-Feb-2026 10:04:41,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
06-Feb-2026 18:31:53,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
16-Jan-2026 20:48:48,Allotment of Securities,"Eris Lifesciences Limited has informed the Exchange regarding allotment of 2306372 securities pursuant to Preferential Issue at its meeting held on January 16, 2026"
12-Jan-2026 18:14:14,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Eris Lifesciences Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
29-Dec-2025 17:01:27,Trading Window,"Eris Lifesciences Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Dec-2025 18:38:29,Shareholders meeting,Eris Lifesciences Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot
18-Dec-2025 15:51:13,Cessation,"Eris Lifesciences Limited has informed the Exchange regarding Cessation of  Rajeev Dalal as Non- Executive Independent Director of the company w.e.f. December 18, 2025."
17-Dec-2025 20:05:51,Updates,"Eris Lifesciences Limited has informed the Exchange regarding 'Second Corrigendum To The Notice Of Postal Ballot Dated November 24, 2025'."
15-Dec-2025 16:16:50,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
10-Dec-2025 13:59:58,Updates,Eris Lifesciences Limited has informed the Exchange regarding ' Clarification With Respect To Increase In Volume'.
05-Dec-2025 18:32:45,Updates,"Eris Lifesciences Limited has informed the Exchange regarding 'Corrigendum to the Notice of Postal Ballot dated November 24, 2025'."
03-Dec-2025 15:56:38,Updates,Eris Lifesciences Limited has informed the Exchange regarding 'Corporate Presentation'.
26-Nov-2025 16:00:45,Copy of Newspaper Publication,Eris Lifesciences Limited has informed the Exchange about Copy of Newspaper Publication
24-Nov-2025 21:05:53,Shareholders meeting,Eris Lifesciences Limited has informed the Exchange regarding Notice of Postal Ballot
24-Nov-2025 18:34:16,Issue of Securities,Eris Lifesciences Limited has informed the Exchange about issue of Securities
24-Nov-2025 18:25:15,Outcome of Board Meeting,"Eris Lifesciences Limited has informed the Exchange regarding  Board meeting held on November 24, 2025."
24-Nov-2025 18:06:20,Outcome of Board Meeting,"Eris Lifesciences Limited has informed the Exchange regarding Outcome of Board Meeting held on November 24, 2025."
17-Nov-2025 18:46:10,ESOP/ESOS/ESPS,Eris Lifesciences Limited has informed the Exchange regarding Allotment of 3337  Shares.
14-Nov-2025 17:32:04,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
14-Nov-2025 17:24:45,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Transcript
12-Nov-2025 20:00:20,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Link of Recording
12-Nov-2025 18:31:43,Outcome of Board Meeting,"Eris Lifesciences Limited has submitted to the Exchange, the financial results for the period ended September 30, 2025."
12-Nov-2025 13:46:47,Outcome of Board Meeting,Outcome of Board Meeting
12-Nov-2025 13:41:03,Investor Presentation,Eris Lifesciences Limited has informed the Exchange about Investor Presentation
12-Nov-2025 13:36:26,Outcome of Board Meeting,"Eris Lifesciences Limited has informed the Exchange regarding  Board meeting held on November 12, 2025."
06-Nov-2025 19:05:34,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
13-Oct-2025 14:55:31,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Eris Lifesciences Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Sep-2025 12:11:47,Trading Window,"Eris Lifesciences Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
11-Sep-2025 14:36:39,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
02-Sep-2025 15:02:38,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
30-Aug-2025 15:30:37,ESOP/ESOS/ESPS,Eris Lifesciences Limited has informed the Exchange regarding Allotment of 6761  Shares.
26-Aug-2025 11:50:10,Press Release,"Eris Lifesciences Limited has informed the Exchange regarding a press release dated August 26, 2025, titled ""Eris Lifesciences Receives ANVISA approval for Sterile Injectable Facility""."
25-Aug-2025 11:44:37,Press Release,"Eris Lifesciences Limited has informed the Exchange regarding a press release dated August 25, 2025, titled ""Eris Lifesciences Receives ANVISA approval at its Ahmedabad campus""."
22-Aug-2025 17:07:52,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Eris Lifesciences Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
13-Aug-2025 17:46:44,Resignation,"Eris Lifesciences Limited has informed the Exchange regarding Resignation of Statutory Auditor of material subsidiary of the Company w.e.f. August 12, 2025."
11-Aug-2025 18:38:19,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
11-Aug-2025 16:42:06,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
11-Aug-2025 16:38:18,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Transcript
05-Aug-2025 19:34:15,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Link of Recording
05-Aug-2025 13:23:55,Investor Presentation,Eris Lifesciences Limited has informed the Exchange about Investor Presentation
05-Aug-2025 13:22:00,Outcome of Board Meeting,"Eris Lifesciences Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2025."
05-Aug-2025 13:16:30,Outcome of Board Meeting,"Eris Lifesciences Limited has informed the Exchange regarding  Board meeting held on August 05, 2025."
31-Jul-2025 11:12:26,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
28-Jul-2025 14:28:35,Shareholders meeting,"Eris Lifesciences Limited has submitted the Exchange a copy Srutinizers report of  undefined held on July 25, 2025"
25-Jul-2025 11:54:52,Shareholders meeting,"Eris Lifesciences Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 25, 2025"
21-Jul-2025 18:04:39,ESOP/ESOS/ESPS,Eris Lifesciences Limited has informed the Exchange regarding Allotment of 9468  Shares.
18-Jul-2025 18:39:12,Updates,Eris Lifesciences Limited has informed the Exchange regarding 'to the notice convening the 19th Annual General Meeting'.
08-Jul-2025 14:47:04,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Eris Lifesciences Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
03-Jul-2025 16:18:25,Copy of Newspaper Publication,Eris Lifesciences Limited has informed the Exchange about Copy of Newspaper Publication
02-Jul-2025 20:11:46,Updates,Eris Lifesciences Limited has informed the Exchange regarding 'NOTICE OF BOOK CLOSURE'.
02-Jul-2025 19:50:50,Shareholders meeting,"Eris Lifesciences Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 25, 2025"
02-Jul-2025 14:53:02,Copy of Newspaper Publication,Eris Lifesciences Limited has informed the Exchange about Copy of Newspaper Publication
30-Jun-2025 12:31:39,Outcome of Board Meeting,"Eris Lifesciences Limited has informed the Exchange regarding  Board meeting held on Jun 30, 2025."
27-Jun-2025 17:49:42,Trading Window,"Eris Lifesciences Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
27-Jun-2025 15:00:14,Disclosure under SEBI Takeover Regulations,Eris Lifesciences Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
26-Jun-2025 14:42:18,Updates,Eris Lifesciences Limited has informed the Exchange regarding 'Corporate Presentation'.
18-Jun-2025 12:02:34,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
16-Jun-2025 12:02:32,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
11-Jun-2025 16:16:14,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
09-Jun-2025 17:36:16,Updates,"Eris Lifesciences Limited has informed the Exchange regarding 'Certificate under reg. 57(1) of SEBI LODR Reg., 2015'."
05-Jun-2025 18:57:36,ESOP/ESOS/ESPS,Eris Lifesciences Limited has informed the Exchange regarding Allotment of 12293  Shares.
04-Jun-2025 18:16:21,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Schedule of meet
26-May-2025 11:36:36,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Transcript
19-May-2025 19:33:00,Analysts/Institutional Investor Meet/Con. Call Updates,Eris Lifesciences Limited has informed the Exchange about Link of Recording
