date,desc,text
07-Jul-2026 20:12:08,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Eternal Limited has informed the Exchange about certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended June 30, 2026."
01-Jul-2026 17:54:00,ESOP/ESOS/ESPS,Eternal Limited has informed the exchange regarding grant of stock options pursuant to approval of nomination and remuneration committee.
19-Jun-2026 18:03:55,Trading Window,"ETERNAL LIMITED has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
10-Jun-2026 16:08:30,General Updates,"Eternal Limited has informed the exchange regarding order received from Deputy Commissioner (ST), State Special Circle-I, Andhra Pradesh"
06-May-2026 13:57:42,Analysts/Institutional Investor Meet/Con. Call Updates,"Eternal Limited has filed with the Exchange transcript of the earnings conference call conducted on April 28, 2026."
28-Apr-2026 17:56:20,Monitoring Agency Report,"Eternal Limited has filed with exchange monitoring agency report for quarter ended March 31, 2026."
28-Apr-2026 15:26:20,Sale or disposal,"Eternal limited has informed the exchange about asset transfer agreement entered between the Company and Wasteland Entertainment Private Limited, wholly owned subsidiary."
28-Apr-2026 15:17:28,General Updates,"Eternal limited has filed with exchange shareholders letter dated April 28, 2026"
28-Apr-2026 15:14:24,Outcome of Board Meeting,"Outcome of Board meeting dated  April 28, 2026."
22-Apr-2026 18:03:00,Analysts/Institutional Investor Meet/Con. Call Updates,"Eternal Limited has informed the exchange that the Company will hold its earnings conference call on Tuesday, April 28, 2026 at 5:00 PM IST, to discuss the financial results for the quarter and financ"
06-Apr-2026 19:47:05,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Eternal Limited has informed the Exchange about Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended March 31, 2026"
01-Apr-2026 18:56:58,ESOP/ESOS/ESPS,Eternal limited has informed the exchange regarding grant of stock options pursuant to approval of nomination and remuneration committee
20-Mar-2026 19:59:01,Trading Window,"ETERNAL LIMITED has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
18-Mar-2026 21:34:17,General Updates,"Eternal Limited has informed exchange regarding orders received from Additional Commissioner, CGST Gurugram Commissionerate, Gurugram, Haryana and Assistant Commissioner, Ranchi, Jharkhand"
13-Mar-2026 22:12:32,Shareholders meeting,Eternal limited has filed with the exchange a copy scrutinizer report of Postal Ballot and voting results.
12-Feb-2026 13:20:51,General Updates,Eternal Limited has filed with the exchange extract of newspaper publications.
11-Feb-2026 19:05:39,News Verification,The Exchange has sought clarification from ETERNAL LIMITED with respect to recent news item captioned Zomato launches AI-powered hotline to simplify delivery partner onboarding.  The response from the
11-Feb-2026 11:04:04,Shareholders meeting,Eternal limited has filed with the exchange postal ballot notice
10-Feb-2026 15:25:43,Change in Management,"Outcome of board meeting dated February 10, 2026."
10-Feb-2026 14:51:58,News Verification,The Exchange has sought clarification from ETERNAL LIMITED with respect to recent news item captioned Zomato launches AI-powered hotline to simplify delivery partner onboarding.  The response from the
06-Feb-2026 21:00:36,Cessation,"Further to intimation dated January 21, 2026, please find attached resignation letter."
06-Feb-2026 13:10:26,General Updates,"Eternal Limited has informed the Exchange regarding the dissolution of  Zomato Netherlands B.V., a step-down subsidiary of the Company."
05-Feb-2026 18:25:31,General Updates,"Eternal Limited has informed the exchange regarding the order received from Deputy Commissioner, State Tax, Lucknow, Uttar Pradesh."
27-Jan-2026 18:23:28,Analysts/Institutional Investor Meet/Con. Call Updates,"Eternal Limited has filed with the exchange transcript of the earnings conference call conducted on January 21, 2026."
22-Jan-2026 18:53:25,News Verification,"The Exchange has sought clarification from ETERNAL LIMITED with respect to recent news item captioned Zomato leases 270,000 sq ft office in Gurugrams Intellion Park.  The response from the Company is "
21-Jan-2026 18:35:08,Monitoring Agency Report,"Eternal Limited has filed with exchange monitoring agency report for the quarter ended December 31, 2025."
21-Jan-2026 16:02:40,Change in Management,Eternal Limited has informed the exchange regarding change in management.
21-Jan-2026 15:57:34,Change in Director(s),ETERNAL LIMITED has informed the Exchange regarding Change in Director(s) of the company.
21-Jan-2026 15:54:31,Updates,Eternal Limited has informed the Exchange regarding 'shareholders letter'.
21-Jan-2026 15:50:24,Updates,Letter from Deepinder Goyal to the shareholders.
21-Jan-2026 15:50:06,Outcome of Board Meeting,"Outcome of board meeting dated January 21, 2026"
