date,desc,text
10-Jul-2026 19:36:02,Shareholders meeting,"Exide Industries Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 10, 2026. Further, the company has submitted the Exchange a copy of Srutinizers report."
23-Jun-2026 16:09:33,Disclosure under SEBI Takeover Regulations,Chloride Eastern Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regul
17-Jun-2026 13:14:13,Copy of Newspaper Publication,Exide Industries Limited has informed the Exchange about Copy of Newspaper advertisement w.r.t. Notice of 79th AGM of the Company and e-voting information.
16-Jun-2026 18:55:06,Shareholders meeting,"Exide Industries Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 10, 2026"
02-Jun-2026 16:43:55,Copy of Newspaper Publication,Exide Industries Limited has informed the Exchange about Copy of Newspaper Publication w.r.t notice of transfer of equity shares of the Company to IEPF.
30-May-2026 15:24:59,Copy of Newspaper Publication,Exide Industries Limited has informed the Exchange about Copy of Newspaper Publication w.r.t 79th AGM of the Company and Intimation of Tax deduction on dividend.
26-May-2026 11:25:17,Trading Window,"Exide Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
13-May-2026 16:23:33,Updates,"Exide Industries Limited has informed the Exchange regarding merger of CB Management Services Private Limited, the Registrar and Share Transfer Agent of the Company,  with MUFG Intime India Private Li"
13-May-2026 11:28:19,Copy of Newspaper Publication,Exide Industries Limited has informed the Exchange about Copy of Newspaper Publication w.r.t relodgement of transfer requests of physical shares.
11-May-2026 15:49:56,Analysts/Institutional Investor Meet/Con. Call Updates,Exide Industries Limited has informed the Exchange about Transcript of Earnings Call held on 6th May 2026.
06-May-2026 16:26:14,Analysts/Institutional Investor Meet/Con. Call Updates,Exide Industries Limited has informed the Exchange about Link of Recording
05-May-2026 16:18:25,Investor Presentation,Exide Industries Limited has informed the Exchange about Investor Presentation
04-May-2026 14:20:37,General Updates,Intimation under Regulation 30 of SEBI (Listing Obligations & Disclosure Requirements) Regulations 2015 ( Listing Regulations )   Appointment of Senior Management Personnel
04-May-2026 14:05:02,Press Release,"Exide Industries Limited has informed the Exchange regarding a press release dated May 04, 2026, titled ""EXIDE INDUSTRIES LIMITED: For Q4 FY26, Revenue grew 9.4% on YoY basis and PBT grew 22.6%, buoye"
04-May-2026 14:02:15,Updates,Exide Industries Limited has informed the Exchange regarding 'AGM Date'.
04-May-2026 13:59:03,Record Date,Exide Industries Limited has informed the Exchange that Record date for the purpose of Dividend  is 03-Jul-2026.
04-May-2026 13:51:02,Outcome of Board Meeting,"Exide Industries Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
30-Apr-2026 17:17:05,Analysts/Institutional Investor Meet/Con. Call Updates,Exide Industries Limited has informed the Exchange about Schedule of Investor meet to be held on 6th May 2026
25-Apr-2026 15:24:32,Copy of Newspaper Publication,Exide Industries Limited has informed the Exchange about Copy of Newspaper Publication w.r.t Saksham Niveshak - 2nd phase
06-Apr-2026 15:55:18,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Exide Industries Limited has informed the Exchange about Certificate under Reg 74(5) of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended March 2026."
25-Mar-2026 16:09:29,General Updates,"Exide Industries Limited has informed the Exchange about further investment in Exide Energy Solutions Limited, wholly owned subsidiary of the Company."
10-Mar-2026 16:47:00,Copy of Newspaper Publication,Exide Industries Limited has informed the Exchange about Copy of Newspaper Publication regarding special window for re-lodgement of transfer requests of physical shares.
24-Feb-2026 20:12:19,Trading Window,"Exide Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Feb-2026 17:26:24,General Updates,"Exide Industries Limited has informed the Exchange about further investment in Exide Energy Solutions Limited, wholly owned subsidiary of the Company."
20-Feb-2026 14:57:16,Reply to Clarification- Financial results,The Exchange had sought clarification from Exide Industries Limited for the quarter ended 31-Dec-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regula
16-Feb-2026 18:03:09,Updates,Exide Industries Limited has informed the Exchange regarding 'One-on-one Investor/Analyst meet'.
12-Feb-2026 17:49:07,Clarification - Financial Results,The Exchange has sought clarification from Exide Industries Limited for the quarter ended 31-Dec-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regula
09-Feb-2026 11:23:58,Analysts/Institutional Investor Meet/Con. Call Updates,Exide Industries Limited has informed the Exchange about Transcript of the Earnings Call held on 3rd February 2026.
03-Feb-2026 15:18:31,Analysts/Institutional Investor Meet/Con. Call Updates,Exide Industries Limited has informed the Exchange about the audio recording of the Investor/Analyst meet held today i.e 3rd February 2026.
02-Feb-2026 18:32:13,Investor Presentation,Exide Industries Limited has informed the Exchange about Investor Presentation
30-Jan-2026 13:57:40,Press Release,"Exide Industries Limited has informed the Exchange regarding a press release dated January 30, 2026, titled ""For Q3 FY26, Revenue grew 4.7% on YoY basis and PBT grew 5.6%, buoyed by strong growthin re"
30-Jan-2026 13:49:03,Outcome of Board Meeting,"Exide Industries Limited has informed the Exchange regarding  Board meeting held on January 30, 2026."
30-Jan-2026 13:42:08,Outcome of Board Meeting,"Exide Industries Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
28-Jan-2026 17:00:00,General Updates,"Exide Industries Limited has informed the Exchange about further investment in its Wholly Owned Subsidiary, Exide Energy Solutions Limited"
28-Jan-2026 16:11:47,Analysts/Institutional Investor Meet/Con. Call Updates,Exide Industries Limited has informed the Exchange about Schedule of Investor meet for Q3 FY 2025-26
12-Jan-2026 15:45:23,General Updates,Exide Industries Limited has informed the Exchange about the appointment of Senior Management Personnel (SMP) of the Company.
05-Jan-2026 16:15:11,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Exide Industries Limited has informed the Exchange about Certificate under Reg 74(5) of SEBI (Depositories and Participants) Regulations, 2018"
23-Dec-2025 11:09:41,General Updates,"Exide Industries Limited has informed the Exchange about further investment in Exide Energy Solutions Limited, wholly owned subsidiary of the Company."
23-Dec-2025 11:03:57,Updates,"Exide Industries Limited has informed the Exchange regarding change in KMP of Exide Energy Solutions Limited, Wholly owned subsidiary of the Company."
26-Nov-2025 11:09:12,Copy of Newspaper Publication,Exide Industries Limited has informed the Exchange about Copy of Newspaper Publication regarding special window for re-lodgement of transfer requests of physical shares.
25-Nov-2025 16:32:01,General Updates,"Exide Industries Limited has informed the Exchange about further investment in Exide Energy Solutions Limited, Wholly Owned Subsidiary of the Company."
24-Nov-2025 16:22:14,Trading Window,"Exide Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
21-Nov-2025 14:50:31,Analysts/Institutional Investor Meet/Con. Call Updates,Exide Industries Limited has informed the Exchange about Transcript
17-Nov-2025 15:57:08,Analysts/Institutional Investor Meet/Con. Call Updates,Exide Industries Limited has informed the Exchange about Audio Link of Recording
17-Nov-2025 10:08:02,Investor Presentation,Exide Industries Limited has informed the Exchange about Investor Presentation
14-Nov-2025 17:46:41,Press Release,"Exide Industries Limited has informed the Exchange regarding a press release dated November 14, 2025, titled ""For the first half of the financial year 2025-26, sales grew by 1.3% on YoY basis despitet"
14-Nov-2025 17:43:41,Outcome of Board Meeting,"Exide Industries Limited has informed the Exchange regarding  Board meeting held on November 14, 2025."
14-Nov-2025 17:39:40,Outcome of Board Meeting,"Exide Industries Limited has submitted to the Exchange, the unaudited financial results for the period ended September 30, 2025."
12-Nov-2025 15:29:36,Analysts/Institutional Investor Meet/Con. Call Updates,Exide Industries Limited has informed the Exchange about Schedule of meet
28-Oct-2025 17:48:47,General Updates,Exide Industries Limited has informed the Exchange about further investment in Wholly owned subsidiary.
24-Oct-2025 19:33:53,Shareholders meeting,Exide Industries Limited has informed the Exchange regarding voting results of  Postal Ballot
24-Oct-2025 19:25:21,Shareholders meeting,"Exide Industries Limited has informed the Exchange regarding Proceedings of Postal Ballot. Further, the company has submitted the Exchange a copy of Srutinizers report."
