date,desc,text
06-Jul-2026 21:13:08,Change in Director(s),Fertilizers and Chemicals Travancore Limited has informed the Exchange regarding Change in Director(s) of the company.
02-Jul-2026 16:29:37,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Fertilizers and Chemicals Travancore Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
01-Jul-2026 10:45:02,Cessation,"Fertilizers and Chemicals Travancore Limited has informed the Exchange regarding Cessation of Mr Anupam Misra as Director (Marketing) of the company w.e.f. July 01, 2026."
25-Jun-2026 16:54:42,Trading Window,"Fertilizers and Chemicals Travancore Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
20-Jun-2026 10:16:50,Cessation,"Fertilizers and Chemicals Travancore Limited has informed the Exchange regarding Cessation of Mr M. Chandran as Non- Executive Independent Director of the company w.e.f. Jun 20, 2026."
18-Jun-2026 13:36:53,Change in Director(s),Fertilizers and Chemicals Travancore Limited has informed the Exchange regarding Change in Director(s) of the company.
11-Jun-2026 10:56:11,Spurt in Volume,"Significant increase in volume has been observed in Fertilizers and Chemicals Travancore Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and"
10-Jun-2026 18:03:26,Spurt in Volume,"Significant increase in volume has been observed in Fertilizers and Chemicals Travancore Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and"
08-Jun-2026 21:20:56,General Updates,Fertilizers and Chemicals Travancore Limited has informed the Exchange about General Updates
01-Jun-2026 14:10:05,Cessation,"Fertilizers and Chemicals Travancore Limited has informed the Exchange regarding Cessation of  Dr. K. Jayachandran as Director (Technical) of the company w.e.f. Jun 01, 2026."
30-May-2026 13:52:16,Copy of Newspaper Publication,Fertilizers and Chemicals Travancore Limited has informed the Exchange about Copy of Newspaper Publication
29-May-2026 18:10:09,Change in Management,Fertilizers and Chemicals Travancore Limited has informed the Exchange about change in Management
29-May-2026 14:20:34,Outcome of Board Meeting,"Fertilizers and Chemicals Travancore Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
14-May-2026 17:52:00,General Updates,Fertilizers and Chemicals Travancore Limited has informed the Exchange about the Commencement of production of Di-Ammonium Phosphate (DAP)
05-May-2026 17:56:29,Cessation,"Fertilizers and Chemicals Travancore Limited has informed the Exchange regarding Cessation of  Dr Aruna Kamineni as Non- Executive Independent Director of the company w.e.f. May 05, 2026."
