date,desc,text
10-Jul-2026 12:44:21,Scheme of Arrangement,Gujarat Fluorochemicals Limited has informed the Exchange about Intimation of receipt of No Objection Letters from BSE Limited (BSE) and National Stock Exchange of India Limited ( NSE ) in relation to
06-Jul-2026 13:25:00,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Gujarat Fluorochemicals Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
29-Jun-2026 12:32:02,Press Release,"Gujarat Fluorochemicals Limited has informed the Exchange regarding a press release dated Jun 29, 2026, titled ""Press Release in respect of the Company s strategic intent to expand Refrigerant capacit"
26-Jun-2026 17:42:08,Acquisition,Gujarat Fluorochemicals Limited has informed the Exchange about Acquisition
25-Jun-2026 14:54:17,Copy of Newspaper Publication,Gujarat Fluorochemicals Limited has informed the Exchange about Copy of Newspaper Publication
25-Jun-2026 14:47:45,Trading Window,"Gujarat Fluorochemicals Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2026 13:07:15,Disclosure under SEBI Takeover Regulations,Gujarat Fluorochemicals Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers
03-Jun-2026 18:18:12,Acquisition,Gujarat Fluorochemicals Limited has informed the Exchange about Acquisition
01-Jun-2026 11:17:08,Analysts/Institutional Investor Meet/Con. Call Updates,Gujarat Fluorochemicals Limited has informed the Exchange about Transcript
29-May-2026 18:15:57,Updates,"Gujarat Fluorochemicals Limited has informed the Exchange regarding 'Intimation of resignation of Statutory Auditor of GFCL EV Products Limited, Material Subsidiary of the Company'."
26-May-2026 19:44:58,Analysts/Institutional Investor Meet/Con. Call Updates,Gujarat Fluorochemicals Limited has informed the Exchange about Link of Recording
26-May-2026 16:50:12,Investor Presentation,Gujarat Fluorochemicals Limited has informed the Exchange about Investor Presentation
26-May-2026 16:13:50,Dividend,"Gujarat Fluorochemicals Limited has informed the Exchange that Board of Directors at its meeting held on May 26, 2026, recommended Final Dividend of Rs. 3 per equity share."
26-May-2026 16:08:00,Outcome of Board Meeting,"Gujarat Fluorochemicals Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
20-May-2026 13:40:12,Analysts/Institutional Investor Meet/Con. Call Updates,Gujarat Fluorochemicals Limited has informed the Exchange about Schedule of meet
19-May-2026 16:32:34,Analysts/Institutional Investor Meet/Con. Call Updates,Gujarat Fluorochemicals Limited has informed the Exchange about Schedule of meet
29-Apr-2026 11:14:42,Copy of Newspaper Publication,Gujarat Fluorochemicals Limited has informed the Exchange about Copy of Newspaper Publication
06-Apr-2026 11:15:05,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Gujarat Fluorochemicals Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
27-Mar-2026 17:59:57,Press Release,"Gujarat Fluorochemicals Limited has informed the Exchange regarding a press release dated March 27, 2026, titled ""Press Release""."
27-Mar-2026 10:27:52,Credit Rating,Gujarat Fluorochemicals Limited has informed the Exchange about Credit Rating
24-Mar-2026 18:37:27,Trading Window,"Gujarat Fluorochemicals Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
16-Mar-2026 18:25:30,Shareholders meeting,Gujarat Fluorochemicals Limited has informed the Exchange about Shareholders meeting
28-Feb-2026 15:05:15,Copy of Newspaper Publication,Gujarat Fluorochemicals Limited has informed the Exchange about Copy of Newspaper Publication
18-Feb-2026 18:23:11,Analysts/Institutional Investor Meet/Con. Call Updates,Gujarat Fluorochemicals Limited has informed the Exchange about Transcript
18-Feb-2026 16:32:08,General Updates,"Gujarat Fluorochemicals Limited has informed the Exchange about Announcement under Regulation 30 and 31A of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
14-Feb-2026 11:39:00,Copy of Newspaper Publication,Gujarat Fluorochemicals Limited has informed the Exchange about Copy of Newspaper Publication
13-Feb-2026 16:03:21,Shareholders meeting,Gujarat Fluorochemicals Limited has informed the Exchange regarding Notice of Postal Ballot
12-Feb-2026 18:52:52,Analysts/Institutional Investor Meet/Con. Call Updates,Gujarat Fluorochemicals Limited has informed the Exchange about Link of Recording
12-Feb-2026 16:41:01,Press Release,"Gujarat Fluorochemicals Limited has informed the Exchange regarding a press release dated February 12, 2026, titled ""Press Release""."
12-Feb-2026 16:16:20,Investor Presentation,Gujarat Fluorochemicals Limited has informed the Exchange about Investor Presentation
12-Feb-2026 13:35:00,Outcome of Board Meeting,"Gujarat Fluorochemicals Limited has informed the Exchange regarding Outcome of Board Meeting held on February 12, 2026."
12-Feb-2026 13:29:24,Outcome of Board Meeting,"Gujarat Fluorochemicals Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
06-Feb-2026 16:46:42,Analysts/Institutional Investor Meet/Con. Call Updates,Gujarat Fluorochemicals Limited has informed the Exchange about Schedule of meet
20-Jan-2026 18:57:56,Incorporation,Gujarat Fluorochemicals Limited has informed the Exchange about Incorporation
16-Jan-2026 14:46:14,General Updates,Gujarat Fluorochemicals Limited has informed the Exchange about General Updates
05-Jan-2026 11:12:33,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Gujarat Fluorochemicals Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
29-Dec-2025 19:29:22,Demise,"Gujarat Fluorochemicals Limited has informed the Exchange regarding Demise of Shri Devendra Kumar Jain, Chairman of the Company on December 29, 2025."
25-Dec-2025 16:14:17,Trading Window,"Gujarat Fluorochemicals Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
15-Dec-2025 15:58:27,General Updates,Gujarat Fluorochemicals Limited has informed the Exchange about General Updates
15-Dec-2025 15:16:25,Amendment to AOA/MOA,Gujarat Fluorochemicals Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.
15-Dec-2025 15:10:46,Shareholders meeting,Gujarat Fluorochemicals Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot
11-Dec-2025 16:52:09,General Updates,Gujarat Fluorochemicals Limited has informed the Exchange about General Updates
05-Dec-2025 13:59:19,General Updates,Gujarat Fluorochemicals Limited has informed the Exchange about General Updates
14-Nov-2025 15:28:46,Analysts/Institutional Investor Meet/Con. Call Updates,Gujarat Fluorochemicals Limited has informed the Exchange about Transcript
13-Nov-2025 15:12:28,Copy of Newspaper Publication,Gujarat Fluorochemicals Limited has informed the Exchange about Copy of Newspaper Publication
12-Nov-2025 18:25:23,Shareholders meeting,Gujarat Fluorochemicals Limited has informed the Exchange regarding Notice of Postal Ballot
12-Nov-2025 12:25:27,General Updates,Gujarat Fluorochemicals Limited has informed the Exchange about General Updates
11-Nov-2025 19:20:53,Analysts/Institutional Investor Meet/Con. Call Updates,Gujarat Fluorochemicals Limited has informed the Exchange about Link of Recording
11-Nov-2025 16:44:37,Investor Presentation,Gujarat Fluorochemicals Limited has informed the Exchange about Investor Presentation
11-Nov-2025 16:22:49,Outcome of Board Meeting,"Gujarat Fluorochemicals Limited has informed the Exchange regarding  Board meeting held on November 11, 2025."
