date,desc,text
01-Jul-2026 18:15:24,Monthly Business Updates,FORCE MOTORS LTD has informed the Exchange regarding Monthly Business Updates for the month of June 2026
26-Jun-2026 17:27:09,General Updates,FORCE MOTORS LTD has informed the Exchange about General Updates- Investor presentation on financial performance for quarter ended on 31/03/2026
26-Jun-2026 17:08:41,Copy of Newspaper Publication,FORCE MOTORS LTD has informed the Exchange about Copy of Newspaper Publication regarding the Notice of Special Window for transfer and Dematerialisation of physical securities.
25-Jun-2026 20:00:51,Trading Window,"FORCE MOTORS LTD has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
01-Jun-2026 20:19:04,Resignation,"FORCE MOTORS LTD has informed the Exchange regarding Resignation of Mr Manoj Laxman Patil as SMP of the company w.e.f. Jun 01, 2026."
01-Jun-2026 20:08:58,Cessation,"FORCE MOTORS LTD has informed the Exchange regarding Cessation of Mr Manoj Laxman Patil as SMP of the company w.e.f. Jun 01, 2026."
01-Jun-2026 20:03:09,Resignation of Director/KMP/SMP,FORCE MOTORS LTD has informed the Exchange about Resignation of Director/KMP/SMP
01-Jun-2026 19:21:02,Monthly Business Updates,FORCE MOTORS LTD has informed the Exchange regarding Monthly Business Updates for the month of May 2026
05-May-2026 14:53:50,Monthly Business Updates,FORCE MOTORS LTD has informed the Exchange regarding Monthly Business Updates for the month of April 2026
05-May-2026 12:51:33,Press Release,"FORCE MOTORS LTD has informed the Exchange regarding a press release dated May 05, 2026, titled ""Force Motors launches- New Force Traveller N Range Reimagined for the future of shared passenger mobili"
05-May-2026 12:46:57,Product launch,FORCE MOTORS LTD has informed the Exchange about Product launch
30-Apr-2026 17:00:53,Copy of Newspaper Publication,FORCE MOTORS LTD has informed the Exchange about copy of Newspaper Publication for Audited Standalone and Consolidated financial results of the Company for the quarter and year ended on 31.03.2026.
29-Apr-2026 18:18:23,Outcome of Board Meeting,"FORCE MOTORS LTD has submitted to the Exchange, the financial results for the period ended March 31, 2026."
29-Apr-2026 18:09:00,Dividend,"FORCE MOTORS LTD has informed the Exchange that Board of Directors at its meeting held on April 29, 2026, recommended Final Dividend of Rs. 50 per equity share."
29-Apr-2026 18:05:20,Outcome of Board Meeting,"FORCE MOTORS LTD has submitted to the Exchange, the financial results for the period ended March 31, 2026."
28-Apr-2026 19:55:23,Copy of Newspaper Publication,"FORCE MOTORS LTD has informed the Exchange about Copy of Newspaper Publication - 2nd Notice for Special Window and Second 100 Days Campaign - ""Saksham Niveshak"""
23-Apr-2026 19:58:00,Acquisition,FORCE MOTORS LTD has informed the Exchange about Update on Acquisition- Completion of Acquisition.
22-Apr-2026 22:20:59,Trading Window,"FORCE MOTORS LTD has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
14-Apr-2026 21:41:22,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","FORCE MOTORS LTD has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
09-Apr-2026 16:33:00,Disclosure under SEBI Takeover Regulations,JAYA HIND INDUSTRIES PRIVATE LIMITED has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Take
01-Apr-2026 16:04:18,Monthly Business Updates,FORCE MOTORS LTD has informed the Exchange regarding Monthly Business Updates for the month of March 2026
26-Mar-2026 18:48:59,Trading Window,"FORCE MOTORS LTD has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Mar-2026 19:29:15,Shareholders meeting,"FORCE MOTORS LTD has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
05-Mar-2026 15:03:07,Copy of Newspaper Publication,FORCE MOTORS LTD has informed the Exchange about Copy of Newspaper Publication
05-Mar-2026 15:00:09,General Updates,"FORCE MOTORS LTD has informed the Exchange about General Updates- Intimation under Regulation 30(13) of SEBI (LODR) Regulations, 2015."
05-Mar-2026 14:48:24,General Updates,"FORCE MOTORS LTD has informed the Exchange about General Updates- Intimation under Regulation 30(13) of SEBI (LODR) Regulations, 2015."
02-Mar-2026 14:12:12,Monthly Business Updates,FORCE MOTORS LTD has informed the Exchange regarding Monthly Business Updates for the month of February 2026
13-Feb-2026 15:18:35,Copy of Newspaper Publication,FORCE MOTORS LTD has informed the Exchange about Copy of Newspaper Publication of Postal Ballot Notice dated 12.02.2026
12-Feb-2026 17:40:15,Shareholders meeting,FORCE MOTORS LTD has informed the Exchange regarding Notice of Postal Ballot
12-Feb-2026 10:45:44,Updates,"FORCE MOTORS LTD has informed the Exchange regarding 'Investor Presentation' on Unaudited (Standalone & Consolidated) Financial Results for the Quarter and nine months ended on 31st December, 2025."
06-Feb-2026 18:42:41,Acquisition,"FORCE MOTORS LTD has informed the Exchange about updates on Acquisition intimated by the Company on 4th February, 2026."
05-Feb-2026 18:29:56,Copy of Newspaper Publication,FORCE MOTORS LTD has informed the Exchange about Copy of Newspaper Publication of unaudited standalone and consolidated financial results for the quarter and nine months ended on 31.12.2025
05-Feb-2026 16:01:18,Updates,FORCE MOTORS LTD has informed the Exchange regarding 'Communication received from SEBI seeking aditional information '.
04-Feb-2026 20:57:01,Acquisition,FORCE MOTORS LTD has informed the Exchange about Acquisition
04-Feb-2026 20:00:28,Outcome of Board Meeting,"FORCE MOTORS LTD has submitted to the Exchange, Unaudited Standalone and Consolidated financial results for the quarter and nine months ended on December 31, 2025."
02-Feb-2026 13:29:21,Monthly Business Updates,FORCE MOTORS LTD has informed the Exchange regarding Monthly Business Updates for the month of January 2026
29-Jan-2026 20:40:30,Appointment,"FORCE MOTORS LTD has informed the Exchange regarding Appointment of Mr Lt. Gen. Vinod Gulabrao Khandare (Retd.) as Non- Executive Independent Director of the company w.e.f. January 29, 2026, for the f"
28-Jan-2026 22:36:19,Trading Window,"FORCE MOTORS LTD has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
14-Jan-2026 12:42:40,Updates,FORCE MOTORS LTD has informed the Exchange regarding 'Certificate under Reg 74 (5) of SEBI (DP) Regulations 2018 for quarter ended on 31/12/2025 '.
01-Jan-2026 15:31:09,Monthly Business Updates,"FORCE MOTORS LTD has informed the Exchange regarding Monthly Business Updates for the month of December, 2025"
29-Dec-2025 17:03:44,Trading Window,"FORCE MOTORS LTD has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Dec-2025 17:51:59,Appointment,"FORCE MOTORS LTD has informed the Exchange regarding Appointment of Mr Nitin Nandkishor Kareer as Non- Executive Independent Director of the company w.e.f. December 19, 2025."
19-Dec-2025 17:50:25,Appointment,"FORCE MOTORS LTD has informed the Exchange regarding Appointment of Mr Gautam Hemant Bambawale as Non- Executive Independent Director of the company w.e.f. December 19, 2025."
19-Dec-2025 17:41:40,Change in Director(s),FORCE MOTORS LTD has informed the Exchange regarding Change in Director(s) of the company.
01-Dec-2025 17:27:28,Monthly Business Updates,FORCE MOTORS LTD has informed the Exchange regarding Monthly Business Updates for the month of November 2025
14-Nov-2025 18:28:54,Updates,"FORCE MOTORS LTD has informed the Exchange regarding 'Investor Presentation on Unaudited Standalone and Consolidated financial results for quarter and half year ended on 30th September, 2025'."
08-Nov-2025 12:45:35,Copy of Newspaper Publication,FORCE MOTORS LTD has informed the Exchange about Copy of Newspaper Publication
07-Nov-2025 19:49:04,Copy of Newspaper Publication,FORCE MOTORS LTD has informed the Exchange about Copy of Newspaper Publication
07-Nov-2025 19:12:57,Outcome of Board Meeting,"FORCE MOTORS LTD has submitted to the Exchange, the Unaudited Standalone and Consolidated financial results for the quarter and half year ended on September 30, 2025."
