date,desc,text
10-Jul-2026 16:57:25,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Godfrey Phillips India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
09-Jul-2026 15:26:01,General Updates,Godfrey Phillips India Limited has informed the Exchange about Copy of Newspaper Publication regarding special window for transfer and dematerialization of physical shares.
09-Jul-2026 15:26:00,General Updates,Godfrey Phillips India Limited has informed the Exchange about Copy of Newspaper Publication regarding loss of share certificates.
25-Jun-2026 13:13:50,Trading Window,"Godfrey Phillips India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Jun-2026 15:24:17,Copy of Newspaper Publication,Godfrey Phillips India Limited has informed the Exchange about Copy of Newspaper Publication regarding loss of share certificates.
12-Jun-2026 11:20:39,Disclosure under SEBI Takeover Regulations,Longwell Investment Pvt. Ltd. has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) 
02-Jun-2026 10:50:26,Disclosure under SEBI Takeover Regulations,"Bina Modi has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
27-May-2026 16:12:49,"Arrangements for strategic, technical, manufacturing, or marketing tie up","Godfrey Phillips India Limited has informed the Exchange about Arrangements for strategic, technical, manufacturing, or marketing tie up - Contract Manufacturing Agreement."
19-May-2026 17:47:09,General Updates,Godfrey Phillips India Limited has informed the Exchange about Update on fire incident
16-May-2026 15:12:46,General Updates,Godfrey Phillips India Limited has informed the Exchange about newspaper publication
15-May-2026 17:52:39,General Updates,Godfrey Phillips India Limited has informed the Exchange about Earnings Presentation
15-May-2026 17:25:47,Appointment,Godfrey Phillips India Limited has informed the Exchange regarding Appointment of  Mr. Rajesh Menon as Chief Commercial and Operations Officer and Senior Management Personnel of the company w.e.f. Sep
15-May-2026 17:13:03,"Arrangements for strategic, technical, manufacturing, or marketing tie up","Godfrey Phillips India Limited has informed the Exchange about Arrangements for strategic, technical, manufacturing, or marketing tie up-Distribution Agreement"
15-May-2026 16:59:43,Dividend,"Godfrey Phillips India Limited has informed the Exchange that Board of Directors at its meeting held on May 15, 2026, recommended Final Dividend of Rs. 33 per equity share."
15-May-2026 16:53:34,Outcome of Board Meeting,"Godfrey Phillips India Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
15-May-2026 15:45:59,Disclosure under SEBI Takeover Regulations," Bina Modi has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
15-May-2026 15:43:23,Disclosure under SEBI Takeover Regulations,Philip Morris Global Brands Inc. has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) and 31 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares a
14-May-2026 17:33:25,Resignation,"Godfrey Phillips India Limited has informed the Exchange regarding Resignation of  Jaishree Tolani as General Counsel and Senior Management Personnel of the company w.e.f. May 14, 2026."
08-May-2026 15:33:25,Copy of Newspaper Publication,Godfrey Phillips India Limited has informed the Exchange about Copy of Newspaper Publication regarding special window for transfer and dematerialisation (demat) of physical shares.
09-Apr-2026 16:39:03,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Godfrey Phillips India Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
06-Apr-2026 12:19:52,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Godfrey Phillips India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Mar-2026 15:56:19,Spurt in Volume,"Significant increase in volume has been observed in Godfrey Phillips India Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
26-Mar-2026 12:56:02,Trading Window,"Godfrey Phillips India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Mar-2026 19:04:14,Spurt in Volume,"Significant increase in volume has been observed in Godfrey Phillips India Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
13-Mar-2026 13:08:20,Shareholders meeting,Godfrey Phillips India Limited has submitted the Exchange a copy Srutinizers report of Postal Ballot
10-Mar-2026 12:07:00,Copy of Newspaper Publication,Godfrey Phillips India Limited has informed the Exchange about Copy of Newspaper Publication regarding special window for transfer and dematerialisation (demat) of physical shares.
11-Feb-2026 12:37:32,Copy of Newspaper Publication,Godfrey Phillips India Limited has informed the Exchange about Copy of Newspaper Publication of Postal Ballot Notice
10-Feb-2026 16:52:05,Shareholders meeting,Godfrey Phillips India Limited has informed the Exchange regarding Notice of Postal Ballot.
31-Jan-2026 14:21:11,Copy of Newspaper Publication,Godfrey Phillips India Limited has informed the Exchange about newspaper clipping of extract of Unaudited Standalone and Consolidated Financial Results of the Company for the quarter and nine months e
30-Jan-2026 17:59:20,General Updates,Godfrey Phillips India Limited has informed the Exchange about Earnings Presentation for nine months ended 31st December 2025
30-Jan-2026 17:12:06,Appointment,"Godfrey Phillips India Limited has informed the Exchange regarding Appointment of Mr. Marco Mariotti as an Additional Director (Non- Executive and Non-Independent) of the company w.e.f. February 01, 2"
30-Jan-2026 17:08:17,Outcome of Board Meeting,"Godfrey Phillips India Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
07-Jan-2026 15:16:06,General Updates,Godfrey Phillips India Limited has informed the Exchange about General Updates - GST Order.
06-Jan-2026 14:55:02,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Godfrey Phillips India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Jan-2026 11:38:22,Spurt in Volume,"Significant increase in volume has been observed in Godfrey Phillips India Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
01-Jan-2026 19:13:43,Spurt in Volume,"Significant increase in volume has been observed in Godfrey Phillips India Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
30-Dec-2025 12:07:15,General Updates,Godfrey Phillips India Limited has informed the Exchange about Intimation under Regulation 30.
23-Dec-2025 18:31:22,General Updates,Godfrey Phillips India Limited has informed the Exchange about update on fire incident.
23-Dec-2025 14:42:20,Trading Window,"Godfrey Phillips India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
03-Dec-2025 15:38:32,Copy of Newspaper Publication,Godfrey Phillips India Limited has informed the Exchange about Copy of Newspaper Publication regarding special window for re-lodgement of transfer requests of Physical Shares
11-Nov-2025 11:36:44,General Updates,Godfrey Phillips India Limited has informed the Exchange about intimation under Regulation 30
04-Nov-2025 17:24:22,Copy of Newspaper Publication,Godfrey Phillips India Limited has informed the Exchange about Copy of Newspaper Publication of extract of Unaudited Standalone and Consolidated Financial Results of the Company for the Quarter and Ha
04-Nov-2025 16:22:34,General Updates,Godfrey Phillips India Limited has informed the Exchange about Earnings Presentation for H1 FY25-26.
04-Nov-2025 14:44:20,General Updates,Godfrey Phillips India Limited has informed the Exchange  about Intimation to Shareholders about TDS on Interim Dividend for FY 2025-26
03-Nov-2025 18:09:52,Record Date,Godfrey Phillips India Limited has informed the Exchange that Record date for the purpose of Dividend  is 10-Nov-2025.
03-Nov-2025 18:07:36,Dividend,"Godfrey Phillips India Limited has informed the Exchange that Board of Directors at its meeting held on November 03, 2025, declared Interim Dividend of Rs. 17 per equity share."
03-Nov-2025 18:04:57,Outcome of Board Meeting,"Godfrey Phillips India Limited has submitted to the Exchange, the financial results for the period ended September 30, 2025."
13-Oct-2025 15:02:00,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Godfrey Phillips India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
10-Oct-2025 18:26:59,Updates,Godfrey Phillips India Limited has informed the Exchange regarding 'Intimation under Regulation 30- Occurrence of fire at a third-party tobacco processing plant and warehouse.
25-Sep-2025 14:50:39,Trading Window,"Godfrey Phillips India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Sep-2025 16:46:21,Copy of Newspaper Publication,Godfrey Phillips India Limited has informed the Exchange about Copy of Newspaper Publication regarding Special window for Re-lodgement of Transfer Requests of Physical Shares
17-Sep-2025 09:27:55,Outcome of Board Meeting,Godfrey Phillips India Limited has informed the Exchange regarding Outcome of Board Meeting- Allotment of Bonus Equity Shares.
13-Sep-2025 12:22:48,Copy of Newspaper Publication,Godfrey Phillips India Limited has informed the Exchange about Copy of Newspaper Publication
09-Sep-2025 16:27:52,Copy of Newspaper Publication,Godfrey Phillips India Limited has informed the Exchange about Copy of Newspaper Publication
