date,desc,text
11-Jul-2026 21:26:31,Updates,Go Digit General Insurance Limited has informed the Exchange regarding 'intimation of the date of the 10th Annual General Meeting of the Company'.
10-Jul-2026 18:08:26,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Go Digit General Insurance Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
30-Jun-2026 17:35:27,Credit Rating,Go Digit General Insurance Limited has informed the Exchange about Credit Rating
29-Jun-2026 15:42:02,Disclosure under SEBI Takeover Regulations,Go Digit General Insurance Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeov
26-Jun-2026 15:03:33,Trading Window,"Go Digit General Insurance Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-May-2026 12:50:49,General Updates,Go Digit General Insurance Limited has informed the Exchange about General Updates
14-May-2026 12:28:43,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Schedule of meet
06-May-2026 15:25:11,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Transcript
06-May-2026 13:44:04,Press Release,"Go Digit General Insurance Limited has informed the Exchange regarding a press release dated May 06, 2026, titled ""Transparency report 14.0""."
28-Apr-2026 20:44:04,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Link of Recording
28-Apr-2026 17:33:20,Change in Auditors,Go Digit General Insurance Limited has informed the Exchange regarding Change in Auditors of the company.
28-Apr-2026 17:33:20,Change in Management,Go Digit General Insurance Limited has informed the Exchange about change in Management
28-Apr-2026 17:30:10,Outcome of Board Meeting,"Go Digit General Insurance Limited has informed the Exchange regarding Outcome of Board Meeting held on April 28, 2026."
28-Apr-2026 17:26:00,Investor Presentation,Go Digit General Insurance Limited has informed the Exchange about Investor Presentation
28-Apr-2026 17:26:00,Press Release,"Go Digit General Insurance Limited has informed the Exchange regarding a press release dated April 28, 2026, titled ""Press Release""."
28-Apr-2026 17:17:17,Outcome of Board Meeting,"Go Digit General Insurance Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
23-Apr-2026 18:16:12,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Update on Earnings call intimation dated 14th April 2026 for informing regarding revision in scheduled timing of the call
23-Apr-2026 17:57:48,Scheme of Arrangement,Go Digit General Insurance Limited has informed the Exchange about receipt of Observation Letters from NSE and BSE with No Adverse Observation
21-Apr-2026 12:59:07,Disclosure under SEBI Takeover Regulations,"FAL Corporation has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2"
14-Apr-2026 18:39:26,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Schedule of meet
09-Apr-2026 12:15:26,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Go Digit General Insurance Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
03-Apr-2026 21:25:38,General Updates,Go Digit General Insurance Limited has informed the Exchange about General Updates-ESG Rating
31-Mar-2026 20:33:01,Credit Rating,Go Digit General Insurance Limited has informed the Exchange about Credit Rating
26-Mar-2026 17:46:54,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Go Digit General Insurance Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
25-Mar-2026 19:37:30,Trading Window,"Go Digit General Insurance Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
12-Mar-2026 16:53:34,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Schedule of meet
07-Mar-2026 13:31:46,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Go Digit General Insurance Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
23-Feb-2026 18:13:45,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Schedule of meet
15-Feb-2026 13:40:55,Investor Presentation,Go Digit General Insurance Limited has informed the Exchange about Investor Presentation
06-Feb-2026 22:59:31,General Updates,Go Digit General Insurance Limited has informed the Exchange about GST Search
05-Feb-2026 19:46:40,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Schedule of meet
29-Jan-2026 19:43:34,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Transcript
22-Jan-2026 21:46:15,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Link of Recording
22-Jan-2026 18:03:32,Investor Presentation,Go Digit General Insurance Limited has informed the Exchange about Investor Presentation
22-Jan-2026 18:03:32,Press Release,"Go Digit General Insurance Limited has informed the Exchange regarding a press release dated January 22, 2026, titled ""Press Release""."
22-Jan-2026 17:59:23,Outcome of Board Meeting,"Go Digit General Insurance Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
14-Jan-2026 18:55:14,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Schedule of meet
06-Jan-2026 18:26:24,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Go Digit General Insurance Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
31-Dec-2025 20:42:05,Credit Rating- New,Go Digit General Insurance Limited has informed the Exchange about Credit Rating- New
29-Dec-2025 14:00:08,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Transcript
26-Dec-2025 21:24:16,Trading Window,"Go Digit General Insurance Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Dec-2025 23:37:50,Options to purchase securities,Go Digit General Insurance Limited has informed the Exchange about Options to purchase securities
24-Dec-2025 18:56:40,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Link of Recording
21-Dec-2025 15:38:11,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Schedule of meet
19-Dec-2025 22:37:01,Amalgamation/Merger,Go Digit General Insurance Limited has informed the Exchange about Amalgamation/Merger
19-Dec-2025 22:34:01,Press Release,"Go Digit General Insurance Limited has informed the Exchange regarding a press release dated December 19, 2025, titled ""Go Digit Infoworks Service Private Limited to Amalgamate with Go Digit General I"
19-Dec-2025 22:32:56,Outcome of Board Meeting,"Go Digit General Insurance Limited has informed the Exchange regarding  Board meeting held on December 19, 2025."
02-Dec-2025 18:54:39,Shareholders meeting,"Go Digit General Insurance Limited has informed the Exchange regarding Proceedings of Postal Ballot. Further, the company has submitted the Exchange a copy of Srutinizers report along with voting resu"
06-Nov-2025 18:12:04,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Schedule of meet
03-Nov-2025 20:09:15,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Transcript
03-Nov-2025 20:09:15,Analysts/Institutional Investor Meet/Con. Call Updates,Go Digit General Insurance Limited has informed the Exchange about Schedule of meet
03-Nov-2025 12:15:14,Press Release,"Go Digit General Insurance Limited has informed the Exchange regarding a press release dated November 03, 2025, titled ""Press Release of Transparency Report 13.0""."
31-Oct-2025 18:36:04,Copy of Newspaper Publication,Go Digit General Insurance Limited has informed the Exchange about Copy of Newspaper Publication
30-Oct-2025 22:51:00,Shareholders meeting,Go Digit General Insurance Limited has informed the Exchange regarding Notice of Postal Ballot
