date,desc,text
06-May-2026 19:22:44,Suspension of Trading,"Members of the Exchange are hereby informed that the trading in equity shares of Gujarat State Petronet Limited shall be suspended w.e.f. May 12, 2026 (i.e., closing hours of trading on May 11, 2026) "
02-May-2026 12:48:40,General Updates,Please find enclosed copy of letter sent to the shareholders
01-May-2026 19:00:56,Scheme of Arrangement,Intimation under Regulation 30 - Effective Date of Scheme of Arrangement
29-Apr-2026 18:38:19,Record Date,Gujarat State Petronet Limited has informed the Exchange that Record date for the purpose of Determining the shareholders of GSPL who shall be issued and allotted Equity Shares of GGL  is 12-May-2026.
29-Apr-2026 18:15:22,Outcome of Board Meeting,"Gujarat State Petronet Limited has informed the Exchange regarding Outcome of Board Meeting held on April 29, 2026."
20-Apr-2026 13:28:46,Copy of Newspaper Publication,Gujarat State Petronet Limited has informed the Exchange about Copy of Newspaper Publication.
17-Apr-2026 21:24:56,Scheme of Arrangement,"Gujarat State Petronet Limited has informed the Exchange about Receipt of Final Order today from the Hon'ble Ministry of Corporate Affairs, New Delhi sanctioning the Composite Scheme of Arrangement."
10-Apr-2026 18:51:10,General Updates,"Gujarat State Petronet Limited has informed the Exchange regarding receipt of Rectification order u/s 154 of Income Tax Act, 1961"
09-Apr-2026 15:03:52,Disclosure under SEBI Takeover Regulations,Gujarat State Petroleum Corporation Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares a
06-Apr-2026 18:21:42,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",Gujarat State Petronet Limited has informed the Exchange regarding Certificate received from KFin Technologies Limited (R&TA) confirming compliance of provisions of Regulation 74(5) of SEBI (Depositor
30-Mar-2026 16:34:03,Trading Window,"Gujarat State Petronet Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Mar-2026 18:49:53,General Updates,Gujarat State Petronet Limited has informed the Exchange about disclosure under Regulation 30 of SEBI Listing Regulations regarding receipt of Income Tax Order
23-Mar-2026 12:20:28,Appointment,"Gujarat State Petronet Limited has informed the Exchange regarding Appointment of Shri Saarthak Gautam as General Manager (D&E, Procurement and O&M) of the Company. He will function as Head of Departm"
11-Mar-2026 17:20:19,Updates,Gujarat State Petronet Limited has informed the Exchange regarding 'Board Comments on Fines levied by the Exchanges'.
07-Mar-2026 17:58:09,Trading Window,"Gujarat State Petronet Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
01-Mar-2026 13:19:40,General Updates,Gujarat State Petronet Limited informs the exchange regarding imposition of Fine by BSE & NSE
27-Feb-2026 20:18:34,General Updates,Gujarat State Petronet Limited informs the Exchange regarding imposition of Fine by BSE Limited
27-Feb-2026 20:09:43,Disclosure of material issue,Gujarat State Petronet Limited has informed regarding Disclosure of material issue
21-Feb-2026 18:35:00,Updates,Gujarat State Petronet Limited has informed the Exchange regarding 'ESG Rating by NSE Sustainability Ratings & Analytics Ltd'.
06-Feb-2026 18:40:32,Copy of Newspaper Publication,Please find enclosed Newspaper Advertisement regarding the date of final hearing fixed before MCA in matter of Scheme of Amalgamation and Arrangement
03-Feb-2026 15:00:50,Appointment,"Gujarat State Petronet Limited has informed the Exchange regarding Appointment of Mr Sandeep Kumar, IAS as Non- Executive Director of the company w.e.f. January 28, 2026."
23-Jan-2026 19:10:03,General Updates,Gujarat State Petronet Limited has informed the Exchange about submission of revised Composite Scheme of Amalgamation and Arrangement pursuant to directions issued by Hon'ble Ministry of Corporate Aff
23-Jan-2026 16:40:26,Copy of Newspaper Publication,"Gujarat State Petronet Limited has informed the Exchange about Copy of Newspaper Publication regarding Un-audited Financial Results for the Quarter and Nine months ended on 31st December, 2025"
22-Jan-2026 18:39:02,Updates,Gujarat State Petronet Limited has informed the Exchange regarding 'Presentation on Performance Highlights  for the Quarter and Nine months ended on 31.12.2025'.
22-Jan-2026 18:07:20,Outcome of Board Meeting,"Gujarat State Petronet Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
12-Jan-2026 11:58:49,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Gujarat State Petronet Limited has informed the Exchange about Certificate  received from KFin Technologies Limited, our R&TA confirming compliances of Regulation 74(5) of SEBI (Depositories and Parti"
03-Jan-2026 11:37:14,Appointment,"Gujarat State Petronet Limited has informed the Exchange regarding Appointment of Smt. Avantika Singh Aulakh, IAS as Joint Managing Director of the company w.e.f. December 24, 2025."
29-Dec-2025 15:32:56,Change in Director(s),Gujarat State Petronet Limited has informed the Exchange regarding Change in Director(s) of the company.
25-Dec-2025 12:21:11,Resignation,"Gujarat State Petronet Limited has informed the Exchange regarding Resignation of Mr Milind Torawane, IAS as Executive Director of the company w.e.f. December 24, 2025."
22-Dec-2025 15:13:32,Trading Window,"Gujarat State Petronet Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
09-Dec-2025 16:52:14,Updates,"In furtherance to our letter dated 5th December, 2025 regarding Credit Rating received from CARE Ratings Limited on Bank Facilities, we hereby inform you that CARE Ratings Limited has issued a Press R"
05-Dec-2025 18:11:23,Credit Rating,Gujarat State Petronet Limited has informed the Exchange about Credit Rating
03-Dec-2025 15:04:34,Spurt in Volume,"Significant increase in volume has been observed in Gujarat State Petronet Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
02-Dec-2025 18:15:39,Spurt in Volume,"Significant increase in volume has been observed in Gujarat State Petronet Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the"
02-Dec-2025 18:08:50,Change in Management,Gujarat State Petronet Limited informs the Exchange about appointment of Shri Lokesh Agarwal as  Chief Financial Officer (CFO) and Key Managerial Personnel (KMP) of the Company and Cessation of Shri A
12-Nov-2025 16:03:20,Appointment,"Gujarat State Petronet Limited informs the Exchange regarding clarification, as required via exchange's email dated 11th November, 2025, w.r.t. the Appointment of Shri Manoj Kumar Das, IAS as Chairman"
12-Nov-2025 15:33:37,Copy of Newspaper Publication,Gujarat State Petronet Limited informs the Exchange about Copy of Newspaper Publication regarding Un-audited Financial results for the Quarter and Half year ended on 30th September 2025.
11-Nov-2025 19:15:20,Updates,Gujarat State Petronet Limited has informed the Exchange regarding 'Performance Highlights of GSPL based on the Un-Audited Financial Results (Standalone & Consolidated) for the Quarter and Half Year e
11-Nov-2025 18:51:10,General Updates,"Gujarat State Petronet Limited has informed the Exchange about the investments in its Joint Venture Company, GIGL"
11-Nov-2025 18:14:21,Outcome of Board Meeting,"Gujarat State Petronet Limited has submitted to the Exchange, the financial results for the Quarter and Half Year ended September 30, 2025."
07-Nov-2025 16:52:15,Copy of Newspaper Publication,"Gujarat State Petronet Limited has informed the Exchange about Copy of Newspapers Publication regarding 100 days campaign named ""Saksham Niveshak"" by Investor Education and Protection Fund Authority, "
06-Nov-2025 15:42:54,Copy of Newspaper Publication,"GSPL: Gujarat State Petronet Limited has informed the Exchange about Copy of Newspaper Publication regarding 100 days campaign named ""Saksham Niveshak"" by Investor Education and Protection Fund Author"
03-Nov-2025 17:33:52,Change in Director(s),Gujarat State Petronet Limited has informed the Exchange regarding Change in Director(s) of the company.
03-Nov-2025 17:27:24,Appointment,"Gujarat State Petronet Limited has informed the Exchange regarding Appointment of Shri Manoj Kumar Das, IAS as Chairman & Managing Director of the company w.e.f. November 01, 2025."
01-Nov-2025 17:31:04,Resignation,"Gujarat State Petronet Limited has informed the Exchange regarding Resignation of Mr Pankaj Joshi, IAS as Chairman & Managing Director of the company w.e.f. October 31, 2025."
01-Nov-2025 17:09:14,Change in Director(s),Gujarat State Petronet Limited has informed the Exchange regarding Change in Director(s) of the company.
22-Oct-2025 18:36:20,Change in Director(s),Gujarat State Petronet Limited has informed the Exchange regarding Change in Director(s) of the company.
18-Oct-2025 19:13:48,Shareholders meeting,"Gujarat State Petronet Limited has submitted the Exchange a copy Scrutinizer's report of   Shareholders Meeting held on October 17, 2025. Further, the company has informed the Exchange regarding votin"
18-Oct-2025 17:53:51,Cessation,Gujarat State Petronet Limited has informed the Exchange regarding Cessation of Dr. Sudhir Kumar Jain and Shri Bhadresh Mehta as Non- Executive Independent Directors of the company w.e.f. the close of
17-Oct-2025 20:15:32,Shareholders meeting,"Gujarat State Petronet Limited has informed the Exchange regarding Proceedings of Meeting of Equity Shareholders as per the order of Hon'ble MCA held on October 17, 2025"
17-Oct-2025 19:37:25,Appointment,"Gujarat State Petronet Limited has informed the Exchange regarding Appointment of Mr Jayant Misra, IRS (Retd.) as Non- Executive Independent Director of the company w.e.f. October 22, 2025."
16-Oct-2025 15:36:36,Resignation of Independent director,GUJARAT STATE PETRONET LIMITED has informed the Exchange about Resignation of Independent director.
