date,desc,text
01-Jul-2026 14:16:47,Change in Management,Hindustan Aeronautics Limited has informed the Exchange about change in Management
29-Jun-2026 12:54:19,Change in Auditors,Hindustan Aeronautics Limited has informed the Exchange regarding Change in Auditors of the company.
29-Jun-2026 12:44:12,Record Date,Hindustan Aeronautics Limited has informed the Exchange that Record date for the purpose of Dividend  is 14-Aug-2026.
29-Jun-2026 12:42:48,Dividend,"Hindustan Aeronautics Limited has informed the Exchange that Board of Directors at its meeting held on Jun 29, 2026, recommended Final Dividend of Rs. 10 per equity share."
26-Jun-2026 12:05:29,Change in Management,Hindustan Aeronautics Limited has informed the Exchange about change in Management
05-Jun-2026 12:14:15,Disclosure under SEBI Takeover Regulations,Hindustan Aeronautics Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) 
27-May-2026 10:58:35,Change in Management,Hindustan Aeronautics Limited has informed the Exchange about change in Management
22-May-2026 11:23:29,Analysts/Institutional Investor Meet/Con. Call Updates,Hindustan Aeronautics Limited has informed the Exchange about Transcript
15-May-2026 17:50:08,Analysts/Institutional Investor Meet/Con. Call Updates,Hindustan Aeronautics Limited has informed the Exchange about Link of Recording https://hal-india.co.in/investors/analyst-investors-meet
14-May-2026 12:45:14,Outcome of Board Meeting,"Hindustan Aeronautics Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
11-May-2026 16:47:06,General Updates,Hindustan Aeronautics Limited has informed the Exchange about General Updates
11-May-2026 14:29:11,Analysts/Institutional Investor Meet/Con. Call Updates,Hindustan Aeronautics Limited has informed the Exchange about Schedule of meet
01-May-2026 13:04:54,General Updates,Hindustan Aeronautics Limited has informed the Exchange about General Updates
01-May-2026 12:54:48,Change in Director(s),Hindustan Aeronautics Limited has informed the Exchange regarding Change in Director(s) of the company.
01-May-2026 09:09:18,Change in Director(s),Hindustan Aeronautics Limited has informed the Exchange regarding Change in Director(s) of the company.
28-Apr-2026 17:09:34,Updates,Hindustan Aeronautics Limited has informed the Exchange regarding 'Revised Policy'.
06-Apr-2026 10:53:24,Resignation of Independent director,HINDUSTAN AERONAUTICS LIMITED has informed the Exchange about Resignation of Independent director.
06-Apr-2026 10:45:42,Resignation,"Hindustan Aeronautics Limited has informed the Exchange regarding Resignation of Mr (Dr.) S D Premkumar as Independent Director of the company w.e.f. April 05, 2026."
01-Apr-2026 09:52:59,Change in Management,Hindustan Aeronautics Limited has informed the Exchange about change in Management
