date,desc,text
09-Jul-2026 16:56:05,Press Release,"Havells India Limited has informed the Exchange regarding a press release dated July 09, 2026, titled ""Havells Enters Battery Energy Storage Segment Through Strategic Collaboration with Pixii AS""."
01-Jul-2026 17:14:44,Credit Rating,Havells India Limited has informed the Exchange about Credit Rating
25-Jun-2026 16:33:47,Trading Window,"Havells India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2026 20:27:08,Shareholders meeting,"Havells India Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on Jun 19, 2026. Further, the company has submitted the Exchange a copy of Srutinizers report along"
19-Jun-2026 17:57:10,Appointment,"Havells India Limited has informed the Exchange regarding Appointment of  Mr Ashish Dhawan as Non- Executive Independent Director of the company w.e.f. Jun 19, 2026."
19-Jun-2026 17:57:10,Cessation,"Havells India Limited has informed the Exchange regarding Cessation of  Mr Jalaj Ashwin Dani as Non- Executive Independent Director of the company w.e.f. Jun 19, 2026."
19-Jun-2026 17:57:10,Cessation,"Havells India Limited has informed the Exchange regarding Cessation of  Mr Upendra Kumar Sinha as Non- Executive Independent Director of the company w.e.f. Jun 19, 2026."
19-Jun-2026 17:57:10,Appointment,"Havells India Limited has informed the Exchange regarding Appointment of  Ms Shanti Ekambaram as Non- Executive Independent Director of the company w.e.f. Jun 19, 2026."
11-Jun-2026 17:54:18,Analysts/Institutional Investor Meet/Con. Call Updates,Havells India Limited has informed the Exchange about Schedule of meet
10-Jun-2026 13:13:31,General Updates,Havells India Limited has informed the Exchange about General Updates
02-Jun-2026 16:28:51,General Updates,Havells India Limited has informed the Exchange about General Updates
30-May-2026 12:33:21,Copy of Newspaper Publication,Havells India Limited has informed the Exchange about Copy of Newspaper Publication
29-May-2026 21:36:17,Retirement,Havells India Limited has informed the Exchange about Retirement
28-May-2026 13:21:30,Copy of Newspaper Publication,Havells India Limited has informed the Exchange about Copy of Newspaper Publication
26-May-2026 16:59:21,Analysts/Institutional Investor Meet/Con. Call Updates,Havells India Limited has informed the Exchange about Schedule of meet
26-May-2026 16:59:21,Analysts/Institutional Investor Meet/Con. Call Updates,Havells India Limited has informed the Exchange about Schedule of meet
26-May-2026 16:59:21,Analysts/Institutional Investor Meet/Con. Call Updates,Havells India Limited has informed the Exchange about Schedule of meet
26-May-2026 16:59:21,Analysts/Institutional Investor Meet/Con. Call Updates,Havells India Limited has informed the Exchange about Schedule of meet
22-May-2026 16:30:43,General Updates,Havells India Limited has informed the Exchange about General Updates
22-May-2026 16:28:57,Options to purchase securities,Havells India Limited has informed the Exchange about Options to purchase securities
22-May-2026 11:08:58,Copy of Newspaper Publication,Havells India Limited has informed the Exchange about Copy of Newspaper Publication
13-May-2026 12:50:59,Copy of Newspaper Publication,Havells India Limited has informed the Exchange about Copy of Newspaper Publication
29-Apr-2026 18:08:55,Record Date,Havells India Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is 24-May-2026.
26-Apr-2026 20:37:31,Analysts/Institutional Investor Meet/Con. Call Updates,Havells India Limited has informed the Exchange about Transcript
23-Apr-2026 19:38:23,Options to purchase securities,Havells India Limited has informed the Exchange about Options to purchase securities
23-Apr-2026 19:30:15,Copy of Newspaper Publication,Havells India Limited has informed the Exchange about Copy of Newspaper Publication
22-Apr-2026 21:29:38,Analysts/Institutional Investor Meet/Con. Call Updates,Havells India Limited has informed the Exchange about Link of Recording
22-Apr-2026 21:03:03,Appointment,"Havells India Limited has informed the Exchange regarding Appointment of  Shri Varun Berry as Non- Executive Independent Director of the company w.e.f. April 22, 2026."
22-Apr-2026 19:08:50,Resignation of Director/KMP/SMP,Havells India Limited has informed the Exchange about Resignation of Director/KMP/SMP
22-Apr-2026 19:04:10,Resignation,"Havells India Limited has informed the Exchange regarding Resignation of  Shri Vivek Mehra as Non- Executive Independent Director of the company w.e.f. April 22, 2026."
22-Apr-2026 14:53:53,Investor Presentation,Havells India Limited has informed the Exchange about Investor Presentation
