date,desc,text
01-Jul-2026 16:49:29,Outcome of Board Meeting,"HBL Engineering Limited has informed the Exchange regarding Outcome of Board Meeting held on July 01, 2026."
19-Jun-2026 19:02:16,Disclosure under SEBI Takeover Regulations,HBL Engineering Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regula
28-May-2026 18:31:15,Bagging/Receiving of orders/contracts,HBL Engineering Limited has informed the Exchange about Bagging/Receiving of orders/contracts
28-May-2026 11:17:53,Statement of deviation(s) or variation(s) under Reg. 32,HBL Engineering Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32
24-May-2026 11:47:46,General Updates,"HBL Engineering Limited has informed the shareholders on interpretation of results published on May 23, 2026."
23-May-2026 16:52:39,Outcome of Board Meeting,"The Board of Directors in its meeting held on May 23, 2026 have approved the audited financial results for the year ending March 31, 2026"
09-Apr-2026 10:17:06,Awarding of order(s)/contract(s),"HBL Engineering Limited has informed the Exchange about acceptance of an order worth Rs.83.81 Crores (Inclusive of 18% GST) from Patiala Loco Works (PLW), Punjab for Supply, testing and commissioning "
09-Apr-2026 08:51:33,Awarding of order(s)/contract(s),"HBL Engineering Limited has informed the Exchange about acceptance of an order worth Rs.83.81 (Inclusive of 18% GST) from Patiala Loco Works (PLW), Punjab for Supply, testing and commissioning of On-b"
25-Mar-2026 16:19:31,"Arrangements for strategic, technical, manufacturing, or marketing tie up",HBL Engineering Limited has informed the Exchange about execution of the JV agreement with Cochin Shipyard Limited.
18-Mar-2026 17:58:19,Analysts/Institutional Investor Meet/Con. Call Updates,HBL Engineering Limited has informed the Exchange about Post meeting
14-Mar-2026 16:52:34,Analysts/Institutional Investor Meet/Con. Call Updates,HBL Engineering Limited has informed the Exchange about a one to one meeting organised by third party with the SBI Mutual Fund Manager.
18-Feb-2026 10:24:50,Credit Rating- Revision,HBL Engineering Limited has informed the Exchange about Credit Rating- Revision
11-Feb-2026 09:07:26,Awarding of order(s)/contract(s),"HBL Engineering Limited has informed the Exchange about Awarding of order(s)/contract(s) from from Banaras Locomotive Works (BLW) has issued Letter of Acceptance to HBL for Supply, testing and commiss"
07-Feb-2026 18:10:41,Record Date,HBL Engineering Limited has informed the Exchange that Record date for the purpose of Interim Dividend is 13-Feb-2026.
07-Feb-2026 18:08:48,Outcome of Board Meeting,"HBL Engineering Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025 and declared an interim dividend of 200% on the equity share capital."
