date,desc,text
10-Jul-2026 16:54:51,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Home First Finance Company India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended June 30, 2026"
02-Jul-2026 15:45:20,General Updates,Home First Finance Company India Limited has informed the Exchange about ESG Rating by CRISIL ESG Ratings & Analytics Limited
02-Jul-2026 15:42:47,General Updates,"Home First Finance Company India Limited has informed the Exchange about Grant of 3,10,000 Stock Options under the Home First Finance Company India Limited Employee Stock Option Scheme 2021"
01-Jul-2026 11:24:25,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Outcome of the Investor Meet
30-Jun-2026 16:45:48,Trading Window,"Home First Finance Company India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Jun-2026 18:17:11,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Outcome of the Investor Meet
25-Jun-2026 17:57:28,Resignation of Director/KMP/SMP,Home First Finance Company India Limited has informed the Exchange about Resignation of Director/KMP/SMP
25-Jun-2026 16:43:05,Resignation,"Home First Finance Company India Limited has informed the Exchange regarding Resignation of Ms Nutan Gaba Patwari as Chief Financial Officer of the company w.e.f. close of business hours on August 31,"
25-Jun-2026 11:50:14,Shareholders meeting,"Home First Finance Company India Limited has submitted the Exchange a copy Srutinizers report of Annual General Meeting held on Jun 24, 2026. Further, the company has informed the Exchange regarding v"
25-Jun-2026 11:40:01,Change in Director(s),Home First Finance Company India Limited has informed the Exchange regarding Change in Director(s) of the company.
25-Jun-2026 11:38:16,Change in Auditors,Home First Finance Company India Limited has informed the Exchange regarding Change in Auditors of the company.
25-Jun-2026 11:30:13,Shareholders meeting,"Home First Finance Company India Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on Jun 24, 2026. Further, the company has informed the Exchange regarding "
24-Jun-2026 22:31:07,Shareholders meeting,"Home First Finance Company India Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on Jun 24, 2026"
24-Jun-2026 22:27:33,Updates,Home First Finance Company India Limited has informed the Exchange regarding 'Presentation by the Managing Director and CEO at the 17th Annual General Meeting of the Members of Home First Finance Comp
20-Jun-2026 13:11:11,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
20-Jun-2026 13:10:24,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Outcome of the Investor Meet
20-Jun-2026 13:09:10,General Updates,Home First Finance Company India Limited has informed the Exchange about the ESG Score assigned by ESG Risk Assessments and Insights Limited.
17-Jun-2026 07:35:04,General Updates,Home First Finance Company India Limited has informed the Exchange about  allotment of Equity shares against exercise of vested Employee Stock Options under ESOP Schemes of the Company.
16-Jun-2026 18:34:04,Disclosure under SEBI Takeover Regulations,True North Fund V LLP has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulati
16-Jun-2026 18:08:39,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Outcome of the Investor Meet
13-Jun-2026 16:23:06,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Outcome of the Investor Meet
10-Jun-2026 15:55:41,Disclosure under SEBI Takeover Regulations,Aether (Mauritius) Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Reg
01-Jun-2026 22:43:25,General Updates,"Home First Finance Company India Limited has informed the Exchange about letter sent to the members providing weblink of the Integrated Annual Report for FY26 and the Notice convening the 17th AGM, to"
01-Jun-2026 22:41:42,General Updates,Home First Finance Company India Limited has informed the Exchange about Communication to Shareholders regarding  Intimation of Tax Deduction on Dividend
31-May-2026 17:44:54,Copy of Newspaper Publication,Home First Finance Company India Limited has informed the Exchange about Copy of Newspaper advertisement published in English newspaper- Mint having Nation-wide circulation and Regional (Marathi) news
29-May-2026 19:00:59,Updates,Home First Finance Company India Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Reporting (BRSR) for FY26'.
29-May-2026 18:54:17,Shareholders meeting,"Home First Finance Company India Limited has informed the Exchange regarding Notice of the 17th Annual General Meeting  scheduled to be held on Jun 24, 2026"
29-May-2026 17:37:00,Copy of Newspaper Publication,Home First Finance Company India Limited has informed the Exchange about Newspaper Advertisement for Intimation of 17th Annual General Meeting of the Company
28-May-2026 19:35:53,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
22-May-2026 17:06:33,General Updates,Home First Finance Company India Limited has informed the Exchange about Record Date and Date of payment of Final Dividend for FY26
22-May-2026 17:02:05,Record Date,Home First Finance Company India Limited has informed the Exchange that Record date for the purpose of Dividend  is 29-May-2026.
22-May-2026 17:00:20,Updates,Home First Finance Company India Limited has informed the Exchange regarding 'Applicability of Disclosure to be made by entities identified a Large Corporate pursuant to SEBI Circular no. SEBI/HO/DDHS
15-May-2026 12:56:17,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
12-May-2026 21:46:57,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Transcript
10-May-2026 11:14:45,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
07-May-2026 20:30:31,Copy of Newspaper Publication,Home First Finance Company India Limited has informed the Exchange about Copy of Newspaper Publication
07-May-2026 20:27:23,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Link of Recording
06-May-2026 18:53:36,Change in Director(s),Home First Finance Company India Limited has informed the Exchange regarding Change in Director(s) of the company.
06-May-2026 18:50:18,Change in Auditors,Home First Finance Company India Limited has informed the Exchange regarding Change in Auditors of the company.
06-May-2026 18:47:53,Dividend,"Home First Finance Company India Limited has informed the Exchange that Board of Directors at its meeting held on May 06, 2026, recommended Final Dividend of Rs. 5.20 per equity share."
06-May-2026 18:08:54,Press Release,"Home First Finance Company India Limited has informed the Exchange regarding a press release dated May 06, 2026, titled ""Investor Press Release on the Financial and Operational Performance of the Comp"
06-May-2026 18:07:48,Investor Presentation,Home First Finance Company India Limited has informed the Exchange about Investor Presentation
06-May-2026 17:41:04,Outcome of Board Meeting,"Home First Finance Company India Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
04-May-2026 21:30:12,General Updates,Home First Finance Company India Limited has informed the Exchange about allotment of Equity shares against exercise of vested Employee Stock Options under ESOP Schemes of the Company
30-Apr-2026 16:47:35,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
08-Apr-2026 16:31:07,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Home First Finance Company India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Apr-2026 17:57:44,General Updates,Home First Finance Company India Limited has informed the Exchange about ESG score by NSE Sustainability Ratings and Analytics Limited
03-Apr-2026 00:53:24,General Updates,"Home First Finance Company India Limited has informed the Exchange about Grant of 8,60,000 Stock Options under the Home First Finance Company India Limited - Employee Stock Option Scheme 2024"
31-Mar-2026 17:45:13,Trading Window,"Home First Finance Company India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Mar-2026 18:21:23,General Updates,Home First Finance Company India Limited has informed the Exchange about allotment of Equity shares against exercise of vested Employee Stock Options under ESOPSchemes of the Company
10-Mar-2026 15:05:20,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
26-Feb-2026 13:39:23,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
19-Feb-2026 16:58:25,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
19-Feb-2026 10:06:21,General Updates,Home First Finance Company India Limited has informed the Exchange about Intimation of allotment of Equity shares against exercise of vested Employee Stock Options under ESOP Schemes of the Company.
11-Feb-2026 11:18:50,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
06-Feb-2026 11:40:22,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
30-Jan-2026 22:56:27,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Transcript
23-Jan-2026 19:30:01,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Link of Recording
23-Jan-2026 19:29:11,Copy of Newspaper Publication,Home First Finance Company India Limited has informed the Exchange about Copy of Newspaper Publication
23-Jan-2026 19:28:18,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
22-Jan-2026 17:38:20,Press Release (Revised),"Home First Finance Company India Limited has informed the Exchange regarding a revised press release dated January 22, 2026, titled ""Revision in Investor Press Release on the Financial and Operational"
22-Jan-2026 16:50:51,Change in Management,Home First Finance Company India Limited has informed the Exchange about Reappointment of Ms. Kavita Semwal as Chief Compliance Officer of the Company
22-Jan-2026 16:44:50,Press Release,"Home First Finance Company India Limited has informed the Exchange regarding a press release dated January 22, 2026, titled ""Investor Press Release on the Financial and Operational Performance of the "
22-Jan-2026 16:39:46,Investor Presentation,Home First Finance Company India Limited has informed the Exchange about Investor Presentation
22-Jan-2026 16:37:23,Outcome of Board Meeting,"Home First Finance Company India Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
22-Jan-2026 08:59:00,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
20-Jan-2026 18:06:58,General Updates,Home First Finance Company India Limited has informed the Exchange about allotment of Equity shares against exercise of vested Employee Stock Options under ESOP Schemes of the Company
16-Jan-2026 12:09:49,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
07-Jan-2026 19:47:47,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Home First Finance Company India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Jan-2026 20:15:56,General Updates,Home First Finance Company India Limited has informed the Exchange about ESG score by ESG Risk Assessments & Insights Limited ( ESG Risk AI )
31-Dec-2025 16:50:57,Trading Window,"Home First Finance Company India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
18-Dec-2025 13:13:08,General Updates,Home First Finance Company India Limited has informed the Exchange about allotment of Equity shares against exercise of vested Employee Stock Options under ESOP Schemes of the Company.
17-Dec-2025 20:31:44,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
15-Dec-2025 19:18:56,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
09-Dec-2025 18:21:11,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
04-Dec-2025 12:25:09,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
01-Dec-2025 17:30:48,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
25-Nov-2025 23:53:39,Updates,Home First Finance Company India Limited has informed the Exchange regarding 'allotment of Equity shares against exercise of vested Employee Stock Options under ESOP Schemes of the Company'.
21-Nov-2025 17:36:22,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
20-Nov-2025 16:02:25,General Updates,Home First Finance Company India Limited has informed the Exchange about CSA score assigned by S&P Global
14-Nov-2025 20:48:15,Resignation,"Home First Finance Company India Limited has informed the Exchange regarding Resignation of Ms Vilasini Subramaniam as Head Strategic Alliances of the company w.e.f. November 14, 2025."
11-Nov-2025 19:24:20,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Schedule of meet
08-Nov-2025 15:11:46,Analysts/Institutional Investor Meet/Con. Call Updates,Home First Finance Company India Limited has informed the Exchange about Transcript
