date,desc,text
11-Jul-2026 22:55:44,Updates,Housing & Urban Development Corporation Limited has informed the Exchange regarding 'MoU between HUDCO and the Government of Odisha'.
10-Jul-2026 17:06:16,Updates,Housing & Urban Development Corporation Limited has informed the Exchange regarding 'Board comments on fine levied by the Exchanges for the quarter ended 31.03.2026'.
09-Jul-2026 11:03:42,Disclosure under SEBI Takeover Regulations,Housing & Urban Development Corporation Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shar
03-Jul-2026 15:49:44,Updates,Housing & Urban Development Corporation Limited has informed the Exchange regarding 'MoU between HUDCO and the Government of Bihar'.
30-Jun-2026 19:37:24,Updates,"Housing & Urban Development Corporation Limited has informed the Exchange regarding ''Business Performance for the Quarter Ended 30th June, 2026""."
29-Jun-2026 15:09:27,Copy of Newspaper Publication,Housing & Urban Development Corporation Limited has informed the Exchange about Copy of Newspaper Publication regarding Special Window for Transfer and Dematerialisation Requests of Physical Securitie
22-Jun-2026 17:01:44,Trading Window,"Housing & Urban Development Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Jun-2026 22:06:44,General Updates,Housing & Urban Development Corporation Limited has informed the Exchange about General Updates- MOU between HUDCO and the Government of Gujarat
08-Jun-2026 16:44:47,Registrar & Share Transfer Agent Update,Housing & Urban Development Corporation Limited has informed the Exchange about Registrar & Share Transfer Agent Update
29-May-2026 18:36:08,Credit Rating- New,Housing & Urban Development Corporation Limited has informed the Exchange about Credit Rating- By CARE Ratings
15-May-2026 18:13:04,General Updates,Housing & Urban Development Corporation Limited has informed the Exchange about General Updates- Investor Presentation updated
15-May-2026 15:58:00,Copy of Newspaper Publication,Housing & Urban Development Corporation Limited has informed the Exchange about Copy of Newspaper Publication regarding Financial Results
15-May-2026 11:09:31,Change in Director(s),Housing & Urban Development Corporation Limited has informed the Exchange regarding Change in Director(s) of the company.
14-May-2026 17:09:20,General Updates,Housing & Urban Development Corporation Limited has informed the Exchange about Investor Presentation on financial results for quarter and year ended on 31.03.2026.
14-May-2026 16:57:28,General Updates,Housing & Urban Development Corporation Limited has informed the Exchange about Updates on Financial Results
14-May-2026 16:35:12,General Updates,"Housing & Urban Development Corporation Limited has informed the Exchange that Board at its meeting held on 14.05.2026, recommended final dividend of Rs. 1.50/- per equity share for FY 2025-26."
14-May-2026 15:26:31,Outcome of Board Meeting,"Housing & Urban Development Corporation Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
13-May-2026 17:57:12,Credit Rating,Housing & Urban Development Corporation Limited has informed the Exchange about Credit Rating
30-Apr-2026 18:31:37,Updates,Housing & Urban Development Corporation Limited has informed the Exchange regarding 'Initial Disclosure to be made by an entity identified as Large Corporate'.
28-Apr-2026 17:48:53,Copy of Newspaper Publication,Housing & Urban Development Corporation Limited has informed the Exchange about Copy of Newspaper Publication-Opening of special window for transfer anddematerialisation requests of physical securitie
22-Apr-2026 18:49:52,Disclosure under SEBI Takeover Regulations,Housing & Urban Development Corporation Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shar
16-Apr-2026 17:38:53,Credit Rating- New,Housing & Urban Development Corporation Limited has informed the Exchange about Credit Rating- New
11-Apr-2026 22:06:01,Updates,Housing & Urban Development Corporation Limited has informed the Exchange regarding 'MoUs between HUDCO and NBCC'.
10-Apr-2026 16:15:58,Updates,Housing & Urban Development Corporation Limited has informed the Exchange regarding 'Board comments on fine levied by the Exchanges'.
08-Apr-2026 14:51:06,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Housing & Urban Development Corporation Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
07-Apr-2026 10:59:21,Change in Director(s),Housing & Urban Development Corporation Limited has informed the Exchange regarding Change in Director(s) of the company.
31-Mar-2026 20:39:16,Updates,"Housing & Urban Development Corporation Limited has informed the Exchange regarding 'Business Performance for the Financial Year ended 31st March, 2026'."
23-Mar-2026 14:37:31,Record Date,Housing & Urban Development Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  is 28-Mar-2026.
23-Mar-2026 14:34:30,Dividend,"Housing & Urban Development Corporation Limited has informed the Exchange that Board of Directors at its meeting held on March 23, 2026, declared Interim Dividend of Rs. 1.25 per equity share."
12-Mar-2026 16:12:41,General Updates,Housing & Urban Development Corporation Limited has informed the Exchange about General Updates- ESG RATING
28-Feb-2026 14:16:25,Copy of Newspaper Publication,Housing & Urban Development Corporation Limited has informed the Exchange about Copy of Newspaper Publication- Intimation regarding opening of special window
20-Feb-2026 10:39:13,Reply to Clarification- Financial results,The Exchange had sought clarification from Housing & Urban Development Corporation Limited for the quarter ended 31-Dec-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosu
18-Feb-2026 18:52:50,General Updates,Housing & Urban Development Corporation Limited has informed the Exchange about General Updates
17-Feb-2026 18:10:32,Updates,Housing & Urban Development Corporation Limited has informed the Exchange regarding 'Intimation of extension of tenure of  Chief Risk Officer'.
16-Feb-2026 21:48:14,Reply to Clarification- Financial results,The Exchange had sought clarification from Housing & Urban Development Corporation Limited for the quarter ended 30-Sep-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosu
13-Feb-2026 13:50:01,Committee Meeting Updates,"Housing & Urban Development Corporation Limited has informed the Exchange regarding Outcome of Committee Meeting held on February 13, 2026."
12-Feb-2026 22:56:40,Credit Rating,Housing & Urban Development Corporation Limited has informed the Exchange about Credit Rating
10-Feb-2026 18:09:38,Clarification - Financial Results,The Exchange has sought clarification from Housing & Urban Development Corporation Limited for the quarter ended 31-Dec-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosu
08-Feb-2026 20:59:24,Credit Rating,Housing & Urban Development Corporation Limited has informed the Exchange about Credit Rating
06-Feb-2026 18:38:04,Analysts/Institutional Investor Meet/Con. Call Updates,Housing & Urban Development Corporation Limited has informed the Exchange about Transcript
04-Feb-2026 18:14:56,Analysts/Institutional Investor Meet/Con. Call Updates,Housing & Urban Development Corporation Limited has informed the Exchange about Link of Recording
31-Jan-2026 20:25:51,Analysts/Institutional Investor Meet/Con. Call Updates,Housing & Urban Development Corporation Limited has informed the Exchange about Schedule of meet
