date,desc,text
07-Jul-2026 17:23:55,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","IFCI Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018, for the quarter ended June 30, 2026."
29-Jun-2026 17:20:45,Trading Window,"IFCI Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Jun-2026 10:59:22,Price movement,"Significant movement in price has been observed in IFCI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
16-Jun-2026 18:31:44,Price movement,"Significant movement in price has been observed in IFCI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
15-Jun-2026 16:54:39,Copy of Newspaper Publication,IFCI Limited has informed the Exchange about Copy of Newspaper Publication - Special Window for transfer and dematerialization of physical securities and KYC Update Request
05-Jun-2026 18:31:14,Disclosure under SEBI Takeover Regulations,"S. K. Singh, Under Secretary to the Govt. of India, Ministry Of Finance, Department of Financial Services has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities an"
10-May-2026 11:07:15,Cessation,"IFCI Limited has informed the Exchange regarding Cessation of  Shri Umesh Kumar Garg as Non- Executive Independent Director of the company w.e.f. May 10, 2026."
28-Apr-2026 13:26:21,Outcome of Board Meeting,"IFCI Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
16-Apr-2026 15:52:33,Copy of Newspaper Publication,IFCI Limited has informed the Exchange about Copy of Newspaper Publication - Special Window for transfer and dematerialization of physical securities
06-Apr-2026 16:34:49,Appointment,"IFCI Limited has informed the Exchange regarding Appointment of Shri Manikumar Sivaramakrishnan as Deputy Managing Director (DMD) of the company w.e.f. April 06, 2026."
02-Apr-2026 16:20:19,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","IFCI Limited has informed the Exchange about Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
30-Mar-2026 15:42:19,Trading Window,"IFCI Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
29-Mar-2026 14:17:23,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,IFCI Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
16-Mar-2026 12:48:05,Spurt in Volume,"Significant increase in volume has been observed in IFCI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so t"
13-Mar-2026 18:24:06,Spurt in Volume,"Significant increase in volume has been observed in IFCI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so t"
28-Feb-2026 19:40:22,Registrar & Share Transfer Agent Update,IFCI Limited has informed the Exchange about Registrar & Share Transfer Agent Update
28-Feb-2026 19:30:07,Change in Management,IFCI Limited has informed the Exchange about change in Management - Re-appointment of Chief Risk Officer (CRO) of the Company
16-Feb-2026 17:47:11,Copy of Newspaper Publication,IFCI Limited has informed the Exchange about Copy of Newspaper Publication
29-Jan-2026 17:06:51,Outcome of Board Meeting,"IFCI Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
21-Jan-2026 15:52:11,Price movement,"Significant movement in price has been observed in IFCI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
20-Jan-2026 17:54:51,Price movement,"Significant movement in price has been observed in IFCI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
13-Jan-2026 14:53:04,Spurt in Volume,"Significant increase in volume has been observed in IFCI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so t"
12-Jan-2026 18:26:39,Spurt in Volume,"Significant increase in volume has been observed in IFCI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so t"
08-Jan-2026 17:47:31,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","IFCI Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 - Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
06-Jan-2026 18:43:28,Action(s) initiated or orders passed,"IFCI Limited has informed the Exchange about Action(s) initiated or orders passed - the Company has received an order under Section 154 of the Income-Tax Act, 1961."
