date,desc,text
07-Jul-2026 16:47:06,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","International Gemological Institute Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
30-Jun-2026 12:54:11,Disclosure under SEBI Takeover Regulations,"Lixian Wang has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
23-Jun-2026 17:11:06,Trading Window,"International Gemological Institute Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Jun-2026 10:57:05,General Updates,International Gemological Institute Limited has informed the Exchange about General Updates
23-Jun-2026 10:50:51,Change in Company Secretary/Compliance Officer,International Gemological Institute Limited has informed the Exchange about Change in Company Secretary/Compliance Officer
23-Jun-2026 10:48:10,Outcome of Board Meeting,"International Gemological Institute Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 23, 2026."
15-Jun-2026 18:26:17,Resignation of Director/KMP/SMP,International Gemological Institute Limited has informed the Exchange about Resignation of Director/KMP/SMP
15-Jun-2026 18:19:39,Resignation,"International Gemological Institute Limited has informed the Exchange regarding Resignation of Mr Hardik Desai as Company Secretary & Compliance Officer of the company w.e.f. Jun 30, 2026."
12-Jun-2026 17:07:17,Analysts/Institutional Investor Meet/Con. Call Updates,International Gemological Institute Limited has informed the Exchange about Schedule of meet
03-Jun-2026 17:32:04,Analysts/Institutional Investor Meet/Con. Call Updates,International Gemological Institute Limited has informed the Exchange about Schedule of meet
27-May-2026 19:00:51,Analysts/Institutional Investor Meet/Con. Call Updates,International Gemological Institute Limited has informed the Exchange about Transcript
26-May-2026 12:18:48,Analysts/Institutional Investor Meet/Con. Call Updates,International Gemological Institute Limited has informed the Exchange about Schedule of meet
22-May-2026 12:03:38,Copy of Newspaper Publication,International Gemological Institute Limited has informed the Exchange about Copy of Newspaper Publication
20-May-2026 21:28:34,General Updates,International Gemological Institute Limited has informed the Exchange about General Updates
20-May-2026 19:17:21,Analysts/Institutional Investor Meet/Con. Call Updates,International Gemological Institute Limited has informed the Exchange about Link of Recording
20-May-2026 17:07:49,Investor Presentation,International Gemological Institute Limited has informed the Exchange about Investor Presentation
20-May-2026 17:07:49,Press Release,"International Gemological Institute Limited has informed the Exchange regarding a press release dated May 20, 2026, titled ""International Gemological Institute (IGI) delivers strong performance with 2"
