date,desc,text
10-Jul-2026 15:58:27,Appointment,"Indus Towers Limited has informed the Exchange regarding Appointment of  Abhishek Maheshwari as Chief Financial Officer of the company w.e.f. August 19, 2026."
30-Jun-2026 18:44:56,Copy of Newspaper Publication,Indus Towers Limited has informed the Exchange regarding Newspaper advertisement pertaining to Notice of Postal Ballot/ E-voting
29-Jun-2026 22:47:21,Shareholders meeting,Indus Towers Limited has informed the Exchange regarding Notice of Postal Ballot/ E-voting
24-Jun-2026 18:47:39,Trading Window,"Indus Towers Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
09-Jun-2026 13:50:10,Copy of Newspaper Publication,Indus Towers Limited has informed the Exchange regarding Newspaper publication of Notice for transferring Equity Shares of the Company to the Demat Account of Investor Education and Protection Fund Au
05-Jun-2026 15:58:38,Disclosure under SEBI Takeover Regulations,Indus Towers Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulatio
05-Jun-2026 15:56:44,Disclosure under SEBI Takeover Regulations,Indus Towers Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulatio
25-May-2026 15:58:36,Analysts/Institutional Investor Meet/Con. Call Updates,Indus Towers Limited has informed the Exchange regarding schedule of Analyst/ Institutional Investors' Meeting.
25-May-2026 15:44:33,Analysts/Institutional Investor Meet/Con. Call Updates,Indus Towers Limited has informed the Exchange regarding schedule Analyst/ Institutional Investors' Meeting.
22-May-2026 23:39:47,Resignation of Director/KMP/SMP,Indus Towers Limited has informed the Exchange about Resignation of Director/KMP/SMP
22-May-2026 18:21:33,Resignation,"Indus Towers Limited has informed the Exchange regarding Resignation of Mr Vikas Poddar as Chief Financial Officer of the company w.e.f. August 18, 2026."
08-May-2026 17:47:20,Analysts/Institutional Investor Meet/Con. Call Updates,"Indus Towers Limited has informed the Exchange regarding Transcript of the Earnings call on the Company's performance for the fourth quarter (Q4) and financial year ended March 31, 2026."
01-May-2026 18:31:40,Analysts/Institutional Investor Meet/Con. Call Updates,"Indus Towers Limited has informed the Exchange regarding the link of Audio Recording of the Earnings Call on the Company's performance for the fourth quarter (Q4) and financial year ended March 31, 20"
01-May-2026 17:19:38,Resignation of Director/KMP/SMP,Indus Towers Limited has informed the Exchange about Resignation of Director/KMP/SMP
01-May-2026 14:19:06,General Updates,"Indus Towers Limited has informed the Exchange regarding Revised Quarterly Report for the fourth quarter (Q4) and financial year ended March 31, 2026"
30-Apr-2026 22:15:54,General Updates,"Indus Towers Limited has informed the Exchange regarding Quarterly report for the fourth quarter (Q4) and financial year ended March 31, 2026"
30-Apr-2026 22:08:52,Press Release,"Indus Towers Limited has informed the Exchange regarding a press release w.r.t. audited financial results for the fourth quarter (Q4) and financial year ended March 31, 2026"
30-Apr-2026 21:56:07,Outcome of Board Meeting,Indus Towers Limited has informed the Exchange regarding Change in Directors
30-Apr-2026 21:51:02,Dividend,"Indus Towers Limited has informed the Exchange regarding recommendation of Final Dividend for the financial year ended March 31, 2026"
30-Apr-2026 21:45:10,Outcome of Board Meeting,"Indus Towers Limited has informed the Exchange regarding Outcome of Board Meeting held on April 30, 2026"
29-Apr-2026 01:17:06,Acquisition,"Indus Towers Limited has informed the Exchange regarding Incorporation of a Wholly Owned Subsidiary ( WOS ) in International Financial Services Centre ( IFSC ), GIFT City"
23-Apr-2026 18:24:27,Analysts/Institutional Investor Meet/Con. Call Updates,"Indus Towers Limited has informed the Exchange regarding Schedule of Earnings Call on the Company s performance for the fourth quarter (Q4) ended March 31, 2026"
10-Apr-2026 15:46:51,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Please find enclosed Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended on March 31, 2026"
30-Mar-2026 23:30:23,Change in Management,Indus Towers Limited has informed the Exchange regarding Change in Senior Management
