date,desc,text
10-Jul-2026 15:36:36,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","INOX India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
08-Jul-2026 09:39:04,Press Release,"INOX India Limited has informed the Exchange regarding a press release dated July 08, 2026, titled ""INOX India Ltd secures multiple orders worth Rs. 939 Cr.""."
01-Jul-2026 16:55:49,General Updates,"INOX India Limited has informed the Exchange about submission of Form-C by Mr. Parag Kulkarni, Director of the Company"
30-Jun-2026 12:15:18,Trading Window,"INOX India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
30-Jun-2026 12:00:58,General Updates,INOX India Limited has informed the Exchange about submission of Form-C by Ms. Manju Jain
25-Jun-2026 15:22:01,Trading Plan under PIT,"INOX India Limited has informed the Exchange regarding Trading Plan pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Jun-2026 20:15:11,Shareholders meeting,"INOX India Limited has submitted the Exchange a copy of Srutinizers report of Annual General Meeting held on Jun 23, 2026. Further, the company has informed the Exchange regarding voting results."
23-Jun-2026 17:40:14,Shareholders meeting,"INOX India Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on Jun 23, 2026"
22-Jun-2026 16:13:33,General Updates,INOX India Limited has informed the Exchange about submission of Form-C by Ms. Manju Jain
22-Jun-2026 16:05:15,General Updates,INOX India Limited has informed the Exchange about submission of Form-C by Ms. Lata Rungta
19-Jun-2026 15:11:02,Disclosure under SEBI Takeover Regulations," Minal Somany has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 201"
17-Jun-2026 11:21:01,General Updates,INOX India Limited has informed the Exchange about submission of Form-C by Ms. Manju Jain
17-Jun-2026 11:19:10,General Updates,INOX India Limited has informed the Exchange about submission of Form-C by Ms. Lata Rungta
15-Jun-2026 17:42:02,Analysts/Institutional Investor Meet/Con. Call Updates,INOX India Limited has informed the Exchange about Schedule of meet
15-Jun-2026 17:40:27,Analysts/Institutional Investor Meet/Con. Call Updates,INOX India Limited has informed the Exchange about Schedule of meet
15-Jun-2026 17:39:06,Analysts/Institutional Investor Meet/Con. Call Updates,INOX India Limited has informed the Exchange about Schedule of meet
15-Jun-2026 15:33:41,Disclosure under SEBI Takeover Regulations,"Manju Jain has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
15-Jun-2026 09:28:18,Disclosure under SEBI Takeover Regulations,"Kusum Mittal has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011"
10-Jun-2026 19:46:07,Analysts/Institutional Investor Meet/Con. Call Updates,INOX India Limited has informed the Exchange about Schedule of meet
10-Jun-2026 19:36:48,Analysts/Institutional Investor Meet/Con. Call Updates,INOX India Limited has informed the Exchange about Schedule of meet
02-Jun-2026 14:44:18,Analysts/Institutional Investor Meet/Con. Call Updates,INOX India Limited has informed the Exchange about Schedule of meet
02-Jun-2026 14:39:16,Copy of Newspaper Publication,INOX India Limited has informed the Exchange about Copy of Newspaper Publication.
01-Jun-2026 14:47:58,Shareholders meeting,"INOX India Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on Jun 23, 2026"
30-May-2026 12:56:32,Analysts/Institutional Investor Meet/Con. Call Updates,INOX India Limited has informed the Exchange about Schedule of meet
29-May-2026 15:25:20,Copy of Newspaper Publication,INOX India Limited has informed the Exchange about Newspaper Publication intimating about the 49th AGM of the Company.
28-May-2026 17:25:15,General Updates,INOX India Limited has informed the Exchange about Intimation of 49th AGM
27-May-2026 19:42:28,General Updates,INOX India Limited has informed the Exchange about submission of Form C by Manju Jain
27-May-2026 19:37:27,Analysts/Institutional Investor Meet/Con. Call Updates,INOX India Limited has informed the Exchange about Schedule of meet
26-May-2026 19:00:51,General Updates,INOX India Limited has informed the Exchange about Submission of Form C by Mrs. Manju Jain
26-May-2026 18:55:26,General Updates,INOX India Limited has informed the Exchange about submission of Form-C by Ms. Lata Madhusudan Rungta
25-May-2026 20:05:37,General Updates,INOX India Limited has informed the Exchange about submission of Form-C
21-May-2026 11:36:37,Analysts/Institutional Investor Meet/Con. Call Updates,INOX India Limited has informed the Exchange about Schedule of meet
21-May-2026 11:15:11,Press Release,"INOX India Limited has informed the Exchange regarding a press release dated May 21, 2026, titled ""INOX India Ltd secures multiple orders worth &#8377;322 Cr.""."
20-May-2026 19:34:01,General Updates,INOX India Limited has informed the Exchange about submission of Form C
19-May-2026 16:56:58,Analysts/Institutional Investor Meet/Con. Call Updates,INOX India Limited has informed the Exchange about Transcript
19-May-2026 10:59:22,Disclosure under SEBI Takeover Regulations," Lata Rungta has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011"
15-May-2026 17:48:53,Analysts/Institutional Investor Meet/Con. Call Updates,INOX India Limited has informed the Exchange about Schedule of meet
13-May-2026 18:12:11,Analysts/Institutional Investor Meet/Con. Call Updates,INOX India Limited has informed the Exchange about Link of Recording
12-May-2026 19:45:43,Investor Presentation,INOX India Limited has informed the Exchange about Investor Presentation
12-May-2026 19:37:46,Press Release,"INOX India Limited has informed the Exchange regarding a press release dated May 12, 2026, titled ""Press Release - INOX India Ltd announces Q4 and FY26 results""."
12-May-2026 19:24:23,Record Date,INOX India Limited has informed the Exchange that Record date for the purpose of Dividend  is 09-Jun-2026.
