date,desc,text
07-Jul-2026 12:13:36,Credit Rating,IPCA Laboratories Limited has informed the Exchange about Credit Rating
02-Jul-2026 15:14:09,Copy of Newspaper Publication,IPCA Laboratories Limited has informed the Exchange about Copy of Newspaper Publication
26-Jun-2026 13:16:57,Amalgamation/Merger,IPCA Laboratories Limited has informed the Exchange about Amalgamation/Merger
26-Jun-2026 13:12:41,Outcome of Board Meeting,"IPCA Laboratories Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 26, 2026."
22-Jun-2026 10:53:22,Trading Window,"IPCA Laboratories Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
12-Jun-2026 17:31:31,Press Release,"IPCA Laboratories Limited has informed the Exchange regarding a press release dated Jun 12, 2026, titled ""Licensing agreement granting Ipca access to BRL's proprietary high-concentration subcutaneous "
09-Jun-2026 12:47:57,Copy of Newspaper Publication,IPCA Laboratories Limited has informed the Exchange about Copy of Newspaper Publication
04-Jun-2026 13:48:21,Analysts/Institutional Investor Meet/Con. Call Updates,IPCA Laboratories Limited has informed the Exchange about Transcript
01-Jun-2026 17:18:37,Analysts/Institutional Investor Meet/Con. Call Updates,IPCA Laboratories Limited has informed the Exchange about Link of Recording
01-Jun-2026 13:12:45,Copy of Newspaper Publication,IPCA Laboratories Limited has informed the Exchange about Copy of Newspaper Publication
01-Jun-2026 09:43:26,Updates,IPCA Laboratories Limited has informed the Exchange regarding 'Revised Link for q4FY26  Conference Call to be held today'.
29-May-2026 14:06:02,Dividend,"IPCA Laboratories Limited has informed the Exchange that Board of Directors at its meeting held on May 29, 2026, recommended Final Dividend of Rs. 6 per equity share."
29-May-2026 14:01:44,Appointment,"IPCA Laboratories Limited has informed the Exchange regarding re-appointment of Mr Mr. Prashant Godha as Executive Director of the company w.e.f. August 16, 2026."
29-May-2026 13:51:38,Outcome of Board Meeting,"IPCA Laboratories Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
21-May-2026 16:13:51,Analysts/Institutional Investor Meet/Con. Call Updates,IPCA Laboratories Limited has informed the Exchange about Schedule of meet
