date,desc,text
07-Jul-2026 17:09:55,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
25-Jun-2026 17:21:38,Trading Window,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Jun-2026 17:10:35,Resignation of Director/KMP/SMP,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Resignation of Director/KMP/SMP
23-Jun-2026 16:28:49,General Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Change in Composition of the Board.
19-Jun-2026 19:02:50,Disclosure under SEBI Takeover Regulations,Indian Railway Catering And Tourism Corporation Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition
19-Jun-2026 17:21:33,Change in Management,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about change in Management
16-Jun-2026 18:40:56,Disclosure under SEBI Takeover Regulations,GOVERNMENT OF INDIA MINISTRY OF RAILWAYS has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and 
15-Jun-2026 19:08:05,Change in Director(s),Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding Change in Director(s) of the company.
15-Jun-2026 19:01:58,Change in Management,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about change in CFO and Senior Management
15-Jun-2026 19:00:04,Change in Director(s),Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding Change in Director(s) of the company.
11-Jun-2026 17:39:08,General Updates,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about letter received from Ministry of Railways regarding appointment to the post of Director (Finance), IRCTC."
04-Jun-2026 18:33:20,Change in Director(s),Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding Change in Director(s) of the company.
29-May-2026 18:27:19,Analysts/Institutional Investor Meet/Con. Call Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Transcript of Earning Conference Call on financial results for the quarter (Q4) and year ended 31st March 2026 h
28-May-2026 16:11:36,Copy of Newspaper Publication,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Copy of Newspaper Publication
28-May-2026 08:57:44,General Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about General Updates
27-May-2026 17:55:21,Analysts/Institutional Investor Meet/Con. Call Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Link of Recording
26-May-2026 21:18:25,Outcome of Board Meeting,"Indian Railway Catering And Tourism Corporation Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
26-May-2026 21:09:05,Dividend,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange that Board of Directors at its meeting held on May 26, 2026, recommended Final Dividend of Rs. 0.50 per equity share."
26-May-2026 21:07:46,Integrated Filing- Financial,"Please find attached herewith the Integrated Financial Results (Standalone & Consolidated) for the quarter and year ended March 31, 2026:"
26-May-2026 20:58:10,Outcome of Board Meeting,"Indian Railway Catering And Tourism Corporation Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
25-May-2026 16:32:01,Change in Management,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about change in Management
22-May-2026 20:15:46,Analysts/Institutional Investor Meet/Con. Call Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Schedule of meet
21-May-2026 17:46:00,Analysts/Institutional Investor Meet/Con. Call Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Schedule of meet
14-Apr-2026 19:58:38,Change in Director(s),Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding Change in Director(s) of the company.
13-Apr-2026 19:04:24,Cessation,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding Cessation of Mr Vinay Kumar Pathak as Senior Management of the company w.e.f. April 13, 2026."
06-Apr-2026 17:07:45,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Certificate under Reg 74 (5) of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended on "
30-Mar-2026 18:25:40,Change in Management,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about change in Management - cessation of senior management
27-Mar-2026 18:13:53,General Updates,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
27-Mar-2026 11:55:52,General Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about  disclosure of ESG rating by ESG Risk Assessments & Insights Limited.
24-Mar-2026 17:54:39,General Updates,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about  i. Board Comments on fines levied by the Exchanges for the quarter ended 31st December, 2025; and ii. Change in"
23-Mar-2026 17:17:06,Trading Window,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
10-Mar-2026 10:12:37,Change in Management,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about change in Management
07-Mar-2026 12:48:13,Change in Management,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about change in Management
28-Feb-2026 08:29:05,General Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about General Updates
27-Feb-2026 18:16:42,Appointment,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding Appointment of Mr Navin Kumar Parsuramka as Non- Executive Director of the company w.e.f. February 27, 2026."
26-Feb-2026 11:14:35,General Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Appointment of Part-time Government Director on the Board of Directors of Indian Railway Catering and Tourism Co
19-Feb-2026 17:08:58,General Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about disclosure of ESG rating by NSE Sustainability Ratings & Analytics Limited.
18-Feb-2026 10:47:26,Analysts/Institutional Investor Meet/Con. Call Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Transcript
13-Feb-2026 18:36:58,Analysts/Institutional Investor Meet/Con. Call Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Link of Recording
13-Feb-2026 18:31:09,Copy of Newspaper Publication,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Copy of Newspaper Publication
12-Feb-2026 18:22:15,General Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about the communication regarding Tax Deducted at Source (TDS) on Second (2nd) Interim Dividend for the Financial Year
12-Feb-2026 18:10:38,Record Date,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  is 20-Feb-2026.
12-Feb-2026 17:53:30,Dividend,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange that Board of Directors at its meeting held on February 12, 2026, declared Interim Dividend of Rs. 3.50 per equity sha"
12-Feb-2026 17:50:35,Outcome of Board Meeting,"Indian Railway Catering And Tourism Corporation Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
06-Feb-2026 15:42:20,Analysts/Institutional Investor Meet/Con. Call Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Schedule of meet
03-Feb-2026 17:36:49,Change in Management,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about change in Management
27-Jan-2026 19:42:09,Record Date,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  will be 20-Feb-2026, if so approved by the Board."
16-Jan-2026 18:24:48,Change in Director(s),Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding Change in Director(s) of the company.
09-Jan-2026 16:30:11,Updates,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding ' Board Comments on fines levied by the Exchanges for the quarter ended 30th September, 2025'."
06-Jan-2026 17:06:34,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
31-Dec-2025 18:08:18,General Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about General Updates
26-Dec-2025 21:27:50,Change in Management,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about change in Senior Management-Cessation.
22-Dec-2025 17:44:39,Trading Window,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
30-Nov-2025 17:45:45,General Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about General Updates
18-Nov-2025 13:30:26,Analysts/Institutional Investor Meet/Con. Call Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Transcript
13-Nov-2025 18:22:26,Copy of Newspaper Publication,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Copy of Newspaper Publication
13-Nov-2025 18:18:03,Analysts/Institutional Investor Meet/Con. Call Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Link of Recording
12-Nov-2025 20:12:35,General Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Communication regarding Tax Deducted at Source (TDS) on Interim Dividend for the Financial Year 2025-26.
12-Nov-2025 20:02:52,Record Date,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  is 21-Nov-2025.
12-Nov-2025 19:43:34,Dividend,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange that Board of Directors at its meeting held on November 12, 2025, declared Interim Dividend of Rs. 5 per equity share."
12-Nov-2025 19:38:30,Outcome of Board Meeting,"Indian Railway Catering And Tourism Corporation Limited has submitted to the Exchange, the financial results for the period ended September 30, 2025."
07-Nov-2025 23:04:59,General Updates,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015."
07-Nov-2025 17:35:23,Analysts/Institutional Investor Meet/Con. Call Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Schedule of meet
07-Nov-2025 17:12:34,General Updates,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about additional charge of the post of Director (Finance), IRCTC"
29-Oct-2025 13:01:51,Record Date,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  is 21-Nov-2025.
10-Oct-2025 14:15:51,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
10-Oct-2025 14:11:16,General Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about General Updates
10-Oct-2025 14:05:11,General Updates,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about  Board Comments on fines levied by the Exchanges for the quarter ended 30th June, 2025."
01-Oct-2025 17:09:36,Change in Management,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about change in Management
24-Sep-2025 11:39:21,Trading Window,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-Sep-2025 19:06:07,General Updates,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
22-Sep-2025 18:00:05,Change in Director(s),Indian Railway Catering And Tourism Corporation Limited has informed the Exchange regarding Change in Director(s) of the company.
21-Sep-2025 15:57:47,General Updates,Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about intimation regarding revision in Maximum Retail Price (MRP) of Rail Neer (1000 ml and 500 ml) bottles pursuant t
19-Sep-2025 16:51:44,General Updates,"Indian Railway Catering And Tourism Corporation Limited has informed the Exchange about Letter from Ministry of Railways, Government of India regarding appointment to the post of Director (Catering Se"
