date,desc,text
10-Jul-2026 21:44:38,General Updates,Indian Renewable Energy Development Agency Limited has informed the Exchange about General Updates
01-Jul-2026 12:59:14,Change in Management,"1. Cessation of Shri Pradip Kumar Das, as Chairman & Managing Director of IREDA 2. Entrustment of Additional Charge of Chairman & Managing Director, IREDA to Dr Bijay Kumar Mohanty, Director (Finance)"
25-Jun-2026 11:21:10,Trading Window,"Indian Renewable Energy Development Agency Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
29-May-2026 21:53:19,Updates,Board Comments on fine levied by the Exchanges
29-May-2026 21:43:13,Dividend,"Outcome of the Board Meeting held on May 29, 2026"
29-May-2026 21:41:23,Outcome of Board Meeting,"Indian Renewable Energy Development Agency Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
09-Apr-2026 11:48:24,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under Regulation 74(5) of the SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 31.03.2026"
07-Apr-2026 17:14:13,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Reconciliation of share capital audit report as per Regulation 76 of the SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended March 31,2026."
01-Apr-2026 16:28:53,Updates,"Indian Renewable Energy Development Agency Limited has informed the Exchange regarding ' Disclosure under Regulation 31(4) of SEBI (SAST) Regulations, 2011 as of March 31, 2026. '."
31-Mar-2026 22:22:03,General Updates,"IREDA - Business Performance for the year ended March 31, 2026  (Provisional)"
31-Mar-2026 18:41:25,Press Release,"Indian Renewable Energy Development Agency Limited has informed the Exchange regarding a press release dated March 31, 2026, titled ""Intimation under Regulation 30 of the SEBI (Listing Obligations and"
30-Mar-2026 16:59:36,Agreements,"Intimation under Regulation 30 of the SEBI LODR Regulations, 2015"
28-Mar-2026 10:16:28,Change in Director(s),Indian Renewable Energy Development Agency Limited has informed the Exchange regarding Change in Director(s) of the company.
26-Mar-2026 15:08:22,Trading Window,"Indian Renewable Energy Development Agency Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Mar-2026 17:21:37,Record Date,Indian Renewable Energy Development Agency Limited has informed the Exchange that Record date for the purpose of Dividend  is 02-Apr-2026.
