date,desc,text
11-Jul-2026 13:33:50,Shareholders meeting,"ITC Hotels Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 06, 2026"
30-Jun-2026 19:15:32,Copy of Newspaper Publication,"ITC Hotels Limited has informed the Exchange about Copy of Newspaper Publication re: 3rd Annual General Meeting of the Company to be held on 6th August, 2026 through Video Conferencing / Other Audio V"
25-Jun-2026 17:16:25,Trading Window,"ITC Hotels Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-Jun-2026 15:16:29,Disclosure under SEBI Takeover Regulations,ITC Hotels Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations
18-Jun-2026 15:35:01,Analysts/Institutional Investor Meet/Con. Call Updates,ITC Hotels Limited has informed the Exchange about Analysts meet - Cancellation.
15-Jun-2026 20:32:39,Analysts/Institutional Investor Meet/Con. Call Updates,ITC Hotels Limited has informed the Exchange about Analysts meet.
19-May-2026 19:31:26,Acquisition,ITC Hotels Limited has informed the Exchange about Acquisition of  shares of Zuri Hotels and Resorts Private Limited.
15-May-2026 16:12:39,Updates,ITC Hotels Limited has informed the Exchange regarding 'Acquisition - Media Statement and Presentation'.
15-May-2026 16:05:33,Updates,ITC Hotels Limited has informed the Exchange regarding 'Audited Financial Results - Media Statement and Presentation'.
15-May-2026 15:37:43,Updates,ITC Hotels Limited has informed the Exchange regarding 'Intimation of date of the Annual General Meeting of the Company'.
15-May-2026 15:36:31,Updates,ITC Hotels Limited has informed the Exchange regarding 'Recommendation for Appointment of Director'.
15-May-2026 15:35:03,Record Date,ITC Hotels Limited has informed the Exchange that Record date for the purpose of Dividend  is 21-May-2026.
15-May-2026 15:33:11,Acquisition,ITC Hotels Limited has informed the Exchange about Acquisition of Zuri Hotels and Resorts Private Limited.
15-May-2026 15:31:31,Dividend,"ITC Hotels Limited has informed the Exchange that Board of Directors at its meeting held on May 15, 2026, recommended Final Dividend of Re. 1 per equity share."
15-May-2026 15:29:15,Outcome of Board Meeting,"ITC Hotels Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
06-Apr-2026 18:10:52,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ITC Hotels Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
25-Mar-2026 18:45:02,Trading Window,"ITC Hotels Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Mar-2026 17:31:43,ESOP/ESOS/ESPS,ITC Hotels Limited has informed the Exchange regarding Allotment of 93421  Shares.
06-Mar-2026 14:36:09,Resignation,"ITC Hotels Limited has informed the Exchange regarding Resignation of Mr Tablesh Pandey as Non- Executive Director of the company w.e.f. March 06, 2026."
06-Mar-2026 14:29:09,Change in Director(s),ITC Hotels Limited has informed the Exchange regarding Change in Director(s) of the company.
06-Feb-2026 23:03:25,Analysts/Institutional Investor Meet/Con. Call Updates,ITC Hotels Limited has informed the Exchange about participation in Investor Conferences.
28-Jan-2026 18:59:33,Analysts/Institutional Investor Meet/Con. Call Updates,ITC Hotels Limited has informed the Exchange about participation in Analysts / Investor Meet.
28-Jan-2026 14:39:45,Analysts/Institutional Investor Meet/Con. Call Updates,ITC Hotels Limited has informed the Exchange about Participation in Investor Conference.
20-Jan-2026 15:37:07,Updates,ITC Hotels Limited has informed the Exchange regarding 'Media Statement and Investor Presentation Q3 FY26'.
20-Jan-2026 13:56:05,Outcome of Board Meeting,"ITC Hotels Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
16-Jan-2026 16:05:19,ESOP/ESOS/ESPS,ITC Hotels Limited has informed the Exchange regarding Allotment of 29300 Equity  Shares.
09-Jan-2026 16:45:05,Bagging/Receiving of orders/contracts,"Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
06-Jan-2026 19:26:45,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ITC Hotels Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Dec-2025 13:17:09,Trading Window,"ITC Hotels Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Dec-2025 17:47:42,ESOP/ESOS/ESPS,ITC Hotels Limited has informed the Exchange regarding Allotment of 102560  Shares.
19-Dec-2025 16:54:20,Shareholders meeting,ITC Hotels Limited has informed the Exchange regarding voting results of  Postal Ballot
01-Dec-2025 16:09:13,Analysts/Institutional Investor Meet/Con. Call Updates,ITC Hotels Limited has informed the Exchange about Participation in Investor Conference / Analysts meet.
19-Nov-2025 12:02:47,Copy of Newspaper Publication,ITC Hotels Limited has informed the Exchange about Copy of Newspaper Publication re: completion of despatch of the Notice of Postal Ballot.
18-Nov-2025 09:47:57,Shareholders meeting,ITC Hotels Limited has informed the Exchange regarding Notice of Postal Ballot
17-Nov-2025 16:35:57,Analysts/Institutional Investor Meet/Con. Call Updates,ITC Hotels Limited has informed the Exchange about Participation in Investor Conferences
17-Nov-2025 11:18:13,ESOP/ESOS/ESPS,ITC Hotels Limited has informed the Exchange regarding Allotment of 22930  Shares.
24-Oct-2025 16:07:48,Updates,ITC Hotels Limited has informed the Exchange regarding 'Media Statement and Investor Presentation Q2 FY26'.
24-Oct-2025 14:28:47,General Updates,ITC Hotels Limited has informed the Exchange about recommendation for issue of shares under a new Employee Stock Appreciation Rights Scheme.
