date,desc,text
08-Jul-2026 16:24:09,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ITI Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
03-Jul-2026 18:01:22,General Updates,ITI Limited has informed the Exchange about General Updates
03-Jul-2026 17:39:18,Disclosure of material issue,ITI Limited has informed regarding Disclosure of material issue
01-Jul-2026 14:58:56,Appointment,"ITI Limited has informed the Exchange regarding Appointment of  Shri Rajesh Rai as Executive Director of the company w.e.f. July 01, 2026."
30-Jun-2026 15:50:15,Cessation,"ITI Limited has informed the Exchange regarding Cessation of  Smt. S. Jeyanthi as Executive Director of the company w.e.f. Jun 30, 2026."
30-Jun-2026 11:50:47,Trading Window,"ITI Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
16-Jun-2026 15:02:48,Copy of Newspaper Publication,ITI Limited has informed the Exchange about Copy of Newspaper Publication of Corrigendum to Audited Financial Results for the Quarter and Financial Year Ended 31st March 2026.
16-Jun-2026 14:59:48,Copy of Newspaper Publication,ITI Limited has informed the Exchange about Copy of Newspaper Publication
15-Jun-2026 17:43:38,Change in Director(s),ITI Limited has informed the Exchange regarding Change in Director(s) of the company.
11-Jun-2026 17:33:58,General Updates,ITI Limited has informed the Exchange about General Updates
09-Jun-2026 11:29:16,Disclosure under SEBI Takeover Regulations,Hon'ble President of India has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Reg
02-Jun-2026 22:48:15,Outcome of Board Meeting,"ITI Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
29-May-2026 10:47:45,Change in Management,ITI Limited has informed the Exchange about change in Management
29-May-2026 08:30:40,Outcome of Board Meeting,"ITI Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
28-May-2026 21:57:35,Change in Management,ITI Limited has informed the Exchange about change in Management
21-May-2026 17:35:30,Change in Management,ITI Limited has informed the Exchange about change in Management
02-May-2026 17:15:07,Resignation,"ITI Limited has informed the Exchange regarding Resignation of Mr Shri Prasad Barre as Chief Financial Officer of the company w.e.f. April 30, 2026."
24-Apr-2026 16:28:03,Cessation,"ITI Limited has informed the Exchange regarding Cessation of  Shri Arun Agarwal as Non- Executive Director of the company w.e.f. April 24, 2026."
24-Apr-2026 13:26:57,Spurt in Volume,"Significant increase in volume has been observed in ITI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
22-Apr-2026 17:39:51,Spurt in Volume,"Significant increase in volume has been observed in ITI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
10-Apr-2026 16:13:31,Spurt in Volume,"Significant increase in volume has been observed in ITI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
10-Apr-2026 15:24:09,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ITI Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
09-Apr-2026 21:29:27,Spurt in Volume,"Significant increase in volume has been observed in ITI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
30-Mar-2026 15:19:07,Trading Window,"ITI Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
20-Mar-2026 18:32:18,Change in Director(s),ITI Limited has informed the Exchange regarding Change in Director(s) of the company.
18-Mar-2026 11:14:46,News Verification,"The Exchange has sought clarification from ITI Limited with respect to recent news item captioned ITI Limited Floats Tender For 100 MW, 250 MW, And 500 MW Solar PV Module Manufacturing Line At Naini U"
16-Mar-2026 17:59:13,News Verification,"The Exchange has sought clarification from ITI Limited with respect to recent news item captioned ITI Limited Floats Tender For 100 MW, 250 MW, And 500 MW Solar PV Module Manufacturing Line At Naini U"
27-Feb-2026 17:54:27,Cessation,"ITI Limited has informed the Exchange regarding Cessation of  Smt. S Jeyanthi as Executive D of the company w.e.f. February 28, 2026."
27-Feb-2026 17:15:12,Cessation,"ITI Limited has informed the Exchange regarding Cessation of Mrs S  Jeyanthi as Executive Director of the company w.e.f. February 28, 2026."
27-Feb-2026 17:11:35,Change in Management,ITI Limited has informed the Exchange about change in Management
16-Feb-2026 15:12:48,Copy of Newspaper Publication,ITI Limited has informed the Exchange about Copy of Newspaper Publication
13-Feb-2026 15:56:25,Outcome of Board Meeting,"ITI Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
13-Feb-2026 15:53:11,Change in Management,ITI Limited has informed the Exchange about change in Management
05-Feb-2026 13:01:30,Credit Rating,ITI Limited has informed the Exchange about Credit Rating
29-Jan-2026 15:30:29,General Updates,ITI Limited has informed the Exchange about General Updates
27-Jan-2026 13:14:32,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ITI Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
20-Jan-2026 17:22:58,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ITI Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
14-Jan-2026 10:37:32,Spurt in Volume,"Significant increase in volume has been observed in ITI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
13-Jan-2026 17:41:35,Spurt in Volume,"Significant increase in volume has been observed in ITI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
08-Jan-2026 12:33:30,Clarification - Financial Results,"The Exchange has sought clarification from ITI Limited for the quarter ended 30-Sep-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. "
06-Jan-2026 13:22:21,Change in Director(s),ITI Limited has informed the Exchange regarding Change in Director(s) of the company.
30-Dec-2025 18:47:41,Trading Window,"ITI Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
30-Dec-2025 15:34:45,Press Release,"ITI Limited has informed the Exchange regarding a press release dated December 30, 2025, titled ""ITI Limited wins project in Himachal Pradesh.""."
22-Dec-2025 12:55:24,News Verification,"The Exchange has sought clarification from ITI Limited with respect to recent news item captioned ITI to monetise 91-acre Bengaluru land parcel to raise Rs 3,473 crore, clear dues and loans..  The res"
19-Dec-2025 11:43:45,News Verification,"The Exchange has sought clarification from ITI Limited with respect to recent news item captioned ITI to monetise 91-acre Bengaluru land parcel to raise Rs 3,473 crore, clear dues and loans..  The res"
29-Nov-2025 12:35:32,Credit Rating,ITI Limited has informed the Exchange about Credit Rating
25-Nov-2025 18:48:38,Spurt in Volume,"Significant increase in volume has been observed in ITI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
24-Nov-2025 18:01:38,Spurt in Volume,"Significant increase in volume has been observed in ITI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
15-Nov-2025 13:21:12,Copy of Newspaper Publication,ITI Limited has informed the Exchange about Copy of Newspaper Publication
13-Nov-2025 18:29:54,Outcome of Board Meeting,"ITI Limited has submitted to the Exchange, the Unaudited Consolidated and Standalone financial results for the period ended September 30, 2025 along with Independent Auditor's Review Report."
12-Nov-2025 13:18:29,Shareholders meeting,"ITI Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on November 11, 2025"
12-Nov-2025 11:46:59,Press Release,"ITI Limited has informed the Exchange regarding a press release dated November 12, 2025, titled ""'ITI Limited joins Kerala Government to launch Kerala Savaari 2.0.'""."
11-Nov-2025 18:20:42,Shareholders meeting,"ITI Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on November 11, 2025"
06-Nov-2025 17:22:51,Copy of Newspaper Publication,ITI Limited has informed the Exchange about Copy of Newspaper Publication
21-Oct-2025 18:04:37,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ITI Limited has informed the Exchange about Certificate under Reg 74(5) SEBI (Depositories and Participants) Regulations, 2018"
18-Oct-2025 19:29:19,Record Date,ITI Limited has informed the Exchange that Record date for the purpose of   is 04-Nov-2025.
18-Oct-2025 18:03:33,General Updates,ITI Limited has informed the Exchange about General Updates
15-Oct-2025 11:49:38,Appointment,"ITI Limited has informed the Exchange regarding Appointment of Mr Ramana Babu C V as Executive Director (Finance) as an Additional Charge of the company w.e.f. October 15, 2025."
15-Oct-2025 11:46:19,Cessation,"ITI Limited has informed the Exchange regarding Cessation of Mr Rajeev Srivastava as Executive Director(Finance) of the company w.e.f. October 15, 2025."
29-Sep-2025 11:39:14,Trading Window,"ITI Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
16-Sep-2025 12:29:15,Spurt in Volume,"Significant increase in volume has been observed in ITI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
15-Sep-2025 17:41:52,Spurt in Volume,"Significant increase in volume has been observed in ITI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
15-Sep-2025 10:14:20,Spurt in Volume,"Significant increase in volume has been observed in ITI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
04-Sep-2025 10:26:47,Press Release,"ITI Limited has informed the Exchange regarding a press release dated September 04, 2025, titled ""ITI Limited Secures Empanelment from Guj Info Petro Limited (GIPL) for two IT Implementation Projects"""
02-Sep-2025 18:10:44,Spurt in Volume,"Significant increase in volume has been observed in ITI Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
21-Aug-2025 16:55:07,Copy of Newspaper Publication,ITI Limited has informed the Exchange about Copy of Newspaper Publication
18-Aug-2025 14:40:03,Credit Rating,ITI Limited has informed the Exchange about Credit Rating
18-Aug-2025 11:16:33,Press Release,"ITI Limited has informed the Exchange regarding a press release dated August 18, 2025, titled ""ITI Limited Receives Appreciation from ISRO During Successful Launch of NISAR Satellite in GSLV F16""."
14-Aug-2025 15:15:24,Copy of Newspaper Publication,ITI Limited has informed the Exchange about Copy of Newspaper Publication
13-Aug-2025 15:30:12,Outcome of Board Meeting,"ITI Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2025."
05-Aug-2025 15:36:59,Press Release,"ITI Limited has informed the Exchange regarding a press release dated August 05, 2025, titled ""ITI Limited to Launch India s First AI&#8209;Powered Road Safety Pilot in Uttar Pradesh""."
30-Jul-2025 17:57:15,Reply to Clarification- Financial results,"The Exchange had sought clarification from ITI Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. "
30-Jul-2025 13:26:48,Outcome of Board Meeting,"ITI Limited has informed the Exchange regarding  Board meeting held on July 30, 2025."
29-Jul-2025 10:02:48,Change in Director(s),ITI Limited has informed the Exchange regarding Change in Director(s) of the company.
23-Jul-2025 17:32:01,Change in Director(s),ITI Limited has informed the Exchange regarding Change in Director(s) of the company.
14-Jul-2025 11:15:34,Change in Director(s),ITI Limited has informed the Exchange regarding Change in Director(s) of the company.
07-Jul-2025 17:51:52,Change in Director(s),ITI Limited has informed the Exchange regarding Change in Director(s) of the company.
07-Jul-2025 10:22:37,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ITI Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Jul-2025 13:00:49,Press Release,"ITI Limited has informed the Exchange regarding a press release dated July 02, 2025, titled ""ITI Limited Wins Orders worth Rs. 88 Crores in Odisha and Chhattisgarh""."
