date,desc,text
10-Jul-2026 16:58:28,Change in Management,Jindal Saw Limited has informed the Exchange about change in Management
10-Jul-2026 16:55:46,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
07-Jul-2026 12:17:58,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Jindal Saw Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Jun-2026 13:22:57,Credit Rating,Jindal Saw Limited has informed the Exchange about Credit Rating
25-Jun-2026 14:44:58,Trading Window,"Jindal Saw Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 14:33:47,Updates,Jindal Saw Limited has informed the Exchange regarding 'Update of API License of the Company'.
24-Jun-2026 16:10:37,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
24-Jun-2026 14:02:58,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
23-Jun-2026 17:05:49,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
22-Jun-2026 17:40:18,Disclosure under SEBI Takeover Regulations,Siddeshwari Tradex Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeov
18-Jun-2026 17:17:10,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
18-Jun-2026 17:12:27,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
16-Jun-2026 17:54:52,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
16-Jun-2026 17:50:31,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
15-Jun-2026 12:12:51,Shareholders meeting,"Jindal Saw Limited has informed the Exchange with copy of minutes of  Annual General Meeting held on May 29, 2026"
12-Jun-2026 17:14:42,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
09-Jun-2026 12:11:14,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
09-Jun-2026 12:09:27,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
05-Jun-2026 16:09:05,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
04-Jun-2026 14:24:28,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
02-Jun-2026 17:18:13,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
02-Jun-2026 17:07:46,Shareholders meeting,"Jindal Saw Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on May 29, 2026. Further, the company has informed the Exchange regarding voting results."
01-Jun-2026 12:13:33,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
29-May-2026 14:28:43,Shareholders meeting,"Jindal Saw Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on May 29, 2026"
22-May-2026 17:43:56,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
22-May-2026 17:42:24,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
22-May-2026 17:40:50,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
18-May-2026 18:07:26,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
11-May-2026 17:02:08,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
11-May-2026 17:00:54,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
11-May-2026 16:59:17,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
07-May-2026 18:25:17,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
07-May-2026 18:23:24,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
07-May-2026 18:20:48,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
05-May-2026 14:57:35,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Transcript
04-May-2026 13:19:05,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
30-Apr-2026 16:25:23,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
29-Apr-2026 17:39:37,Updates,"Jindal Saw Limited has informed the Exchange regarding 'Reporting of violations under SEBI (Prohibition of Insider Trading) Regulations, 2015 '."
29-Apr-2026 16:59:20,Analysts/Institutional Investor Meet/Con. Call Updates,Jindal Saw Limited has informed the Exchange about Schedule of meet
28-Apr-2026 17:55:34,Updates,Jindal Saw Limited has informed the Exchange regarding 'Clarification letter'.
