date,desc,text
02-Jul-2026 17:40:00,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","JK Tyre & Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Jun-2026 18:55:47,Credit Rating- New,JK Tyre & Industries Limited has informed the Exchange about Credit Rating- New
26-Jun-2026 18:45:05,Trading Window,"JK Tyre & Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
12-Jun-2026 18:43:26,Credit Rating,JK Tyre & Industries Limited has informed the Exchange about Credit Rating
12-Jun-2026 14:52:25,Disclosure under SEBI Takeover Regulations,Bengal & Assam Company Ltd. has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Re
11-Jun-2026 18:56:14,Action(s) taken or orders passed,JK Tyre & Industries Limited has informed the Exchange about Action(s) taken or orders passed
11-Jun-2026 14:45:41,Copy of Newspaper Publication,JK Tyre & Industries Limited has informed the Exchange about Copy of Newspaper Publication
02-Jun-2026 13:36:05,Analysts/Institutional Investor Meet/Con. Call Updates,JK Tyre & Industries Limited has informed the Exchange about Transcript
27-May-2026 17:50:15,Analysts/Institutional Investor Meet/Con. Call Updates,JK Tyre & Industries Limited has informed the Exchange about Link of Recording
27-May-2026 11:39:57,Analysts/Institutional Investor Meet/Con. Call Updates,JK Tyre & Industries Limited has informed the Exchange about Presentation
26-May-2026 19:00:07,Capacity addition,JK Tyre & Industries Limited has informed the Exchange about Capacity addition
26-May-2026 17:53:49,Change in Director(s),JK Tyre & Industries Limited has informed the Exchange regarding Change in Director(s) of the company.
26-May-2026 17:11:18,Dividend,"JK Tyre & Industries Limited has informed the Exchange that Board of Directors at its meeting held on May 26, 2026, recommended Final Dividend of Rs. 4 per equity share."
26-May-2026 17:06:58,Outcome of Board Meeting,"JK Tyre & Industries Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
21-May-2026 11:45:59,Analysts/Institutional Investor Meet/Con. Call Updates,JK Tyre & Industries Limited has informed the Exchange about Schedule of meet
14-May-2026 15:44:19,Monitoring Agency Report,"Report of India Ratings & Research Private Limited, Monitoring Agency, dated 13th May 2026 for the quarter ended 31st March 2026 for utilization of proceeds of the Qualified Institutions Placement und"
28-Apr-2026 19:09:47,Copy of Newspaper Publication,JK Tyre & Industries Limited has informed the Exchange regarding Special Window for Transfer and Dematerialisation of Physical Securities.
23-Apr-2026 12:46:42,Shareholders meeting,"JK Tyre & Industries Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
15-Apr-2026 18:44:16,Acquisition,JK Tyre & Industries Limited has informed the Exchange about Acquisition
14-Apr-2026 15:45:42,Appointment,"JK Tyre & Industries Limited has informed the Exchange regarding joining of Shri Mandar Vighnahari Deo as President - India w.e.f. April 14, 2026."
06-Apr-2026 17:42:34,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","JK Tyre & Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
01-Apr-2026 11:45:29,Action(s) taken or orders passed,JK Tyre & Industries Limited has informed the Exchange about Action(s) taken or orders passed
27-Mar-2026 10:54:16,Trading Window,"JK Tyre & Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Mar-2026 17:23:18,Copy of Newspaper Publication,JK Tyre & Industries Limited has informed the Exchange about Copy of Newspaper Publication
23-Mar-2026 19:28:59,Updates,JK Tyre & Industries Limited has informed the Exchange regarding 'Report from the Audit Committee of Directors and Independent Directors of the Company certifying distribution of proceeds to eligible 
23-Mar-2026 13:12:43,Shareholders meeting,JK Tyre & Industries Limited has informed the Exchange regarding Notice of Postal Ballot
16-Mar-2026 10:44:45,Cessation,"JK Tyre & Industries Limited has informed the Exchange regarding Cessation of Mr. Shreekant Somany as Non- Executive Independent Director of the company w.e.f. March 16, 2026 upon completion of his te"
05-Mar-2026 19:20:35,Acquisition,JK Tyre & Industries Limited has informed the Exchange about Acquisition
05-Mar-2026 19:16:38,Acquisition,JK Tyre & Industries Limited has informed the Exchange about Acquisition
13-Feb-2026 11:49:17,Analysts/Institutional Investor Meet/Con. Call Updates,JK Tyre & Industries Limited has informed the Exchange about Transcript
10-Feb-2026 18:27:39,General Updates,JK Tyre & Industries Limited has informed the Exchange about ESG Rating.
09-Feb-2026 18:24:49,Analysts/Institutional Investor Meet/Con. Call Updates,JK Tyre & Industries Limited has informed the Exchange about Link of Recording
09-Feb-2026 16:50:30,Monitoring Agency Report,"Report of India Ratings & Research Private Limited, Monitoring Agency, dated 9th February 2026 for the quarter ended 31st December 2025 for utilization of proceeds of the  Qualified Institutions Place"
08-Feb-2026 14:06:25,Analysts/Institutional Investor Meet/Con. Call Updates,JK Tyre & Industries Limited has informed the Exchange about Presentation
06-Feb-2026 19:28:45,General Updates,"The Board of Directors at their meeting held today, inter alia , approved expansion for Truck & Bus Radial (TBR) Tyres, All Steel Light Truck Radial (ALSTR) Tyres and Passenger Car Radial (PCR) Tyres "
06-Feb-2026 18:38:27,Appointment,"JK Tyre & Industries Limited has informed the Exchange regarding Appointment of Mr Nand Gopal Khaitan as Non- Executive Independent Director of the company w.e.f. February 09, 2026."
06-Feb-2026 17:45:07,Outcome of Board Meeting,Outcome of the Board Meeting held on 6th February 2026
02-Feb-2026 17:41:26,Analysts/Institutional Investor Meet/Con. Call Updates,JK Tyre & Industries Limited has informed the Exchange about Schedule of meet
