date,desc,text
10-Jul-2026 17:57:33,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","JSW Infrastructure Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
10-Jul-2026 16:46:35,Acquisition,JSW Infrastructure Limited has informed the Exchange about Acquisition- Incorporation of a wholly owned subsidiary company
09-Jul-2026 18:26:49,General Updates,"JSW Infrastructure Limited has informed the Exchange about General Updates Communication to Shareholders - Intimation of Tax Deduction at Source on Dividend for the Financial Year ended 31st March, 20"
07-Jul-2026 21:26:41,General Updates,"Agreement between JSW Jatadhar Marine Services Private Limited, (wholly owned subsidiary of the Company) and JSW Utkal Steel Limited"
02-Jul-2026 16:36:38,Credit Rating,JSW Infrastructure Limited has informed the Exchange about Credit Rating
01-Jul-2026 15:32:39,Press Release,"JSW Infrastructure Limited has informed the Exchange regarding a press release dated July 01, 2026, titled ""JSW Infrastructure Completes Rs.7,503 Crore QIP; Backed by Marquee Global and Domestic Inves"
26-Jun-2026 20:00:12,Trading Window,"JSW Infrastructure Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Jun-2026 18:39:56,Qualified Institutional Placement,JSW Infrastructure Limited has informed the Exchange about Qualified Institutional Placement- allotment of equity shares
26-Jun-2026 18:38:19,Allotment of Securities,"JSW Infrastructure Limited has informed the Exchange regarding allotment of 230000000 securities pursuant to Qualified Institution Placement at its Finance Committee meeting held on Jun 26, 2026"
26-Jun-2026 18:34:10,General Updates,JSW Infrastructure Limited has informed the Exchange about update on Qualified Institutions Placement- allotment of equity shares
26-Jun-2026 18:25:49,Committee Meeting Updates,"JSW Infrastructure Limited has informed the Exchange regarding Outcome of Finance Committee Meeting held on Jun 26, 2026."
25-Jun-2026 23:45:25,Updates,JSW Infrastructure Limited has informed the Exchange regarding 'Update- Qualified institutions placement of equity shares of face value of Rs. 2 each by JSW Infrastructure Limited and an offer for sal
25-Jun-2026 23:38:27,Committee Meeting Updates,Outcome of Finance Committee Meeting: Update- Qualified institutions placement of equity shares of face value of Rs. 2 each by JSW Infrastructure Limited and an offer for sale of Equity Shares by Sajj
22-Jun-2026 19:25:46,Trading Window,"JSW Infrastructure Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-Jun-2026 19:22:37,General Updates,JSW Infrastructure Limited has informed the Exchange about General Updates
22-Jun-2026 19:13:23,Committee Meeting Updates,"JSW Infrastructure Limited has informed the Exchange regarding Outcome of Finance Committee Meeting held on Jun 22, 2026."
22-Jun-2026 19:01:48,Updates,JSW Infrastructure Limited has informed the Exchange regarding 'JSW Infrastructure Limited has informed the Exchange regarding Qualified institutions placement of equity shares of face value of &#8377
21-Jun-2026 17:03:29,Updates,"JSW Infrastructure Limited has informed the Exchange regarding Audited Standalone and Consolidated Financial Statements for the Financial Year ended 31st March, 2026"
19-Jun-2026 12:33:39,Credit Rating- New,JSW Infrastructure Limited has informed the Exchange about Credit Rating- New
19-Jun-2026 12:29:30,Credit Rating- Revision,JSW Infrastructure Limited has informed the Exchange about Credit Rating- Revision
15-Jun-2026 14:44:38,Disclosure under SEBI Takeover Regulations,Everbest Consultancy Services Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares
13-Jun-2026 18:52:51,Record Date,JSW Infrastructure Limited has informed the Exchange that Record date for the purpose of Dividend  is 18-Jun-2026.
09-Jun-2026 14:50:24,Bagging/Receiving of orders/contracts,JSW Infrastructure Limited has informed the Exchange about Bagging/Receiving of orders/contracts
05-Jun-2026 12:10:10,Disclosure under SEBI Takeover Regulations,"Urmila Kanoria has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 20"
12-May-2026 18:25:27,Analysts/Institutional Investor Meet/Con. Call Updates,JSW Infrastructure Limited has informed the Exchange about Transcript
11-May-2026 18:57:08,Investor Presentation,JSW Infrastructure Limited has informed the Exchange about Investor Presentation
09-May-2026 10:40:08,Copy of Newspaper Publication,JSW Infrastructure Limited has informed the Exchange about Copy of Newspaper Publication
08-May-2026 19:50:46,Analysts/Institutional Investor Meet/Con. Call Updates,JSW Infrastructure Limited has informed the Exchange about Link of Recording
