date,desc,text
07-Jul-2026 18:30:31,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Jyothy Labs Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
25-Jun-2026 13:38:38,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
25-Jun-2026 13:38:38,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
25-Jun-2026 13:38:38,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
25-Jun-2026 13:21:25,Trading Window,"Jyothy Labs Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-Jun-2026 15:05:27,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Transcript
20-Jun-2026 12:54:05,General Updates,Jyothy Labs Limited has informed the Exchange about General Updates- Letter to shareholders for web-link of Annual Report 2025-26
20-Jun-2026 12:42:44,Copy of Newspaper Publication,Jyothy Labs Limited has informed the Exchange about Copy of Newspaper Publication
19-Jun-2026 14:17:40,Updates,"Jyothy Labs Limited has informed the Exchange regarding 'Pursuant to Regulation 34(2)(f) of the Securities and Exchange Board of India (ListingObligations and Disclosure Requirements) Regulations, 201"
19-Jun-2026 14:15:28,Updates,Jyothy Labs Limited has informed the Exchange regarding 'Notice convening 35th Annual General Meeting of the Company forthe Financial Year 2025-26'.
18-Jun-2026 20:19:21,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Link of Recording
15-Jun-2026 19:59:30,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
15-Jun-2026 19:40:35,General Updates,Jyothy Labs Limited has informed the Exchange about General Updates
15-Jun-2026 19:38:25,Outcome of Board Meeting,"Jyothy Labs Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 15, 2026."
11-Jun-2026 11:52:43,Copy of Newspaper Publication,Jyothy Labs Limited has informed the Exchange about Copy of Newspaper Publication
05-Jun-2026 16:10:56,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
05-Jun-2026 16:10:56,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
05-Jun-2026 16:10:56,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
05-Jun-2026 16:10:55,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
05-Jun-2026 16:10:55,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
05-Jun-2026 16:10:55,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
05-Jun-2026 16:10:55,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
27-May-2026 15:33:32,General Updates,Jyothy Labs Limited has informed the Exchange about General Updates
21-May-2026 13:29:20,General Updates,Jyothy Labs Limited has informed the Exchange about General Updates
20-May-2026 15:11:55,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
20-May-2026 15:11:55,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
19-May-2026 17:55:05,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
19-May-2026 15:55:01,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
19-May-2026 15:55:01,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
13-May-2026 18:03:06,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
13-May-2026 18:03:06,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
12-May-2026 10:58:18,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
12-May-2026 10:56:29,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
09-May-2026 15:23:12,Outcome of Board Meeting,"Jyothy Labs Limited has informed the Exchange regarding Outcome of Board Meeting held on May 09, 2026."
09-May-2026 14:46:27,General Updates,Jyothy Labs Limited has informed the Exchange about General Updates - Press Release
09-May-2026 14:38:55,General Updates,Jyothy Labs Limited has informed the Exchange about General Updates
08-May-2026 18:42:44,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
07-May-2026 18:09:44,General Updates,Jyothy Labs Limited has informed the Exchange about General Updates
07-May-2026 10:45:38,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Transcript
05-May-2026 13:37:35,Copy of Newspaper Publication,Jyothy Labs Limited has informed the Exchange about Copy of Newspaper Publication for Financial Results
04-May-2026 19:04:12,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Link of Recording
04-May-2026 15:14:37,Shareholders meeting,"Jyothy Labs Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 14, 2026"
04-May-2026 15:10:10,Investor Presentation,Jyothy Labs Limited has informed the Exchange about Investor Presentation
04-May-2026 15:05:02,General Updates,"Jyothy Labs Limited has informed the Exchange about General Updates- Press Release on the Audited Financial Results for the quarter and year ended March 31, 2026"
04-May-2026 14:58:32,Record Date,Jyothy Labs Limited has informed the Exchange that Record date for the purpose of Dividend  is 29-Jun-2026.
04-May-2026 14:54:41,Dividend,"Jyothy Labs Limited has informed the Exchange that Board of Directors at its meeting held on May 04, 2026, recommended Final Dividend of Rs. 3.50 per equity share."
04-May-2026 14:52:19,Outcome of Board Meeting,"Jyothy Labs Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
02-May-2026 15:58:10,Updates,"Jyothy Labs Limited has informed the Exchange regarding 'Intimation Under Regulation 30 Of SEBI (Listing Obligations & Disclosure Requirements) Regulations, 2015'."
29-Apr-2026 18:12:51,Disruption of Operations,Jyothy Labs Limited has informed the Exchange about Disruption of Operations- Intimation under Reg 30
27-Apr-2026 13:13:43,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
09-Apr-2026 14:11:35,Disclosure under SEBI Takeover Regulations,M. P. Ramachandran has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations
06-Apr-2026 15:20:29,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Jyothy Labs Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
31-Mar-2026 18:00:23,General Updates,Jyothy Labs Limited has informed the Exchange about General Updates
26-Mar-2026 15:03:26,Trading Window,"Jyothy Labs Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Mar-2026 16:54:02,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
10-Mar-2026 16:56:57,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
10-Mar-2026 16:56:57,Analysts/Institutional Investor Meet/Con. Call Updates,Jyothy Labs Limited has informed the Exchange about Schedule of meet
02-Mar-2026 15:08:38,Copy of Newspaper Publication,Jyothy Labs Limited has informed the Exchange about Copy of Newspaper Publication
