date,desc,text
07-Jul-2026 08:12:52,General Updates,Kalyan Jewellers India Limited has informed the Exchange about General Updates
03-Jul-2026 10:04:35,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Kalyan Jewellers India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Jun-2026 19:40:10,General Updates,Kalyan Jewellers India Limited has informed the Exchange about General Updates
23-Jun-2026 11:06:51,Trading Window,"Kalyan Jewellers India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
30-May-2026 16:36:49,Analysts/Institutional Investor Meet/Con. Call Updates,Kalyan Jewellers India Limited has informed the Exchange about Schedule of meet
11-May-2026 12:18:15,Analysts/Institutional Investor Meet/Con. Call Updates,Kalyan Jewellers India Limited has informed the Exchange about Transcript
09-May-2026 11:29:09,Copy of Newspaper Publication,Kalyan Jewellers India Limited has informed the Exchange about Copy of Newspaper Publication
08-May-2026 18:50:02,Analysts/Institutional Investor Meet/Con. Call Updates,Kalyan Jewellers India Limited has informed the Exchange about Link of Recording
08-May-2026 16:33:17,Investor Presentation,Kalyan Jewellers India Limited has informed the Exchange about Investor Presentation
08-May-2026 15:03:28,Press Release,"Kalyan Jewellers India Limited has informed the Exchange regarding a press release dated May 08, 2026, titled ""Press Release""."
08-May-2026 14:55:13,Dividend,"Kalyan Jewellers India Limited has informed the Exchange that Board of Directors at its meeting held on May 08, 2026, recommended Final Dividend of Rs. 2.5 per equity share."
08-May-2026 14:48:42,Outcome of Board Meeting,"Kalyan Jewellers India Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
20-Apr-2026 17:23:22,Disclosure under SEBI Takeover Regulations,"T S Kalyanaraman has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, "
20-Apr-2026 11:15:35,Analysts/Institutional Investor Meet/Con. Call Updates,Kalyan Jewellers India Limited has informed the Exchange about Schedule of meet
10-Apr-2026 16:59:09,Credit Rating,Kalyan Jewellers India Limited has informed the Exchange about Credit Rating
07-Apr-2026 07:50:15,General Updates,Kalyan Jewellers India Limited has informed the Exchange about General Updates
06-Apr-2026 11:07:15,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Kalyan Jewellers India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Apr-2026 17:43:24,Disclosure under SEBI Takeover Regulations,"TS Kalyanaraman has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2"
