date,desc,text
09-Jul-2026 16:56:30,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Kaynes Technology India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
08-Jul-2026 13:09:30,Copy of Newspaper Publication,Kaynes Technology India Limited has informed the Exchange about Copy of Newspaper Publication
07-Jul-2026 17:29:15,Shareholders meeting,Kaynes Technology India Limited has informed the Exchange regarding Notice of Postal Ballot
02-Jul-2026 15:19:52,Change in Management,Kaynes Technology India Limited has informed the Exchange about Appointment of Internal Auditor for the FY 2026-27.
02-Jul-2026 14:52:06,Outcome of Board Meeting,Outcome of the Board meeting - Appointment of Internal Auditor for the FY 2026-27.
24-Jun-2026 17:42:26,Trading Window,"Kaynes Technology India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
29-May-2026 17:38:11,Resignation of Director/KMP/SMP,Kaynes Technology India Limited has informed the Exchange about Resignation of Director/KMP/SMP
29-May-2026 17:36:41,Resignation of Director/KMP/SMP,Kaynes Technology India Limited has informed the Exchange about Resignation of Director/KMP/SMP
29-May-2026 17:24:49,Resignation,"Kaynes Technology India Limited has informed the Exchange regarding Resignation of Mr Heinz Franz Moitzi as Non- Executive Independent Director of the company w.e.f. May 31, 2026."
19-May-2026 17:21:18,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about Transcript
19-May-2026 17:01:49,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about Schedule of meet
17-May-2026 17:40:06,General Updates,Kaynes Technology India Limited has informed the Exchange about General Updates
16-May-2026 22:16:49,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about Schedule of meet
14-May-2026 17:39:01,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about Link of Recording
14-May-2026 17:36:45,Copy of Newspaper Publication,Kaynes Technology India Limited has informed the Exchange about Copy of Newspaper Publication
14-May-2026 17:34:20,Monitoring Agency Report,Monitoring Agency Report
13-May-2026 23:51:09,Outcome of Board Meeting,Revised outcome
13-May-2026 23:28:40,Investor Presentation,Kaynes Technology India Limited has informed the Exchange about Investor Presentation
13-May-2026 23:09:54,Press Release,"Kaynes Technology India Limited has informed the Exchange regarding a press release dated May 13, 2026, titled ""Press Release""."
13-May-2026 19:07:30,Statement of deviation(s) or variation(s) under Reg. 32,Kaynes Technology India Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32
13-May-2026 18:13:04,Change in Management,Kaynes Technology India Limited has informed the Exchange about change in Management - appointment/ re-appointment of Directors and Cost Auditor.
13-May-2026 17:24:15,Outcome of Board Meeting,"Kaynes Technology India Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
11-May-2026 16:11:10,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about revision in the  Schedule of Investor Earnings conference call
08-May-2026 16:11:24,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about Schedule of meet
16-Apr-2026 17:26:59,Disclosure under SEBI Takeover Regulations," Savitha Ramesh has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2"
16-Apr-2026 17:19:29,Disclosure under SEBI Takeover Regulations,Ramesh Kunhikannan has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations
13-Apr-2026 18:00:17,Disclosure under SEBI Takeover Regulations,"RK Family Trust has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2"
13-Apr-2026 17:13:15,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Kaynes Technology India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Apr-2026 19:09:53,General Updates,Kaynes Technology India Limited has informed the Exchange about General Updates
31-Mar-2026 18:16:05,Updates,Kaynes Technology India Limited has informed the Exchange regarding 'Inauguration of the Plant of Kaynes Semicon Private Limited the wholly owned subsidiary of the company by the honorable Prime Minis
28-Mar-2026 11:35:39,General Updates,"Disclosure under regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulation, 2015"
27-Mar-2026 11:01:50,Trading Window,"Kaynes Technology India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
13-Mar-2026 16:34:21,Credit Rating,Kaynes Technology India Limited has informed the Exchange about Credit Rating
10-Mar-2026 15:45:38,Change in Company Secretary/Compliance Officer,Kaynes Technology India Limited has informed the Exchange about Change in Company Secretary/Compliance Officer
10-Mar-2026 15:42:18,Outcome of Board Meeting,"Kaynes Technology India Limited has informed the Exchange regarding Outcome of Board Meeting held on March 10, 2026."
06-Mar-2026 17:13:14,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about Schedule of meet
12-Feb-2026 21:25:28,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about Transcript
10-Feb-2026 12:55:15,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about Schedule of meet
10-Feb-2026 12:51:11,Monitoring Agency Report,"Monitoring Agency Report for Quarter ended December 31, 2025"
06-Feb-2026 17:16:52,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about Link of Recording
06-Feb-2026 17:10:38,Copy of Newspaper Publication,Kaynes Technology India Limited has informed the Exchange about Copy of Newspaper Publication
05-Feb-2026 20:30:09,Press Release,"Kaynes Technology India Limited has informed the Exchange regarding a press release dated February 05, 2026, titled """"Revenues achieved - Rs 23,837 for the 9-month period ended December 2025 with 55% "
05-Feb-2026 20:18:59,Statement of deviation(s) or variation(s) under Reg. 32,Kaynes Technology India Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32
05-Feb-2026 20:09:28,Investor Presentation,Kaynes Technology India Limited has informed the Exchange about Investor Presentation
05-Feb-2026 19:26:18,Outcome of Board Meeting,"Kaynes Technology India Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
05-Feb-2026 19:20:40,Outcome of Board Meeting,"Kaynes Technology India Limited has informed the Exchange regarding  Board meeting held on February 05, 2026."
02-Feb-2026 17:16:55,General Updates,Kaynes Technology India Limited has informed the Exchange about General Updates
31-Jan-2026 16:06:29,Credit Rating,Kaynes Technology India Limited has informed the Exchange about Credit Rating
28-Jan-2026 15:22:14,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about Schedule of meet
28-Jan-2026 15:16:54,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about Schedule of meet
24-Jan-2026 16:42:38,Credit Rating,Kaynes Technology India Limited has informed the Exchange about Credit Rating
23-Jan-2026 14:22:29,Trading Window,"Kaynes Technology India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
12-Jan-2026 15:01:42,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Kaynes Technology India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
23-Dec-2025 15:51:38,Trading Window,"Kaynes Technology India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Dec-2025 16:43:03,Credit Rating,Kaynes Technology India Limited has informed the Exchange about Credit Rating
16-Dec-2025 19:45:31,Press Release,"Kaynes Technology India Limited has informed the Exchange regarding a press release dated December 16, 2025, titled "" Kaynes Semicon Announces Strategic Partnerships with Mitsui & Co. and AOI Electron"
15-Dec-2025 19:43:55,Credit Rating,Kaynes Technology India Limited has informed the Exchange about Credit Rating
15-Dec-2025 19:36:27,Credit Rating,Kaynes Technology India Limited has informed the Exchange about Credit Rating
15-Dec-2025 19:30:37,Shareholders meeting,"Kaynes Technology India Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
12-Dec-2025 17:38:11,Analysts/Institutional Investor Meet/Con. Call Updates,Kaynes Technology India Limited has informed the Exchange about Transcript
09-Dec-2025 12:28:04,News Verification,"The Exchange has sought clarification from Kaynes Technology India Limited with respect to recent news item captioned Kaynes Tech to change auditor as it admits to reporting lapse, clarifies goodwill "
08-Dec-2025 17:57:14,News Verification,"The Exchange has sought clarification from Kaynes Technology India Limited with respect to recent news item captioned Kaynes Tech to change auditor as it admits to reporting lapse, clarifies goodwill "
