date,desc,text
11-Jul-2026 18:36:55,Shareholders meeting,"Krishna Institute of Medical Sciences Limited has submitted the Exchange a copy Srutinizers report of  Extraordinary General Meeting held on July 09, 2026. Further, the company has informed the Exchan"
09-Jul-2026 19:57:30,Shareholders meeting,"Krishna Institute of Medical Sciences Limited has informed the Exchange regarding Proceedings of Extraordinary General Meeting held on July 09, 2026"
05-Jul-2026 20:02:57,Copy of Newspaper Publication,Krishna Institute of Medical Sciences Limited has informed the Exchange about Copy of Newspaper Publication
04-Jul-2026 19:05:23,Corrigendum,"Krishna Institute of Medical Sciences Limited has informed the Exchange regarding Corrigendum to Notice of Extra Ordinary General Meeting to be held on July 09, 2026."
04-Jul-2026 18:54:09,Corrigendum,"Krishna Institute of Medical Sciences Limited has informed the Exchange regarding Corrigendum to Notice of Extra Ordinary General Meeting to be held on July 09, 2026"
25-Jun-2026 11:58:26,Trading Window,"Krishna Institute of Medical Sciences Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Jun-2026 14:01:22,General Updates,"Intimation of approval received for listing of 1,98,67,549 equity shares of Rs. 2/- each to qualified institutional buyers through qualified institutional placement."
19-Jun-2026 23:45:21,General Updates,Krishna Institute of Medical Sciences Limited has informed the Exchange about General Updates on Allotment for QIP
19-Jun-2026 19:49:43,General Updates,Krishna Institute of Medical Sciences Limited has informed the Exchange about General Updates
19-Jun-2026 19:41:19,General Updates,Krishna Institute of Medical Sciences Limited has informed the Exchange about General Updates
18-Jun-2026 16:52:52,Copy of Newspaper Publication,Krishna Institute of Medical Sciences Limited has informed the Exchange about Copy of Newspaper Publication
16-Jun-2026 19:44:20,General Updates,Qualified institutions placement of equity shares of face value &#8377; 2 each (the  Equity Shares ) by Krishna Institute of Medical Sciences Limited (the  Company ) under the provisions of Chapter VI
16-Jun-2026 11:29:00,General Updates,Audited Standalone and Consolidated Financial Statements for the Financial Year ended 31st March 2026.
