date,desc,text
01-Jul-2026 09:33:34,Updates,KPIT Technologies Limited has informed the Exchange regarding 'Clarification on Outlook for Q1FY27 and for the remainder of the year'.
30-Jun-2026 17:40:41,Updates,KPIT Technologies Limited has informed the Exchange regarding  - Outlook for Q1FY27 and for the remainder of the year.
26-Jun-2026 20:03:26,Trading Window,"KPIT Technologies Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Jun-2026 19:46:52,Copy of Newspaper Publication,KPIT Technologies Limited has informed the Exchange about Newspaper Advertisement & Communication to shareholders
15-Jun-2026 18:07:59,Disclosure under SEBI Takeover Regulations,KPIT Technologies Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
15-Jun-2026 18:07:10,Disclosure under SEBI Takeover Regulations,KPIT Technologies Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
15-Jun-2026 18:06:26,Disclosure under SEBI Takeover Regulations, Mr. Chinmay Pandit has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulation
15-Jun-2026 18:06:15,Disclosure under SEBI Takeover Regulations,"Sachin Tikekar has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 20"
15-Jun-2026 18:06:00,Disclosure under SEBI Takeover Regulations,"Ajay Bhagwat has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011"
15-Jun-2026 18:05:43,Disclosure under SEBI Takeover Regulations,"Ashwini Bhagwat has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2"
15-Jun-2026 18:05:31,Disclosure under SEBI Takeover Regulations,"Nirmala Pandit has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 20"
12-Jun-2026 19:50:31,Disclosure under SEBI Takeover Regulations,KPIT Technologies Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
12-Jun-2026 19:09:47,Analysts/Institutional Investor Meet/Con. Call Updates,"KPIT Technologies Limited has informed the Exchange about Outcome of investor / analyst conference -  Investec Confluence held on Friday, June 12, 2026, at Chennai."
12-Jun-2026 17:54:15,Disclosure under SEBI Takeover Regulations,KPIT Technologies Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
12-Jun-2026 12:40:16,Disclosure under SEBI Takeover Regulations,KPIT Technologies Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
09-Jun-2026 17:10:08,Analysts/Institutional Investor Meet/Con. Call Updates,"KPIT Technologies Limited wish to inform you that, the Company officials will participate in the  Investec Confluence , on Friday, June 12, 2026, at Chennai."
29-May-2026 18:49:28,Analysts/Institutional Investor Meet/Con. Call Updates,KPIT Technologies Limited has informed the Exchange about Outcome of investor / analyst conference - 360 ONE Capital (B&K) 16th Annual Investor Conference   TRINITY INDIA 2026  was concluded today i.e
20-May-2026 17:11:10,Analysts/Institutional Investor Meet/Con. Call Updates,KPIT Technologies Limited has informed the Exchange about Schedule of meet
13-May-2026 22:18:47,Analysts/Institutional Investor Meet/Con. Call Updates,KPIT Technologies Limited has informed the Exchange about Post Earning Investor Meet Transcript
08-May-2026 09:40:52,Analysts/Institutional Investor Meet/Con. Call Updates,KPIT Technologies Limited has informed the Exchange about Post Earnings Investor Meet recording link.
08-May-2026 09:15:30,Demise,"KPIT Technologies Limited has informed the Exchange regarding Demise of Mr. S.B. (Ravi) Pandit, Founder & Chairman of the Board of the Company on the morning of  May 08, 2026 in Pune."
07-May-2026 13:25:24,Copy of Newspaper Publication,"KPIT Technologies Limited has informed the Exchange about Copy of Newspaper Publication dated May 06, 2026."
06-May-2026 13:49:55,Investor Presentation,KPIT Technologies Limited has informed the Exchange about Investor Presentation
06-May-2026 13:34:56,Acquisition,"KPIT Technologies Limited has informed the Exchange about Acquisition of strategic stake in Cymotive Technologies LTD (""Cymotive""), a leading automotive cybersecurity specialist headquartered in Israe"
06-May-2026 12:45:19,Outcome of Board Meeting,"KPIT Technologies Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
06-May-2026 12:37:22,Dividend,"KPIT Technologies Limited has informed about Outcome of Board Meeting held on May 6, 2026."
04-May-2026 20:01:10,Analysts/Institutional Investor Meet/Con. Call Updates,KPIT Technologies Limited has informed the Exchange about Schedule of Investor Meet
30-Apr-2026 10:37:21,General Updates,KPIT Technologies Limited has informed the Exchange about Approval for Reclassification of two promoters of the Company from  Promoter  Category to  Public  Category.
28-Apr-2026 22:59:16,General Updates,KPIT Technologies Limited has informed the Exchange about Grant of Options to eligible employees of the Company.
